cycle,A_mAh_g,B_mAh_g
236,179.00319,173.08761
237,178.99859,173.0439
238,178.99674,173.08624
239,178.92046,173.0078
240,178.91044,173.0
241,178.78953,173.00098
242,178.75797,172.97093
243,178.81874,173.00129
244,178.68954,172.84773
245,178.73998,172.77519
246,178.71286,172.69824
247,178.63174,172.64325
248,178.73234,172.52244
249,178.77753,172.4688
250,178.64559,172.3811
251,178.58366,172.41186
252,178.57385,172.47642
253,178.56505,172.38935
254,178.64006,172.37867
255,178.5847,172.24573
256,178.52485,172.1926
257,178.54728,171.94636
258,178.50708,171.96516
259,178.54345,171.86649
260,178.53503,171.91363
261,178.48419,172.00112
262,178.52314,172.07211
263,178.49349,171.95455
264,178.36789,171.8126
265,178.35751,172.00735
266,178.23349,171.94116
267,178.26978,172.02394
268,178.21855,172.07881
269,178.08772,171.86714
270,178.21686,171.76545
271,178.13262,171.65636
272,178.02889,171.42709
273,177.83976,171.31344
274,177.89444,171.46515
275,178.04247,171.35944
276,178.08146,171.35122
277,178.10062,171.31671
278,178.06815,171.33755
279,178.02609,171.19727
280,177.963,170.93541
281,177.9491,170.94381
282,177.83269,170.88847
283,177.86076,170.97439
284,177.88617,170.93802
285,177.74448,170.99594
286,177.67814,171.04332
287,177.65328,170.88452
288,177.678,170.76153
289,177.53581,170.86352
290,177.59969,170.62772
291,177.57303,170.60888
292,177.58359,170.65502
293,177.64498,170.53048
294,177.67843,170.60967
295,177.7912,170.67777
296,177.73577,170.7468
297,177.63135,170.74951
298,177.47972,170.79042
299,177.47263,170.7666
300,177.47247,170.63577
301,177.47954,170.61307
302,177.51701,170.46614
303,177.32274,170.69152
304,177.43748,170.51547
305,177.53877,170.21732
306,177.37666,170.23753
307,177.36091,170.04809
308,177.41315,170.06339
309,177.36964,170.0709
310,177.2625,169.92554
311,177.16866,169.92933
312,177.15535,169.84094
313,177.1323,169.93067
314,177.12544,169.97603
315,177.045,169.99034
316,176.99156,169.85713
317,177.05566,169.87719
318,176.9441,169.77495
319,176.9812,169.69851
320,176.94146,169.79178
321,176.85799,169.71531
322,176.88632,169.71511
323,176.69269,169.52213
324,176.6611,169.32669
325,176.62938,169.32541
326,176.73455,169.24121
327,176.69846,169.03811
328,176.59405,169.04031
329,176.5524,169.11051
330,176.52976,169.27803
331,176.49183,169.14035
332,176.51016,169.08256
333,176.48185,168.98473
334,176.40956,168.8656
335,176.44229,168.96653
336,176.28215,168.9841
337,176.38287,168.78067
338,176.41466,168.69329
339,176.36001,168.66344
340,176.29157,168.69579
341,176.29756,168.62002
342,176.23193,168.55793
343,176.27203,168.53471
344,176.29024,168.41554
345,176.15173,168.30984
346,176.09468,168.39848
347,176.08164,168.51778
348,176.17986,168.34026
349,176.1846,168.16179
350,176.24703,167.97435
351,176.2101,168.05006
352,176.25399,168.3518
353,176.14468,168.22589
354,176.11538,168.15582
355,176.24294,168.09612
356,176.08188,167.98202
357,175.91938,167.85969
358,175.87156,167.67768
359,175.74399,167.65397
360,175.76369,167.48476
361,175.70008,167.49814
362,175.82968,167.41578
363,175.78153,167.25397
364,175.77442,167.22464
365,175.73626,167.12327
366,175.69276,167.09183
367,175.72578,167.25129
368,175.66788,167.22246
369,175.60269,167.17162
370,175.56546,167.10167
371,175.53884,167.09956
372,175.58442,167.12872
373,175.57288,166.87386
374,175.43491,166.91301
375,175.39716,166.6763
376,175.40183,166.55657
377,175.20391,166.45492
378,175.22214,166.64749
379,175.0035,166.82477
380,175.09418,166.7701
381,175.19112,166.87328
382,175.32352,166.87689
383,175.42477,166.86991
384,175.2847,166.97164
385,175.271,166.8533
386,175.25673,166.77168
387,175.15069,166.7363
388,175.12138,166.732
389,175.0197,166.62961
390,174.93959,166.35349
391,174.95046,166.17456
392,174.89462,166.16025
393,174.91082,166.0365
394,174.84494,166.04524
395,174.94682,165.94389
396,174.88441,166.02786
397,174.77803,165.76778
398,174.6924,165.66643
399,174.61188,165.61228
400,174.65243,165.5865
401,174.64139,165.41192
402,174.70183,165.36014
403,174.67826,165.29071
404,174.69239,165.11182
405,174.64673,165.10823
406,174.55725,165.05259
407,174.52992,164.98664
408,174.59782,165.04027
409,174.4668,165.09081
410,174.32757,164.89869
411,174.23484,164.81606
412,174.03969,164.78773
413,173.926,164.63126
414,174.04453,164.71617
415,173.95864,164.50863
416,174.00442,164.5278
417,174.07628,164.47225
418,174.09669,164.54326
419,173.95143,164.38265
420,173.94763,164.18472
421,173.92125,164.15898
422,173.86836,163.87983
423,173.98766,163.71907
424,173.90638,163.7519
425,173.86269,163.59778
426,173.87573,163.41853
427,173.66264,163.28699
428,173.6559,163.08558
429,173.62855,163.03031
430,173.59045,162.8968
431,173.36894,162.76673
432,173.40978,162.73496
433,173.37783,162.58655
434,173.30701,162.36264
435,173.34351,162.20398
436,173.32009,162.06359
437,173.29113,162.14151
438,173.28354,162.15933
439,173.34911,161.95465
440,173.33471,161.99783
441,173.28322,161.94815
442,173.13625,161.8207
443,172.92325,161.58683
444,172.9897,161.55856
445,172.93389,161.45886
446,172.79731,161.23104
447,172.81842,161.04149
448,172.75065,160.85686
449,172.69401,160.62693
450,172.50006,160.47732
451,172.43884,160.26617
452,172.45433,160.11056
453,172.37827,160.18713
454,172.32563,160.05241
455,172.27678,159.65664
456,172.24719,159.5576
457,172.34568,159.31263
458,172.31461,159.06768
459,172.33902,158.97559
460,172.18114,158.75253
461,172.20312,158.79229
462,172.20804,158.7033
463,172.05179,158.50264
464,171.8547,158.38776
465,171.8284,158.33369
466,171.65956,158.2015
467,171.6995,157.97051
468,171.52367,157.82584
469,171.45788,157.73209
470,171.30706,157.52957
471,171.33916,157.40601
472,171.23676,157.18373
473,171.23692,156.9691
474,171.12454,156.77337
475,171.06784,156.60371
476,170.95009,156.37873
477,170.92847,156.22321
478,170.84814,156.01769
479,170.73657,155.7798
480,170.55877,155.49033
481,170.47993,155.21616
482,170.29978,155.01063
483,170.2517,154.76142
484,170.09772,154.61317
485,170.11673,154.39177
486,169.94741,154.11391
487,169.95333,154.02204
488,169.91119,154.03631
489,169.62157,153.77185
490,169.62135,153.63292
491,169.53961,153.56841
492,169.4805,153.37902
493,169.29983,153.31856
494,169.25594,153.02326
495,169.15515,152.79186
496,169.18078,152.45525
497,169.08981,152.18582
498,168.97658,151.89554
499,169.01659,151.85798
500,168.73579,151.4769
