time_min,x_mm,y_mm,surface_temperature_C
30,76.0,0.0,30.11429
30,77.0,0.0,30.11102
30,78.0,0.0,30.10982
30,79.0,0.0,30.11068
30,80.0,0.0,30.11357
30,81.0,0.0,30.11846
30,82.0,0.0,30.12527
30,83.0,0.0,30.13395
30,84.0,0.0,30.14442
30,85.0,0.0,30.15658
30,86.0,0.0,30.17033
30,87.0,0.0,30.18557
30,88.0,0.0,30.20217
30,89.0,0.0,30.22002
30,90.0,0.0,30.23897
30,91.0,0.0,30.25891
30,92.0,0.0,30.27968
30,93.0,0.0,30.30115
30,94.0,0.0,30.32317
30,95.0,0.0,30.3456
30,96.0,0.0,30.3683
30,97.0,0.0,30.39113
30,98.0,0.0,30.41394
30,99.0,0.0,30.4366
30,100.0,0.0,30.45897
30,0.0,1.0,30.31059
30,1.0,1.0,30.33742
30,2.0,1.0,30.36432
30,3.0,1.0,30.3912
30,4.0,1.0,30.41798
30,5.0,1.0,30.44458
30,6.0,1.0,30.4709
30,7.0,1.0,30.49689
30,8.0,1.0,30.52245
30,9.0,1.0,30.54754
30,10.0,1.0,30.57208
30,11.0,1.0,30.59602
30,12.0,1.0,30.61931
30,13.0,1.0,30.6419
30,14.0,1.0,30.66374
30,15.0,1.0,30.68481
30,16.0,1.0,30.70505
30,17.0,1.0,30.72446
30,18.0,1.0,30.74299
30,19.0,1.0,30.76063
30,20.0,1.0,30.77736
30,21.0,1.0,30.79316
30,22.0,1.0,30.808
30,23.0,1.0,30.82188
30,24.0,1.0,30.83478
30,25.0,1.0,30.84668
30,26.0,1.0,30.85756
30,27.0,1.0,30.86741
30,28.0,1.0,30.87619
30,29.0,1.0,30.8839
30,30.0,1.0,30.89049
30,31.0,1.0,30.89595
30,32.0,1.0,30.90024
30,33.0,1.0,30.90333
30,34.0,1.0,30.90518
30,35.0,1.0,30.90576
30,36.0,1.0,30.90502
30,37.0,1.0,30.90293
30,38.0,1.0,30.89945
30,39.0,1.0,30.89455
30,40.0,1.0,30.88819
30,41.0,1.0,30.88034
30,42.0,1.0,30.87099
30,43.0,1.0,30.86011
30,44.0,1.0,30.84769
30,45.0,1.0,30.83374
30,46.0,1.0,30.81827
30,47.0,1.0,30.80129
30,48.0,1.0,30.78285
30,49.0,1.0,30.76298
30,50.0,1.0,30.74176
30,51.0,1.0,30.71924
30,52.0,1.0,30.69552
30,53.0,1.0,30.67071
30,54.0,1.0,30.64491
30,55.0,1.0,30.61825
30,56.0,1.0,30.59087
30,57.0,1.0,30.56292
30,58.0,1.0,30.53457
30,59.0,1.0,30.50597
30,60.0,1.0,30.47731
30,61.0,1.0,30.44875
30,62.0,1.0,30.42049
30,63.0,1.0,30.39271
30,64.0,1.0,30.36558
30,65.0,1.0,30.33929
30,66.0,1.0,30.31401
30,67.0,1.0,30.2899
30,68.0,1.0,30.26713
30,69.0,1.0,30.24584
30,70.0,1.0,30.22617
30,71.0,1.0,30.20824
30,72.0,1.0,30.19217
30,73.0,1.0,30.17803
30,74.0,1.0,30.16592
30,75.0,1.0,30.15589
30,76.0,1.0,30.14798
30,77.0,1.0,30.14223
30,78.0,1.0,30.13864
30,79.0,1.0,30.13721
30,80.0,1.0,30.13791
30,81.0,1.0,30.14072
30,82.0,1.0,30.14556
30,83.0,1.0,30.15238
30,84.0,1.0,30.1611
30,85.0,1.0,30.17163
30,86.0,1.0,30.18386
30,87.0,1.0,30.19768
30,88.0,1.0,30.21297
30,89.0,1.0,30.2296
30,90.0,1.0,30.24744
30,91.0,1.0,30.26635
30,92.0,1.0,30.28618
30,93.0,1.0,30.30679
30,94.0,1.0,30.32804
30,95.0,1.0,30.34976
30,96.0,1.0,30.37183
30,97.0,1.0,30.39408
30,98.0,1.0,30.41637
30,99.0,1.0,30.43856
30,100.0,1.0,30.46051
30,0.0,2.0,30.31183
30,1.0,2.0,30.33861
30,2.0,2.0,30.3655
30,3.0,2.0,30.39242
30,4.0,2.0,30.41928
30,5.0,2.0,30.446
30,6.0,2.0,30.47252
30,7.0,2.0,30.49876
30,8.0,2.0,30.52465
30,9.0,2.0,30.55015
30,10.0,2.0,30.57518
30,11.0,2.0,30.59971
30,12.0,2.0,30.62369
30,13.0,2.0,30.64708
30,14.0,2.0,30.66983
30,15.0,2.0,30.69193
30,16.0,2.0,30.71334
30,17.0,2.0,30.73404
30,18.0,2.0,30.75402
30,19.0,2.0,30.77324
30,20.0,2.0,30.79169
30,21.0,2.0,30.80937
30,22.0,2.0,30.82625
30,23.0,2.0,30.84231
30,24.0,2.0,30.85754
30,25.0,2.0,30.87191
30,26.0,2.0,30.88542
30,27.0,2.0,30.89802
30,28.0,2.0,30.90969
30,29.0,2.0,30.92039
30,30.0,2.0,30.9301
30,31.0,2.0,30.93876
30,32.0,2.0,30.94632
30,33.0,2.0,30.95275
30,34.0,2.0,30.95797
30,35.0,2.0,30.96194
30,36.0,2.0,30.9646
30,37.0,2.0,30.96588
30,38.0,2.0,30.96572
30,39.0,2.0,30.96407
30,40.0,2.0,30.96087
30,41.0,2.0,30.95605
30,42.0,2.0,30.94959
30,43.0,2.0,30.94143
30,44.0,2.0,30.93155
30,45.0,2.0,30.91992
30,46.0,2.0,30.90653
30,47.0,2.0,30.8914
30,48.0,2.0,30.87453
30,49.0,2.0,30.85596
30,50.0,2.0,30.83574
30,51.0,2.0,30.81393
30,52.0,2.0,30.79062
30,53.0,2.0,30.76591
30,54.0,2.0,30.7399
30,55.0,2.0,30.71273
30,56.0,2.0,30.68455
30,57.0,2.0,30.65551
30,58.0,2.0,30.62579
30,59.0,2.0,30.59556
30,60.0,2.0,30.56502
30,61.0,2.0,30.53436
30,62.0,2.0,30.50379
30,63.0,2.0,30.4735
30,64.0,2.0,30.4437
30,65.0,2.0,30.4146
30,66.0,2.0,30.38638
30,67.0,2.0,30.35924
30,68.0,2.0,30.33336
30,69.0,2.0,30.30891
30,70.0,2.0,30.28604
30,71.0,2.0,30.2649
30,72.0,2.0,30.24563
30,73.0,2.0,30.22832
30,74.0,2.0,30.21308
30,75.0,2.0,30.19997
30,76.0,2.0,30.18907
30,77.0,2.0,30.1804
30,78.0,2.0,30.17399
30,79.0,2.0,30.16984
30,80.0,2.0,30.16793
30,81.0,2.0,30.16824
30,82.0,2.0,30.17071
30,83.0,2.0,30.17527
30,84.0,2.0,30.18186
30,85.0,2.0,30.19037
30,86.0,2.0,30.20071
30,87.0,2.0,30.21275
30,88.0,2.0,30.22638
30,89.0,2.0,30.24147
30,90.0,2.0,30.25787
30,91.0,2.0,30.27544
30,92.0,2.0,30.29403
30,93.0,2.0,30.3135
30,94.0,2.0,30.33368
30,95.0,2.0,30.35443
30,96.0,2.0,30.3756
30,97.0,2.0,30.39702
30,98.0,2.0,30.41855
30,99.0,2.0,30.44005
30,100.0,2.0,30.46136
30,0.0,3.0,30.31325
30,1.0,3.0,30.33984
30,2.0,3.0,30.36659
30,3.0,3.0,30.3934
30,4.0,3.0,30.42022
30,5.0,3.0,30.44696
30,6.0,3.0,30.47356
30,7.0,3.0,30.49997
30,8.0,3.0,30.52612
30,9.0,3.0,30.55197
30,10.0,3.0,30.57746
30,11.0,3.0,30.60255
30,12.0,3.0,30.62722
30,13.0,3.0,30.65143
30,14.0,3.0,30.67514
30,15.0,3.0,30.69835
30,16.0,3.0,30.72102
30,17.0,3.0,30.74314
30,18.0,3.0,30.76471
30,19.0,3.0,30.78569
30,20.0,3.0,30.80609
30,21.0,3.0,30.82589
30,22.0,3.0,30.84507
30,23.0,3.0,30.86361
30,24.0,3.0,30.88151
30,25.0,3.0,30.89873
30,26.0,3.0,30.91525
30,27.0,3.0,30.93103
30,28.0,3.0,30.94604
30,29.0,3.0,30.96022
30,30.0,3.0,30.97353
30,31.0,3.0,30.98591
30,32.0,3.0,30.9973
30,33.0,3.0,31.00761
30,34.0,3.0,31.01679
30,35.0,3.0,31.02473
30,36.0,3.0,31.03137
30,37.0,3.0,31.03661
30,38.0,3.0,31.04037
30,39.0,3.0,31.04255
30,40.0,3.0,31.04308
30,41.0,3.0,31.04186
30,42.0,3.0,31.03883
30,43.0,3.0,31.03392
30,44.0,3.0,31.02706
30,45.0,3.0,31.01822
30,46.0,3.0,31.00736
30,47.0,3.0,30.99447
30,48.0,3.0,30.97954
30,49.0,3.0,30.96259
30,50.0,3.0,30.94366
30,51.0,3.0,30.92279
30,52.0,3.0,30.90008
30,53.0,3.0,30.87561
30,54.0,3.0,30.84949
30,55.0,3.0,30.82187
30,56.0,3.0,30.79288
30,57.0,3.0,30.76271
30,58.0,3.0,30.73153
30,59.0,3.0,30.69954
30,60.0,3.0,30.66694
30,61.0,3.0,30.63396
30,62.0,3.0,30.60082
30,63.0,3.0,30.56774
30,64.0,3.0,30.53495
30,65.0,3.0,30.50268
30,66.0,3.0,30.47115
30,67.0,3.0,30.44057
30,68.0,3.0,30.41116
30,69.0,3.0,30.38311
30,70.0,3.0,30.3566
30,71.0,3.0,30.33179
30,72.0,3.0,30.30884
30,73.0,3.0,30.28789
30,74.0,3.0,30.26904
30,75.0,3.0,30.25239
30,76.0,3.0,30.23801
30,77.0,3.0,30.22595
30,78.0,3.0,30.21625
30,79.0,3.0,30.20893
30,80.0,3.0,30.20396
30,81.0,3.0,30.20132
30,82.0,3.0,30.20098
30,83.0,3.0,30.20287
30,84.0,3.0,30.20691
30,85.0,3.0,30.21301
30,86.0,3.0,30.22106
30,87.0,3.0,30.23096
30,88.0,3.0,30.24257
30,89.0,3.0,30.25575
30,90.0,3.0,30.27037
30,91.0,3.0,30.28628
30,92.0,3.0,30.30332
30,93.0,3.0,30.32134
30,94.0,3.0,30.34017
30,95.0,3.0,30.35967
30,96.0,3.0,30.37967
30,97.0,3.0,30.40001
30,98.0,3.0,30.42054
30,99.0,3.0,30.44111
30,100.0,3.0,30.46156
30,0.0,4.0,30.31486
30,1.0,4.0,30.34113
30,2.0,4.0,30.36759
30,3.0,4.0,30.39419
30,4.0,4.0,30.42084
30,5.0,4.0,30.4475
30,6.0,4.0,30.4741
30,7.0,4.0,30.50059
30,8.0,4.0,30.52694
30,9.0,4.0,30.55309
30,10.0,4.0,30.579
30,11.0,4.0,30.60466
30,12.0,4.0,30.63003
30,13.0,4.0,30.65509
30,14.0,4.0,30.67983
30,15.0,4.0,30.70423
30,16.0,4.0,30.72828
30,17.0,4.0,30.75197
30,18.0,4.0,30.7753
30,19.0,4.0,30.79825
30,20.0,4.0,30.82083
30,21.0,4.0,30.84301
30,22.0,4.0,30.8648
30,23.0,4.0,30.88617
30,24.0,4.0,30.9071
30,25.0,4.0,30.92756
30,26.0,4.0,30.94752
30,27.0,4.0,30.96694
30,28.0,4.0,30.98577
30,29.0,4.0,31.00395
30,30.0,4.0,31.02141
30,31.0,4.0,31.03807
30,32.0,4.0,31.05385
30,33.0,4.0,31.06866
30,34.0,4.0,31.08239
30,35.0,4.0,31.09493
30,36.0,4.0,31.10618
30,37.0,4.0,31.11601
30,38.0,4.0,31.1243
30,39.0,4.0,31.13094
30,40.0,4.0,31.1358
30,41.0,4.0,31.13878
30,42.0,4.0,31.13976
30,43.0,4.0,31.13864
30,44.0,4.0,31.13535
30,45.0,4.0,31.12979
30,46.0,4.0,31.12192
30,47.0,4.0,31.11168
30,48.0,4.0,31.09907
30,49.0,4.0,31.08407
30,50.0,4.0,31.06671
30,51.0,4.0,31.04704
30,52.0,4.0,31.02511
30,53.0,4.0,31.00102
30,54.0,4.0,30.97488
30,55.0,4.0,30.94683
30,56.0,4.0,30.91703
30,57.0,4.0,30.88565
30,58.0,4.0,30.8529
30,59.0,4.0,30.81898
30,60.0,4.0,30.78413
30,61.0,4.0,30.74858
30,62.0,4.0,30.71258
30,63.0,4.0,30.67638
30,64.0,4.0,30.64024
30,65.0,4.0,30.60442
30,66.0,4.0,30.56916
30,67.0,4.0,30.53471
30,68.0,4.0,30.5013
30,69.0,4.0,30.46917
30,70.0,4.0,30.43852
30,71.0,4.0,30.40954
30,72.0,4.0,30.38242
30,73.0,4.0,30.3573
30,74.0,4.0,30.33433
30,75.0,4.0,30.31361
30,76.0,4.0,30.29525
30,77.0,4.0,30.2793
30,78.0,4.0,30.26581
30,79.0,4.0,30.25481
30,80.0,4.0,30.24629
30,81.0,4.0,30.24025
30,82.0,4.0,30.23664
30,83.0,4.0,30.2354
30,84.0,4.0,30.23646
30,85.0,4.0,30.23973
30,86.0,4.0,30.24509
30,87.0,4.0,30.25245
30,88.0,4.0,30.26165
30,89.0,4.0,30.27258
30,90.0,4.0,30.28507
30,91.0,4.0,30.29897
30,92.0,4.0,30.31414
30,93.0,4.0,30.3304
30,94.0,4.0,30.34759
30,95.0,4.0,30.36554
30,96.0,4.0,30.3841
30,97.0,4.0,30.40311
30,98.0,4.0,30.42239
30,99.0,4.0,30.44179
30,100.0,4.0,30.46117
30,0.0,5.0,30.31669
30,1.0,5.0,30.3425
30,2.0,5.0,30.36856
30,3.0,5.0,30.39481
30,4.0,5.0,30.4212
30,5.0,5.0,30.44767
30,6.0,5.0,30.47419
30,7.0,5.0,30.50071
30,8.0,5.0,30.52719
30,9.0,5.0,30.5536
30,10.0,5.0,30.57993
30,11.0,5.0,30.60615
30,12.0,5.0,30.63226
30,13.0,5.0,30.65823
30,14.0,5.0,30.68406
30,15.0,5.0,30.70976
30,16.0,5.0,30.73532
30,17.0,5.0,30.76075
30,18.0,5.0,30.78604
30,19.0,5.0,30.81119
30,20.0,5.0,30.8362
30,21.0,5.0,30.86107
30,22.0,5.0,30.88579
30,23.0,5.0,30.91034
30,24.0,5.0,30.9347
30,25.0,5.0,30.95883
30,26.0,5.0,30.9827
30,27.0,5.0,31.00625
30,28.0,5.0,31.02942
30,29.0,5.0,31.05214
30,30.0,5.0,31.07432
30,31.0,5.0,31.09587
30,32.0,5.0,31.11667
30,33.0,5.0,31.1366
30,34.0,5.0,31.15554
30,35.0,5.0,31.17334
30,36.0,5.0,31.18986
30,37.0,5.0,31.20494
30,38.0,5.0,31.21844
30,39.0,5.0,31.23018
30,40.0,5.0,31.24003
30,41.0,5.0,31.24783
30,42.0,5.0,31.25342
30,43.0,5.0,31.25668
30,44.0,5.0,31.25749
30,45.0,5.0,31.25573
30,46.0,5.0,31.25132
30,47.0,5.0,31.24418
30,48.0,5.0,31.23428
30,49.0,5.0,31.22158
30,50.0,5.0,31.20609
30,51.0,5.0,31.18783
30,52.0,5.0,31.16688
30,53.0,5.0,31.1433
30,54.0,5.0,31.11722
30,55.0,5.0,31.08876
30,56.0,5.0,31.05811
30,57.0,5.0,31.02545
30,58.0,5.0,30.99099
30,59.0,5.0,30.95496
30,60.0,5.0,30.91761
30,61.0,5.0,30.87921
30,62.0,5.0,30.84003
30,63.0,5.0,30.80036
30,64.0,5.0,30.76047
30,65.0,5.0,30.72066
30,66.0,5.0,30.68122
30,67.0,5.0,30.64241
30,68.0,5.0,30.60451
30,69.0,5.0,30.56778
30,70.0,5.0,30.53246
30,71.0,5.0,30.49877
30,72.0,5.0,30.46692
30,73.0,5.0,30.43708
30,74.0,5.0,30.40943
30,75.0,5.0,30.3841
30,76.0,5.0,30.3612
30,77.0,5.0,30.34081
30,78.0,5.0,30.323
30,79.0,5.0,30.3078
30,80.0,5.0,30.29523
30,81.0,5.0,30.28528
30,82.0,5.0,30.27792
30,83.0,5.0,30.27308
30,84.0,5.0,30.2707
30,85.0,5.0,30.2707
30,86.0,5.0,30.27295
30,87.0,5.0,30.27736
30,88.0,5.0,30.28377
30,89.0,5.0,30.29205
30,90.0,5.0,30.30205
30,91.0,5.0,30.31361
30,92.0,5.0,30.32656
30,93.0,5.0,30.34075
30,94.0,5.0,30.35599
30,95.0,5.0,30.37212
30,96.0,5.0,30.38897
30,97.0,5.0,30.40636
30,98.0,5.0,30.42415
30,99.0,5.0,30.44215
30,100.0,5.0,30.46022
30,0.0,6.0,30.31874
30,1.0,6.0,30.34397
30,2.0,6.0,30.36951
30,3.0,6.0,30.39531
30,4.0,6.0,30.42134
30,5.0,6.0,30.44755
30,6.0,6.0,30.4739
30,7.0,6.0,30.50038
30,8.0,6.0,30.52696
30,9.0,6.0,30.55362
30,10.0,6.0,30.58036
30,11.0,6.0,30.60717
30,12.0,6.0,30.63405
30,13.0,6.0,30.661
30,14.0,6.0,30.68803
30,15.0,6.0,30.71515
30,16.0,6.0,30.74237
30,17.0,6.0,30.76971
30,18.0,6.0,30.79718
30,19.0,6.0,30.82478
30,20.0,6.0,30.85251
30,21.0,6.0,30.88039
30,22.0,6.0,30.90839
30,23.0,6.0,30.93651
30,24.0,6.0,30.96472
30,25.0,6.0,30.99298
30,26.0,6.0,31.02125
30,27.0,6.0,31.04946
30,28.0,6.0,31.07753
30,29.0,6.0,31.10537
30,30.0,6.0,31.13288
30,31.0,6.0,31.15994
30,32.0,6.0,31.18641
30,33.0,6.0,31.21214
30,34.0,6.0,31.23697
30,35.0,6.0,31.26072
30,36.0,6.0,31.28321
30,37.0,6.0,31.30425
30,38.0,6.0,31.32364
30,39.0,6.0,31.34119
30,40.0,6.0,31.3567
30,41.0,6.0,31.36996
30,42.0,6.0,31.38081
30,43.0,6.0,31.38905
30,44.0,6.0,31.39453
30,45.0,6.0,31.39711
30,46.0,6.0,31.39665
30,47.0,6.0,31.39306
30,48.0,6.0,31.38626
30,49.0,6.0,31.37621
30,50.0,6.0,31.36288
30,51.0,6.0,31.3463
30,52.0,6.0,31.32649
30,53.0,6.0,31.30356
30,54.0,6.0,31.27759
30,55.0,6.0,31.24875
30,56.0,6.0,31.2172
30,57.0,6.0,31.18315
30,58.0,6.0,31.14682
30,59.0,6.0,31.10846
30,60.0,6.0,31.06836
30,61.0,6.0,31.0268
30,62.0,6.0,30.98408
30,63.0,6.0,30.94053
30,64.0,6.0,30.89647
30,65.0,6.0,30.85221
30,66.0,6.0,30.80808
30,67.0,6.0,30.76439
30,68.0,6.0,30.72146
30,69.0,6.0,30.67957
30,70.0,6.0,30.639
30,71.0,6.0,30.60002
30,72.0,6.0,30.56285
30,73.0,6.0,30.52771
30,74.0,6.0,30.49479
30,75.0,6.0,30.46426
30,76.0,6.0,30.43624
30,77.0,6.0,30.41084
30,78.0,6.0,30.38814
30,79.0,6.0,30.3682
30,80.0,6.0,30.35103
30,81.0,6.0,30.33665
30,82.0,6.0,30.32502
30,83.0,6.0,30.3161
30,84.0,6.0,30.30981
30,85.0,6.0,30.30607
30,86.0,6.0,30.30478
30,87.0,6.0,30.30581
30,88.0,6.0,30.30902
30,89.0,6.0,30.31427
30,90.0,6.0,30.32141
30,91.0,6.0,30.33027
30,92.0,6.0,30.34067
30,93.0,6.0,30.35246
30,94.0,6.0,30.36544
30,95.0,6.0,30.37945
30,96.0,6.0,30.39431
30,97.0,6.0,30.40984
30,98.0,6.0,30.42588
30,99.0,6.0,30.44225
30,100.0,6.0,30.45879
30,0.0,7.0,30.32103
30,1.0,7.0,30.34556
30,2.0,7.0,30.37048
30,3.0,7.0,30.39574
30,4.0,7.0,30.42131
30,5.0,7.0,30.44718
30,6.0,7.0,30.47332
30,7.0,7.0,30.49971
30,8.0,7.0,30.52636
30,9.0,7.0,30.55326
30,10.0,7.0,30.58042
30,11.0,7.0,30.60784
30,12.0,7.0,30.63555
30,13.0,7.0,30.66356
30,14.0,7.0,30.6919
30,15.0,7.0,30.72059
30,16.0,7.0,30.74965
30,17.0,7.0,30.7791
30,18.0,7.0,30.80898
30,19.0,7.0,30.8393
30,20.0,7.0,30.87006
30,21.0,7.0,30.90128
30,22.0,7.0,30.93295
30,23.0,7.0,30.96506
30,24.0,7.0,30.99757
30,25.0,7.0,31.03044
30,26.0,7.0,31.06362
30,27.0,7.0,31.09704
30,28.0,7.0,31.13059
30,29.0,7.0,31.16417
30,30.0,7.0,31.19766
30,31.0,7.0,31.23089
30,32.0,7.0,31.26372
30,33.0,7.0,31.29595
30,34.0,7.0,31.32738
30,35.0,7.0,31.35781
30,36.0,7.0,31.387
30,37.0,7.0,31.41473
30,38.0,7.0,31.44074
30,39.0,7.0,31.46481
30,40.0,7.0,31.48667
30,41.0,7.0,31.50609
30,42.0,7.0,31.52284
30,43.0,7.0,31.53669
30,44.0,7.0,31.54744
30,45.0,7.0,31.5549
30,46.0,7.0,31.55891
30,47.0,7.0,31.55932
30,48.0,7.0,31.55604
30,49.0,7.0,31.54899
30,50.0,7.0,31.53812
30,51.0,7.0,31.52344
30,52.0,7.0,31.50497
30,53.0,7.0,31.48279
30,54.0,7.0,31.45701
30,55.0,7.0,31.42777
30,56.0,7.0,31.39525
30,57.0,7.0,31.35968
30,58.0,7.0,31.3213
30,59.0,7.0,31.28038
30,60.0,7.0,31.23723
30,61.0,7.0,31.19216
30,62.0,7.0,31.14553
30,63.0,7.0,31.09768
30,64.0,7.0,31.04896
30,65.0,7.0,30.99975
30,66.0,7.0,30.95041
30,67.0,7.0,30.90129
30,68.0,7.0,30.85274
30,69.0,7.0,30.8051
30,70.0,7.0,30.75868
30,71.0,7.0,30.71378
30,72.0,7.0,30.67068
30,73.0,7.0,30.62961
30,74.0,7.0,30.5908
30,75.0,7.0,30.55443
30,76.0,7.0,30.52068
30,77.0,7.0,30.48967
30,78.0,7.0,30.4615
30,79.0,7.0,30.43623
30,80.0,7.0,30.41391
30,81.0,7.0,30.39455
30,82.0,7.0,30.37813
30,83.0,7.0,30.3646
30,84.0,7.0,30.35392
30,85.0,7.0,30.34598
30,86.0,7.0,30.34068
30,87.0,7.0,30.3379
30,88.0,7.0,30.3375
30,89.0,7.0,30.33933
30,90.0,7.0,30.34322
30,91.0,7.0,30.34902
30,92.0,7.0,30.35654
30,93.0,7.0,30.3656
30,94.0,7.0,30.37602
30,95.0,7.0,30.38761
30,96.0,7.0,30.4002
30,97.0,7.0,30.4136
30,98.0,7.0,30.42764
30,99.0,7.0,30.44214
30,100.0,7.0,30.45693
30,0.0,8.0,30.32357
30,1.0,8.0,30.34731
30,2.0,8.0,30.3715
30,3.0,8.0,30.39613
30,4.0,8.0,30.42118
30,5.0,8.0,30.44664
30,6.0,8.0,30.47251
30,7.0,8.0,30.49878
30,8.0,8.0,30.52548
30,9.0,8.0,30.55262
30,10.0,8.0,30.58022
30,11.0,8.0,30.60831
30,12.0,8.0,30.63693
30,13.0,8.0,30.6661
30,14.0,8.0,30.69586
30,15.0,8.0,30.72627
30,16.0,8.0,30.75735
30,17.0,8.0,30.78915
30,18.0,8.0,30.8217
30,19.0,8.0,30.85502
30,20.0,8.0,30.88914
30,21.0,8.0,30.92406
30,22.0,8.0,30.9598
30,23.0,8.0,30.99632
30,24.0,8.0,31.0336
30,25.0,8.0,31.0716
30,26.0,8.0,31.11024
30,27.0,8.0,31.14944
30,28.0,8.0,31.18908
30,29.0,8.0,31.22905
30,30.0,8.0,31.26917
30,31.0,8.0,31.30928
30,32.0,8.0,31.34917
30,33.0,8.0,31.38863
30,34.0,8.0,31.42741
30,35.0,8.0,31.46526
30,36.0,8.0,31.50192
30,37.0,8.0,31.53708
30,38.0,8.0,31.57047
30,39.0,8.0,31.60179
30,40.0,8.0,31.63073
30,41.0,8.0,31.65701
30,42.0,8.0,31.68033
30,43.0,8.0,31.70043
30,44.0,8.0,31.71705
30,45.0,8.0,31.72996
30,46.0,8.0,31.73895
30,47.0,8.0,31.74384
30,48.0,8.0,31.74449
30,49.0,8.0,31.7408
30,50.0,8.0,31.73269
30,51.0,8.0,31.72015
30,52.0,8.0,31.70319
30,53.0,8.0,31.68188
30,54.0,8.0,31.65632
30,55.0,8.0,31.62666
30,56.0,8.0,31.5931
30,57.0,8.0,31.55586
30,58.0,8.0,31.51522
30,59.0,8.0,31.47148
30,60.0,8.0,31.42496
30,61.0,8.0,31.37603
30,62.0,8.0,31.32506
30,63.0,8.0,31.27244
30,64.0,8.0,31.21859
30,65.0,8.0,31.16389
30,66.0,8.0,31.10877
30,67.0,8.0,31.05363
30,68.0,8.0,30.99886
30,69.0,8.0,30.94484
30,70.0,8.0,30.89192
30,71.0,8.0,30.84046
30,72.0,8.0,30.79076
30,73.0,8.0,30.7431
30,74.0,8.0,30.69775
30,75.0,8.0,30.65491
30,76.0,8.0,30.61479
30,77.0,8.0,30.57754
30,78.0,8.0,30.54328
30,79.0,8.0,30.51209
30,80.0,8.0,30.48403
30,81.0,8.0,30.45913
30,82.0,8.0,30.43737
30,83.0,8.0,30.41872
30,84.0,8.0,30.40313
30,85.0,8.0,30.3905
30,86.0,8.0,30.38074
30,87.0,8.0,30.37371
30,88.0,8.0,30.36927
30,89.0,8.0,30.36727
30,90.0,8.0,30.36755
30,91.0,8.0,30.36992
30,92.0,8.0,30.3742
30,93.0,8.0,30.38021
30,94.0,8.0,30.38776
30,95.0,8.0,30.39664
30,96.0,8.0,30.40669
30,97.0,8.0,30.4177
30,98.0,8.0,30.42949
30,99.0,8.0,30.44189
30,100.0,8.0,30.45471
30,0.0,9.0,30.32637
30,1.0,9.0,30.34922
30,2.0,9.0,30.37261
30,3.0,9.0,30.39653
30,4.0,9.0,30.42099
30,5.0,9.0,30.44599
30,6.0,9.0,30.47154
30,7.0,9.0,30.49768
30,8.0,9.0,30.52443
30,9.0,9.0,30.55182
30,10.0,9.0,30.5799
30,11.0,9.0,30.60872
30,12.0,9.0,30.63832
30,13.0,9.0,30.66876
30,14.0,9.0,30.7001
30,15.0,9.0,30.7324
30,16.0,9.0,30.76571
30,17.0,9.0,30.80008
30,18.0,9.0,30.83556
30,19.0,9.0,30.87219
30,20.0,9.0,30.91001
