sample,cycle,stage,capacity_mAh_cm2,voltage_V,cycle_ce_pct
A,1,plate,0.5151515,-0.054291,98.27
A,1,plate,0.5252525,-0.05447,98.27
A,1,plate,0.5353535,-0.05465,98.27
A,1,plate,0.5454545,-0.05483,98.27
A,1,plate,0.5555556,-0.05501,98.27
A,1,plate,0.5656566,-0.05519,98.27
A,1,plate,0.5757576,-0.055371,98.27
A,1,plate,0.5858586,-0.055552,98.27
A,1,plate,0.5959596,-0.055733,98.27
A,1,plate,0.6060606,-0.055914,98.27
A,1,plate,0.6161616,-0.056095,98.27
A,1,plate,0.6262626,-0.056276,98.27
A,1,plate,0.6363636,-0.056458,98.27
A,1,plate,0.6464646,-0.056639,98.27
A,1,plate,0.6565657,-0.056821,98.27
A,1,plate,0.6666667,-0.057002,98.27
A,1,plate,0.6767677,-0.057184,98.27
A,1,plate,0.6868687,-0.057365,98.27
A,1,plate,0.6969697,-0.057547,98.27
A,1,plate,0.7070707,-0.057728,98.27
A,1,plate,0.7171717,-0.05791,98.27
A,1,plate,0.7272727,-0.058092,98.27
A,1,plate,0.7373737,-0.058273,98.27
A,1,plate,0.7474747,-0.058455,98.27
A,1,plate,0.7575758,-0.058637,98.27
A,1,plate,0.7676768,-0.058819,98.27
A,1,plate,0.7777778,-0.059,98.27
A,1,plate,0.7878788,-0.059182,98.27
A,1,plate,0.7979798,-0.059364,98.27
A,1,plate,0.8080808,-0.059546,98.27
A,1,plate,0.8181818,-0.059728,98.27
A,1,plate,0.8282828,-0.059909,98.27
A,1,plate,0.8383838,-0.060091,98.27
A,1,plate,0.8484848,-0.060273,98.27
A,1,plate,0.8585859,-0.060455,98.27
A,1,plate,0.8686869,-0.060636,98.27
A,1,plate,0.8787879,-0.060818,98.27
A,1,plate,0.8888889,-0.061,98.27
A,1,plate,0.8989899,-0.061182,98.27
A,1,plate,0.9090909,-0.061364,98.27
A,1,plate,0.9191919,-0.061546,98.27
A,1,plate,0.9292929,-0.061727,98.27
A,1,plate,0.9393939,-0.061909,98.27
A,1,plate,0.9494949,-0.062091,98.27
A,1,plate,0.959596,-0.062273,98.27
A,1,plate,0.969697,-0.062455,98.27
A,1,plate,0.979798,-0.062636,98.27
A,1,plate,0.989899,-0.062818,98.27
A,1,plate,1.0,-0.063,98.27
A,1,strip,0.0,0.04502,98.27
A,1,strip,0.0099263,0.04502,98.27
A,1,strip,0.0198525,0.04502,98.27
A,1,strip,0.0297788,0.04502,98.27
A,1,strip,0.039705,0.04502,98.27
A,1,strip,0.0496313,0.04502,98.27
A,1,strip,0.0595576,0.04502,98.27
A,1,strip,0.0694838,0.04502,98.27
A,1,strip,0.0794101,0.04502,98.27
A,1,strip,0.0893364,0.04502,98.27
A,1,strip,0.0992626,0.04502,98.27
A,1,strip,0.1091889,0.04502,98.27
A,1,strip,0.1191151,0.04502,98.27
A,1,strip,0.1290414,0.04502,98.27
A,1,strip,0.1389677,0.045021,98.27
A,1,strip,0.1488939,0.045021,98.27
A,1,strip,0.1588202,0.045021,98.27
A,1,strip,0.1687465,0.045022,98.27
A,1,strip,0.1786727,0.045022,98.27
A,1,strip,0.188599,0.045023,98.27
A,1,strip,0.1985252,0.045024,98.27
A,1,strip,0.2084515,0.045026,98.27
A,1,strip,0.2183778,0.045028,98.27
A,1,strip,0.228304,0.04503,98.27
A,1,strip,0.2382303,0.045033,98.27
A,1,strip,0.2481566,0.045037,98.27
A,1,strip,0.2580828,0.045041,98.27
A,1,strip,0.2680091,0.045047,98.27
A,1,strip,0.2779353,0.045053,98.27
A,1,strip,0.2878616,0.045061,98.27
A,1,strip,0.2977879,0.04507,98.27
A,1,strip,0.3077141,0.045081,98.27
A,1,strip,0.3176404,0.045094,98.27
A,1,strip,0.3275667,0.045109,98.27
A,1,strip,0.3374929,0.045127,98.27
A,1,strip,0.3474192,0.045147,98.27
A,1,strip,0.3573454,0.04517,98.27
A,1,strip,0.3672717,0.045197,98.27
A,1,strip,0.377198,0.045228,98.27
A,1,strip,0.3871242,0.045263,98.27
A,1,strip,0.3970505,0.045303,98.27
A,1,strip,0.4069768,0.045348,98.27
A,1,strip,0.416903,0.045399,98.27
A,1,strip,0.4268293,0.045456,98.27
A,1,strip,0.4367555,0.045521,98.27
A,1,strip,0.4466818,0.045593,98.27
A,1,strip,0.4566081,0.045674,98.27
A,1,strip,0.4665343,0.045764,98.27
A,1,strip,0.4764606,0.045864,98.27
A,1,strip,0.4863869,0.045976,98.27
A,1,strip,0.4963131,0.046099,98.27
A,1,strip,0.5062394,0.046235,98.27
A,1,strip,0.5161656,0.046385,98.27
A,1,strip,0.5260919,0.04655,98.27
A,1,strip,0.5360182,0.046732,98.27
A,1,strip,0.5459444,0.046931,98.27
A,1,strip,0.5558707,0.047149,98.27
A,1,strip,0.565797,0.047388,98.27
A,1,strip,0.5757232,0.047648,98.27
A,1,strip,0.5856495,0.047932,98.27
A,1,strip,0.5955757,0.048241,98.27
A,1,strip,0.605502,0.048577,98.27
A,1,strip,0.6154283,0.048942,98.27
A,1,strip,0.6253545,0.049337,98.27
A,1,strip,0.6352808,0.049764,98.27
A,1,strip,0.6452071,0.050227,98.27
A,1,strip,0.6551333,0.050726,98.27
A,1,strip,0.6650596,0.051265,98.27
A,1,strip,0.6749858,0.051846,98.27
A,1,strip,0.6849121,0.052471,98.27
A,1,strip,0.6948384,0.053143,98.27
A,1,strip,0.7047646,0.053864,98.27
A,1,strip,0.7146909,0.054638,98.27
A,1,strip,0.7246172,0.055468,98.27
A,1,strip,0.7345434,0.056357,98.27
A,1,strip,0.7444697,0.057308,98.27
A,1,strip,0.7543959,0.058324,98.27
A,1,strip,0.7643222,0.05941,98.27
A,1,strip,0.7742485,0.060568,98.27
A,1,strip,0.7841747,0.061803,98.27
A,1,strip,0.794101,0.063118,98.27
A,1,strip,0.8040273,0.064519,98.27
A,1,strip,0.8139535,0.066009,98.27
A,1,strip,0.8238798,0.067592,98.27
A,1,strip,0.833806,0.069274,98.27
A,1,strip,0.8437323,0.071058,98.27
A,1,strip,0.8536586,0.072951,98.27
A,1,strip,0.8635848,0.074958,98.27
A,1,strip,0.8735111,0.077083,98.27
A,1,strip,0.8834374,0.079332,98.27
A,1,strip,0.8933636,0.081711,98.27
A,1,strip,0.9032899,0.084226,98.27
A,1,strip,0.9132161,0.086883,98.27
A,1,strip,0.9231424,0.089688,98.27
A,1,strip,0.9330687,0.092649,98.27
A,1,strip,0.9429949,0.095771,98.27
A,1,strip,0.9529212,0.099062,98.27
A,1,strip,0.9628475,0.102529,98.27
A,1,strip,0.9727737,0.106179,98.27
A,1,strip,0.9827,0.11002,98.27
A,100,plate,0.0,-0.073,99.39003
A,100,plate,0.010101,-0.069419,99.39003
A,100,plate,0.020202,-0.066344,99.39003
A,100,plate,0.030303,-0.063707,99.39003
A,100,plate,0.040404,-0.061448,99.39003
A,100,plate,0.0505051,-0.059518,99.39003
A,100,plate,0.0606061,-0.057871,99.39003
A,100,plate,0.0707071,-0.05647,99.39003
A,100,plate,0.0808081,-0.055281,99.39003
A,100,plate,0.0909091,-0.054277,99.39003
A,100,plate,0.1010101,-0.053432,99.39003
A,100,plate,0.1111111,-0.052725,99.39003
A,100,plate,0.1212121,-0.052138,99.39003
A,100,plate,0.1313131,-0.051654,99.39003
A,100,plate,0.1414141,-0.051259,99.39003
A,100,plate,0.1515152,-0.050942,99.39003
A,100,plate,0.1616162,-0.050692,99.39003
A,100,plate,0.1717172,-0.0505,99.39003
A,100,plate,0.1818182,-0.050358,99.39003
A,100,plate,0.1919192,-0.050259,99.39003
A,100,plate,0.2020202,-0.050199,99.39003
A,100,plate,0.2121212,-0.050171,99.39003
A,100,plate,0.2222222,-0.050171,99.39003
A,100,plate,0.2323232,-0.050195,99.39003
A,100,plate,0.2424242,-0.050241,99.39003
A,100,plate,0.2525253,-0.050305,99.39003
A,100,plate,0.2626263,-0.050385,99.39003
A,100,plate,0.2727273,-0.050478,99.39003
A,100,plate,0.2828283,-0.050583,99.39003
A,100,plate,0.2929293,-0.050699,99.39003
A,100,plate,0.3030303,-0.050824,99.39003
A,100,plate,0.3131313,-0.050956,99.39003
A,100,plate,0.3232323,-0.051095,99.39003
A,100,plate,0.3333333,-0.051239,99.39003
A,100,plate,0.3434343,-0.051389,99.39003
A,100,plate,0.3535354,-0.051543,99.39003
A,100,plate,0.3636364,-0.051701,99.39003
A,100,plate,0.3737374,-0.051862,99.39003
A,100,plate,0.3838384,-0.052025,99.39003
A,100,plate,0.3939394,-0.052192,99.39003
A,100,plate,0.4040404,-0.05236,99.39003
A,100,plate,0.4141414,-0.05253,99.39003
A,100,plate,0.4242424,-0.052702,99.39003
A,100,plate,0.4343434,-0.052875,99.39003
A,100,plate,0.4444444,-0.053049,99.39003
A,100,plate,0.4545455,-0.053224,99.39003
A,100,plate,0.4646465,-0.0534,99.39003
A,100,plate,0.4747475,-0.053577,99.39003
A,100,plate,0.4848485,-0.053755,99.39003
A,100,plate,0.4949495,-0.053933,99.39003
A,100,plate,0.5050505,-0.054112,99.39003
A,100,plate,0.5151515,-0.054291,99.39003
A,100,plate,0.5252525,-0.05447,99.39003
A,100,plate,0.5353535,-0.05465,99.39003
A,100,plate,0.5454545,-0.05483,99.39003
A,100,plate,0.5555556,-0.05501,99.39003
A,100,plate,0.5656566,-0.05519,99.39003
A,100,plate,0.5757576,-0.055371,99.39003
A,100,plate,0.5858586,-0.055552,99.39003
A,100,plate,0.5959596,-0.055733,99.39003
A,100,plate,0.6060606,-0.055914,99.39003
A,100,plate,0.6161616,-0.056095,99.39003
A,100,plate,0.6262626,-0.056276,99.39003
A,100,plate,0.6363636,-0.056458,99.39003
A,100,plate,0.6464646,-0.056639,99.39003
A,100,plate,0.6565657,-0.056821,99.39003
A,100,plate,0.6666667,-0.057002,99.39003
A,100,plate,0.6767677,-0.057184,99.39003
A,100,plate,0.6868687,-0.057365,99.39003
A,100,plate,0.6969697,-0.057547,99.39003
A,100,plate,0.7070707,-0.057728,99.39003
A,100,plate,0.7171717,-0.05791,99.39003
A,100,plate,0.7272727,-0.058092,99.39003
A,100,plate,0.7373737,-0.058273,99.39003
A,100,plate,0.7474747,-0.058455,99.39003
A,100,plate,0.7575758,-0.058637,99.39003
A,100,plate,0.7676768,-0.058819,99.39003
A,100,plate,0.7777778,-0.059,99.39003
A,100,plate,0.7878788,-0.059182,99.39003
A,100,plate,0.7979798,-0.059364,99.39003
A,100,plate,0.8080808,-0.059546,99.39003
A,100,plate,0.8181818,-0.059728,99.39003
A,100,plate,0.8282828,-0.059909,99.39003
A,100,plate,0.8383838,-0.060091,99.39003
A,100,plate,0.8484848,-0.060273,99.39003
A,100,plate,0.8585859,-0.060455,99.39003
A,100,plate,0.8686869,-0.060636,99.39003
A,100,plate,0.8787879,-0.060818,99.39003
A,100,plate,0.8888889,-0.061,99.39003
A,100,plate,0.8989899,-0.061182,99.39003
A,100,plate,0.9090909,-0.061364,99.39003
A,100,plate,0.9191919,-0.061546,99.39003
A,100,plate,0.9292929,-0.061727,99.39003
A,100,plate,0.9393939,-0.061909,99.39003
A,100,plate,0.9494949,-0.062091,99.39003
A,100,plate,0.959596,-0.062273,99.39003
A,100,plate,0.969697,-0.062455,99.39003
A,100,plate,0.979798,-0.062636,99.39003
A,100,plate,0.989899,-0.062818,99.39003
A,100,plate,1.0,-0.063,99.39003
A,100,strip,0.0,0.047,99.39003
A,100,strip,0.0100394,0.047,99.39003
A,100,strip,0.0200788,0.047,99.39003
A,100,strip,0.0301182,0.047,99.39003
A,100,strip,0.0401576,0.047,99.39003
A,100,strip,0.050197,0.047,99.39003
A,100,strip,0.0602364,0.047,99.39003
A,100,strip,0.0702758,0.047,99.39003
A,100,strip,0.0803152,0.047,99.39003
A,100,strip,0.0903546,0.047,99.39003
A,100,strip,0.100394,0.047,99.39003
A,100,strip,0.1104334,0.047,99.39003
A,100,strip,0.1204728,0.047,99.39003
A,100,strip,0.1305122,0.047,99.39003
A,100,strip,0.1405516,0.047001,99.39003
A,100,strip,0.150591,0.047001,99.39003
A,100,strip,0.1606304,0.047001,99.39003
A,100,strip,0.1706697,0.047002,99.39003
A,100,strip,0.1807091,0.047002,99.39003
A,100,strip,0.1907485,0.047003,99.39003
A,100,strip,0.2007879,0.047004,99.39003
A,100,strip,0.2108273,0.047006,99.39003
A,100,strip,0.2208667,0.047008,99.39003
A,100,strip,0.2309061,0.04701,99.39003
A,100,strip,0.2409455,0.047013,99.39003
A,100,strip,0.2509849,0.047017,99.39003
A,100,strip,0.2610243,0.047021,99.39003
A,100,strip,0.2710637,0.047027,99.39003
A,100,strip,0.2811031,0.047033,99.39003
A,100,strip,0.2911425,0.047041,99.39003
A,100,strip,0.3011819,0.04705,99.39003
A,100,strip,0.3112213,0.047061,99.39003
A,100,strip,0.3212607,0.047074,99.39003
A,100,strip,0.3313001,0.047089,99.39003
A,100,strip,0.3413395,0.047107,99.39003
A,100,strip,0.3513789,0.047127,99.39003
A,100,strip,0.3614183,0.04715,99.39003
A,100,strip,0.3714577,0.047177,99.39003
A,100,strip,0.3814971,0.047208,99.39003
A,100,strip,0.3915365,0.047243,99.39003
A,100,strip,0.4015759,0.047283,99.39003
A,100,strip,0.4116153,0.047328,99.39003
A,100,strip,0.4216547,0.047379,99.39003
A,100,strip,0.4316941,0.047436,99.39003
A,100,strip,0.4417335,0.047501,99.39003
A,100,strip,0.4517729,0.047573,99.39003
A,100,strip,0.4618123,0.047654,99.39003
A,100,strip,0.4718517,0.047744,99.39003
A,100,strip,0.4818911,0.047844,99.39003
A,100,strip,0.4919305,0.047956,99.39003
A,100,strip,0.5019698,0.048079,99.39003
A,100,strip,0.5120092,0.048215,99.39003
A,100,strip,0.5220486,0.048365,99.39003
A,100,strip,0.532088,0.04853,99.39003
A,100,strip,0.5421274,0.048712,99.39003
A,100,strip,0.5521668,0.048911,99.39003
A,100,strip,0.5622062,0.049129,99.39003
A,100,strip,0.5722456,0.049368,99.39003
A,100,strip,0.582285,0.049628,99.39003
A,100,strip,0.5923244,0.049912,99.39003
A,100,strip,0.6023638,0.050221,99.39003
A,100,strip,0.6124032,0.050557,99.39003
A,100,strip,0.6224426,0.050922,99.39003
A,100,strip,0.632482,0.051317,99.39003
A,100,strip,0.6425214,0.051744,99.39003
A,100,strip,0.6525608,0.052207,99.39003
A,100,strip,0.6626002,0.052706,99.39003
A,100,strip,0.6726396,0.053245,99.39003
A,100,strip,0.682679,0.053826,99.39003
A,100,strip,0.6927184,0.054451,99.39003
A,100,strip,0.7027578,0.055123,99.39003
A,100,strip,0.7127972,0.055844,99.39003
A,100,strip,0.7228366,0.056618,99.39003
A,100,strip,0.732876,0.057448,99.39003
A,100,strip,0.7429154,0.058337,99.39003
A,100,strip,0.7529548,0.059288,99.39003
A,100,strip,0.7629942,0.060304,99.39003
A,100,strip,0.7730336,0.06139,99.39003
A,100,strip,0.783073,0.062548,99.39003
A,100,strip,0.7931124,0.063783,99.39003
A,100,strip,0.8031518,0.065098,99.39003
A,100,strip,0.8131912,0.066499,99.39003
A,100,strip,0.8232306,0.067989,99.39003
A,100,strip,0.83327,0.069572,99.39003
A,100,strip,0.8433093,0.071254,99.39003
A,100,strip,0.8533487,0.073038,99.39003
A,100,strip,0.8633881,0.074931,99.39003
A,100,strip,0.8734275,0.076938,99.39003
A,100,strip,0.8834669,0.079063,99.39003
A,100,strip,0.8935063,0.081312,99.39003
A,100,strip,0.9035457,0.083691,99.39003
A,100,strip,0.9135851,0.086206,99.39003
A,100,strip,0.9236245,0.088863,99.39003
A,100,strip,0.9336639,0.091668,99.39003
A,100,strip,0.9437033,0.094629,99.39003
A,100,strip,0.9537427,0.097751,99.39003
A,100,strip,0.9637821,0.101042,99.39003
A,100,strip,0.9738215,0.104509,99.39003
A,100,strip,0.9838609,0.108159,99.39003
A,100,strip,0.9939003,0.112,99.39003
A,300,plate,0.0,-0.073,99.28552
A,300,plate,0.010101,-0.069419,99.28552
A,300,plate,0.020202,-0.066344,99.28552
A,300,plate,0.030303,-0.063707,99.28552
A,300,plate,0.040404,-0.061448,99.28552
A,300,plate,0.0505051,-0.059518,99.28552
A,300,plate,0.0606061,-0.057871,99.28552
A,300,plate,0.0707071,-0.05647,99.28552
A,300,plate,0.0808081,-0.055281,99.28552
A,300,plate,0.0909091,-0.054277,99.28552
A,300,plate,0.1010101,-0.053432,99.28552
A,300,plate,0.1111111,-0.052725,99.28552
A,300,plate,0.1212121,-0.052138,99.28552
A,300,plate,0.1313131,-0.051654,99.28552
A,300,plate,0.1414141,-0.051259,99.28552
A,300,plate,0.1515152,-0.050942,99.28552
A,300,plate,0.1616162,-0.050692,99.28552
A,300,plate,0.1717172,-0.0505,99.28552
A,300,plate,0.1818182,-0.050358,99.28552
A,300,plate,0.1919192,-0.050259,99.28552
A,300,plate,0.2020202,-0.050199,99.28552
A,300,plate,0.2121212,-0.050171,99.28552
A,300,plate,0.2222222,-0.050171,99.28552
A,300,plate,0.2323232,-0.050195,99.28552
A,300,plate,0.2424242,-0.050241,99.28552
A,300,plate,0.2525253,-0.050305,99.28552
A,300,plate,0.2626263,-0.050385,99.28552
A,300,plate,0.2727273,-0.050478,99.28552
A,300,plate,0.2828283,-0.050583,99.28552
A,300,plate,0.2929293,-0.050699,99.28552
A,300,plate,0.3030303,-0.050824,99.28552
A,300,plate,0.3131313,-0.050956,99.28552
A,300,plate,0.3232323,-0.051095,99.28552
A,300,plate,0.3333333,-0.051239,99.28552
A,300,plate,0.3434343,-0.051389,99.28552
A,300,plate,0.3535354,-0.051543,99.28552
A,300,plate,0.3636364,-0.051701,99.28552
A,300,plate,0.3737374,-0.051862,99.28552
A,300,plate,0.3838384,-0.052025,99.28552
A,300,plate,0.3939394,-0.052192,99.28552
A,300,plate,0.4040404,-0.05236,99.28552
A,300,plate,0.4141414,-0.05253,99.28552
A,300,plate,0.4242424,-0.052702,99.28552
A,300,plate,0.4343434,-0.052875,99.28552
A,300,plate,0.4444444,-0.053049,99.28552
A,300,plate,0.4545455,-0.053224,99.28552
A,300,plate,0.4646465,-0.0534,99.28552
A,300,plate,0.4747475,-0.053577,99.28552
A,300,plate,0.4848485,-0.053755,99.28552
A,300,plate,0.4949495,-0.053933,99.28552
A,300,plate,0.5050505,-0.054112,99.28552
A,300,plate,0.5151515,-0.054291,99.28552
A,300,plate,0.5252525,-0.05447,99.28552
A,300,plate,0.5353535,-0.05465,99.28552
A,300,plate,0.5454545,-0.05483,99.28552
A,300,plate,0.5555556,-0.05501,99.28552
A,300,plate,0.5656566,-0.05519,99.28552
A,300,plate,0.5757576,-0.055371,99.28552
A,300,plate,0.5858586,-0.055552,99.28552
A,300,plate,0.5959596,-0.055733,99.28552
A,300,plate,0.6060606,-0.055914,99.28552
A,300,plate,0.6161616,-0.056095,99.28552
A,300,plate,0.6262626,-0.056276,99.28552
A,300,plate,0.6363636,-0.056458,99.28552
A,300,plate,0.6464646,-0.056639,99.28552
A,300,plate,0.6565657,-0.056821,99.28552
A,300,plate,0.6666667,-0.057002,99.28552
A,300,plate,0.6767677,-0.057184,99.28552
A,300,plate,0.6868687,-0.057365,99.28552
A,300,plate,0.6969697,-0.057547,99.28552
A,300,plate,0.7070707,-0.057728,99.28552
A,300,plate,0.7171717,-0.05791,99.28552
A,300,plate,0.7272727,-0.058092,99.28552
A,300,plate,0.7373737,-0.058273,99.28552
A,300,plate,0.7474747,-0.058455,99.28552
A,300,plate,0.7575758,-0.058637,99.28552
A,300,plate,0.7676768,-0.058819,99.28552
A,300,plate,0.7777778,-0.059,99.28552
A,300,plate,0.7878788,-0.059182,99.28552
A,300,plate,0.7979798,-0.059364,99.28552
A,300,plate,0.8080808,-0.059546,99.28552
A,300,plate,0.8181818,-0.059728,99.28552
A,300,plate,0.8282828,-0.059909,99.28552
A,300,plate,0.8383838,-0.060091,99.28552
A,300,plate,0.8484848,-0.060273,99.28552
A,300,plate,0.8585859,-0.060455,99.28552
A,300,plate,0.8686869,-0.060636,99.28552
A,300,plate,0.8787879,-0.060818,99.28552
A,300,plate,0.8888889,-0.061,99.28552
A,300,plate,0.8989899,-0.061182,99.28552
A,300,plate,0.9090909,-0.061364,99.28552
A,300,plate,0.9191919,-0.061546,99.28552
A,300,plate,0.9292929,-0.061727,99.28552
A,300,plate,0.9393939,-0.061909,99.28552
A,300,plate,0.9494949,-0.062091,99.28552
A,300,plate,0.959596,-0.062273,99.28552
A,300,plate,0.969697,-0.062455,99.28552
A,300,plate,0.979798,-0.062636,99.28552
A,300,plate,0.989899,-0.062818,99.28552
A,300,plate,1.0,-0.063,99.28552
A,300,strip,0.0,0.051,99.28552
A,300,strip,0.0100288,0.051,99.28552
A,300,strip,0.0200577,0.051,99.28552
A,300,strip,0.0300865,0.051,99.28552
A,300,strip,0.0401154,0.051,99.28552
A,300,strip,0.0501442,0.051,99.28552
A,300,strip,0.060173,0.051,99.28552
A,300,strip,0.0702019,0.051,99.28552
A,300,strip,0.0802307,0.051,99.28552
A,300,strip,0.0902596,0.051,99.28552
A,300,strip,0.1002884,0.051,99.28552
A,300,strip,0.1103172,0.051,99.28552
A,300,strip,0.1203461,0.051,99.28552
A,300,strip,0.1303749,0.051,99.28552
A,300,strip,0.1404038,0.051001,99.28552
A,300,strip,0.1504326,0.051001,99.28552
A,300,strip,0.1604615,0.051001,99.28552
A,300,strip,0.1704903,0.051002,99.28552
A,300,strip,0.1805191,0.051002,99.28552
A,300,strip,0.190548,0.051003,99.28552
A,300,strip,0.2005768,0.051004,99.28552
A,300,strip,0.2106057,0.051006,99.28552
A,300,strip,0.2206345,0.051008,99.28552
A,300,strip,0.2306633,0.05101,99.28552
A,300,strip,0.2406922,0.051013,99.28552
A,300,strip,0.250721,0.051017,99.28552
A,300,strip,0.2607499,0.051021,99.28552
A,300,strip,0.2707787,0.051027,99.28552
A,300,strip,0.2808075,0.051033,99.28552
A,300,strip,0.2908364,0.051041,99.28552
A,300,strip,0.3008652,0.05105,99.28552
A,300,strip,0.3108941,0.051061,99.28552
A,300,strip,0.3209229,0.051074,99.28552
A,300,strip,0.3309517,0.051089,99.28552
A,300,strip,0.3409806,0.051107,99.28552
A,300,strip,0.3510094,0.051127,99.28552
A,300,strip,0.3610383,0.05115,99.28552
A,300,strip,0.3710671,0.051177,99.28552
A,300,strip,0.3810959,0.051208,99.28552
A,300,strip,0.3911248,0.051243,99.28552
A,300,strip,0.4011536,0.051283,99.28552
A,300,strip,0.4111825,0.051328,99.28552
A,300,strip,0.4212113,0.051379,99.28552
A,300,strip,0.4312401,0.051436,99.28552
A,300,strip,0.441269,0.051501,99.28552
A,300,strip,0.4512978,0.051573,99.28552
A,300,strip,0.4613267,0.051654,99.28552
A,300,strip,0.4713555,0.051744,99.28552
A,300,strip,0.4813844,0.051844,99.28552
A,300,strip,0.4914132,0.051956,99.28552
A,300,strip,0.501442,0.052079,99.28552
A,300,strip,0.5114709,0.052215,99.28552
A,300,strip,0.5214997,0.052365,99.28552
A,300,strip,0.5315286,0.05253,99.28552
A,300,strip,0.5415574,0.052712,99.28552
A,300,strip,0.5515862,0.052911,99.28552
A,300,strip,0.5616151,0.053129,99.28552
A,300,strip,0.5716439,0.053368,99.28552
A,300,strip,0.5816728,0.053628,99.28552
A,300,strip,0.5917016,0.053912,99.28552
A,300,strip,0.6017304,0.054221,99.28552
A,300,strip,0.6117593,0.054557,99.28552
A,300,strip,0.6217881,0.054922,99.28552
A,300,strip,0.631817,0.055317,99.28552
A,300,strip,0.6418458,0.055744,99.28552
A,300,strip,0.6518746,0.056207,99.28552
A,300,strip,0.6619035,0.056706,99.28552
A,300,strip,0.6719323,0.057245,99.28552
A,300,strip,0.6819612,0.057826,99.28552
A,300,strip,0.69199,0.058451,99.28552
A,300,strip,0.7020188,0.059123,99.28552
A,300,strip,0.7120477,0.059844,99.28552
A,300,strip,0.7220765,0.060618,99.28552
A,300,strip,0.7321054,0.061448,99.28552
A,300,strip,0.7421342,0.062337,99.28552
A,300,strip,0.752163,0.063288,99.28552
A,300,strip,0.7621919,0.064304,99.28552
A,300,strip,0.7722207,0.06539,99.28552
A,300,strip,0.7822496,0.066548,99.28552
A,300,strip,0.7922784,0.067783,99.28552
A,300,strip,0.8023073,0.069098,99.28552
A,300,strip,0.8123361,0.070499,99.28552
A,300,strip,0.8223649,0.071989,99.28552
A,300,strip,0.8323938,0.073572,99.28552
A,300,strip,0.8424226,0.075254,99.28552
A,300,strip,0.8524515,0.077038,99.28552
A,300,strip,0.8624803,0.078931,99.28552
A,300,strip,0.8725091,0.080938,99.28552
A,300,strip,0.882538,0.083063,99.28552
A,300,strip,0.8925668,0.085312,99.28552
A,300,strip,0.9025957,0.087691,99.28552
A,300,strip,0.9126245,0.090206,99.28552
A,300,strip,0.9226533,0.092863,99.28552
A,300,strip,0.9326822,0.095668,99.28552
A,300,strip,0.942711,0.098629,99.28552
A,300,strip,0.9527399,0.101751,99.28552
A,300,strip,0.9627687,0.105042,99.28552
A,300,strip,0.9727975,0.108509,99.28552
A,300,strip,0.9828264,0.112159,99.28552
A,300,strip,0.9928552,0.116,99.28552
B,1,plate,0.0,-0.093,97.54
B,1,plate,0.010101,-0.089419,97.54
B,1,plate,0.020202,-0.086344,97.54
B,1,plate,0.030303,-0.083707,97.54
B,1,plate,0.040404,-0.081448,97.54
B,1,plate,0.0505051,-0.079518,97.54
