sample,time_h,half_cycle,current_mA_cm2,fraction_of_half_cycle,voltage_mV
A,1.714286,2,-1.0,0.714286,-34.98098
A,1.734694,2,-1.0,0.734694,-35.06627
A,1.755102,2,-1.0,0.755102,-35.15892
A,1.77551,2,-1.0,0.77551,-35.25936
A,1.795918,2,-1.0,0.795918,-35.36801
A,1.816327,2,-1.0,0.816327,-35.48532
A,1.836735,2,-1.0,0.836735,-35.61175
A,1.857143,2,-1.0,0.857143,-35.74777
A,1.877551,2,-1.0,0.877551,-35.89384
A,1.897959,2,-1.0,0.897959,-36.05046
A,1.918367,2,-1.0,0.918367,-36.21812
A,1.938776,2,-1.0,0.938776,-36.39734
A,1.959184,2,-1.0,0.959184,-36.58863
A,1.979592,2,-1.0,0.979592,-36.79252
A,2.0,2,-1.0,1.0,-37.00956
A,2.0,3,1.0,0.0,28.53249
A,2.020408,3,1.0,0.020408,29.84834
A,2.040816,3,1.0,0.040816,30.86792
A,2.061224,3,1.0,0.061224,31.65795
A,2.081633,3,1.0,0.081633,32.27016
A,2.102041,3,1.0,0.102041,32.74463
A,2.122449,3,1.0,0.122449,33.11245
A,2.142857,3,1.0,0.142857,33.39773
A,2.163265,3,1.0,0.163265,33.61918
A,2.183673,3,1.0,0.183673,33.79132
A,2.204082,3,1.0,0.204082,33.92542
A,2.22449,3,1.0,0.22449,34.03028
A,2.244898,3,1.0,0.244898,34.11271
A,2.265306,3,1.0,0.265306,34.17807
A,2.285714,3,1.0,0.285714,34.23051
A,2.306122,3,1.0,0.306122,34.27333
A,2.326531,3,1.0,0.326531,34.30911
A,2.346939,3,1.0,0.346939,34.33991
A,2.367347,3,1.0,0.367347,34.36735
A,2.387755,3,1.0,0.387755,34.39278
A,2.408163,3,1.0,0.408163,34.41727
A,2.428571,3,1.0,0.428571,34.44172
A,2.44898,3,1.0,0.44898,34.4669
A,2.469388,3,1.0,0.469388,34.49345
A,2.489796,3,1.0,0.489796,34.52195
A,2.510204,3,1.0,0.510204,34.55291
A,2.530612,3,1.0,0.530612,34.5868
A,2.55102,3,1.0,0.55102,34.62406
A,2.571429,3,1.0,0.571429,34.6651
A,2.591837,3,1.0,0.591837,34.71033
A,2.612245,3,1.0,0.612245,34.76014
A,2.632653,3,1.0,0.632653,34.81492
A,2.653061,3,1.0,0.653061,34.87506
A,2.673469,3,1.0,0.673469,34.94095
A,2.693878,3,1.0,0.693878,35.013
A,2.714286,3,1.0,0.714286,35.0916
A,2.734694,3,1.0,0.734694,35.17716
A,2.755102,3,1.0,0.755102,35.27011
A,2.77551,3,1.0,0.77551,35.37086
A,2.795918,3,1.0,0.795918,35.47985
A,2.816327,3,1.0,0.816327,35.59754
A,2.836735,3,1.0,0.836735,35.72437
A,2.857143,3,1.0,0.857143,35.86081
A,2.877551,3,1.0,0.877551,36.00735
A,2.897959,3,1.0,0.897959,36.16446
A,2.918367,3,1.0,0.918367,36.33265
A,2.938776,3,1.0,0.938776,36.51244
A,2.959184,3,1.0,0.959184,36.70433
A,2.979592,3,1.0,0.979592,36.90887
A,3.0,3,1.0,1.0,37.12659
A,3.0,4,-1.0,0.0,-28.22863
A,3.020408,4,-1.0,0.020408,-29.53046
A,3.040816,4,-1.0,0.040816,-30.53918
A,3.061224,4,-1.0,0.061224,-31.3208
A,3.081633,4,-1.0,0.081633,-31.92649
A,3.102041,4,-1.0,0.102041,-32.39591
A,3.122449,4,-1.0,0.122449,-32.75981
A,3.142857,4,-1.0,0.142857,-33.04205
A,3.163265,4,-1.0,0.163265,-33.26114
A,3.183673,4,-1.0,0.183673,-33.43144
A,3.204082,4,-1.0,0.204082,-33.56412
A,3.22449,4,-1.0,0.22449,-33.66786
A,3.244898,4,-1.0,0.244898,-33.74942
A,3.265306,4,-1.0,0.265306,-33.81408
A,3.285714,4,-1.0,0.285714,-33.86597
A,3.306122,4,-1.0,0.306122,-33.90833
A,3.326531,4,-1.0,0.326531,-33.94373
A,3.346939,4,-1.0,0.346939,-33.97419
A,3.367347,4,-1.0,0.367347,-34.00134
A,3.387755,4,-1.0,0.387755,-34.0265
A,3.408163,4,-1.0,0.408163,-34.05073
A,3.428571,4,-1.0,0.428571,-34.07492
A,3.44898,4,-1.0,0.44898,-34.09983
A,3.469388,4,-1.0,0.469388,-34.12611
A,3.489796,4,-1.0,0.489796,-34.1543
A,3.510204,4,-1.0,0.510204,-34.18493
A,3.530612,4,-1.0,0.530612,-34.21846
A,3.55102,4,-1.0,0.55102,-34.25532
A,3.571429,4,-1.0,0.571429,-34.29592
A,3.591837,4,-1.0,0.591837,-34.34067
A,3.612245,4,-1.0,0.612245,-34.38995
A,3.632653,4,-1.0,0.632653,-34.44414
A,3.653061,4,-1.0,0.653061,-34.50364
A,3.673469,4,-1.0,0.673469,-34.56884
A,3.693878,4,-1.0,0.693878,-34.64012
A,3.714286,4,-1.0,0.714286,-34.71788
A,3.734694,4,-1.0,0.734694,-34.80253
A,3.755102,4,-1.0,0.755102,-34.89449
A,3.77551,4,-1.0,0.77551,-34.99416
A,3.795918,4,-1.0,0.795918,-35.102
A,3.816327,4,-1.0,0.816327,-35.21843
A,3.836735,4,-1.0,0.836735,-35.34391
A,3.857143,4,-1.0,0.857143,-35.4789
A,3.877551,4,-1.0,0.877551,-35.62387
A,3.897959,4,-1.0,0.897959,-35.77932
A,3.918367,4,-1.0,0.918367,-35.94572
A,3.938776,4,-1.0,0.938776,-36.12358
A,3.959184,4,-1.0,0.959184,-36.31343
A,3.979592,4,-1.0,0.979592,-36.51579
A,4.0,4,-1.0,1.0,-36.7312
A,4.0,5,1.0,0.0,28.02154
A,4.020408,5,1.0,0.020408,29.31383
A,4.040816,5,1.0,0.040816,30.31515
A,4.061224,5,1.0,0.061224,31.09103
A,4.081633,5,1.0,0.081633,31.69227
A,4.102041,5,1.0,0.102041,32.15825
A,4.122449,5,1.0,0.122449,32.51948
A,4.142857,5,1.0,0.142857,32.79966
A,4.163265,5,1.0,0.163265,33.01714
A,4.183673,5,1.0,0.183673,33.18619
A,4.204082,5,1.0,0.204082,33.31789
A,4.22449,5,1.0,0.22449,33.42087
A,4.244898,5,1.0,0.244898,33.50183
A,4.265306,5,1.0,0.265306,33.56601
A,4.285714,5,1.0,0.285714,33.61752
A,4.306122,5,1.0,0.306122,33.65958
A,4.326531,5,1.0,0.326531,33.69472
A,4.346939,5,1.0,0.346939,33.72496
A,4.367347,5,1.0,0.367347,33.75191
A,4.387755,5,1.0,0.387755,33.77688
A,4.408163,5,1.0,0.408163,33.80093
A,4.428571,5,1.0,0.428571,33.82495
A,4.44898,5,1.0,0.44898,33.84968
A,4.469388,5,1.0,0.469388,33.87575
A,4.489796,5,1.0,0.489796,33.90374
A,4.510204,5,1.0,0.510204,33.93415
A,4.530612,5,1.0,0.530612,33.96743
A,4.55102,5,1.0,0.55102,34.00402
A,4.571429,5,1.0,0.571429,34.04433
A,4.591837,5,1.0,0.591837,34.08874
A,4.612245,5,1.0,0.612245,34.13766
A,4.632653,5,1.0,0.632653,34.19146
A,4.653061,5,1.0,0.653061,34.25052
A,4.673469,5,1.0,0.673469,34.31524
A,4.693878,5,1.0,0.693878,34.386
A,4.714286,5,1.0,0.714286,34.46319
A,4.734694,5,1.0,0.734694,34.54722
A,4.755102,5,1.0,0.755102,34.6385
A,4.77551,5,1.0,0.77551,34.73745
A,4.795918,5,1.0,0.795918,34.84449
A,4.816327,5,1.0,0.816327,34.96007
A,4.836735,5,1.0,0.836735,35.08463
A,4.857143,5,1.0,0.857143,35.21863
A,4.877551,5,1.0,0.877551,35.36254
A,4.897959,5,1.0,0.897959,35.51684
A,4.918367,5,1.0,0.918367,35.68202
A,4.938776,5,1.0,0.938776,35.85858
A,4.959184,5,1.0,0.959184,36.04704
A,4.979592,5,1.0,0.979592,36.24791
A,5.0,5,1.0,1.0,36.46174
A,5.0,6,-1.0,0.0,-28.41898
A,5.020408,6,-1.0,0.020408,-29.72959
A,5.040816,6,-1.0,0.040816,-30.74512
A,5.061224,6,-1.0,0.061224,-31.532
A,5.081633,6,-1.0,0.081633,-32.14178
A,5.102041,6,-1.0,0.102041,-32.61436
A,5.122449,6,-1.0,0.122449,-32.98072
A,5.142857,6,-1.0,0.142857,-33.26486
A,5.163265,6,-1.0,0.163265,-33.48543
A,5.183673,6,-1.0,0.183673,-33.65688
A,5.204082,6,-1.0,0.204082,-33.79045
A,5.22449,6,-1.0,0.22449,-33.89489
A,5.244898,6,-1.0,0.244898,-33.977
A,5.265306,6,-1.0,0.265306,-34.04209
A,5.285714,6,-1.0,0.285714,-34.09433
A,5.306122,6,-1.0,0.306122,-34.13698
A,5.326531,6,-1.0,0.326531,-34.17262
A,5.346939,6,-1.0,0.346939,-34.20329
A,5.367347,6,-1.0,0.367347,-34.23062
A,5.387755,6,-1.0,0.387755,-34.25595
A,5.408163,6,-1.0,0.408163,-34.28034
A,5.428571,6,-1.0,0.428571,-34.3047
A,5.44898,6,-1.0,0.44898,-34.32978
A,5.469388,6,-1.0,0.469388,-34.35623
A,5.489796,6,-1.0,0.489796,-34.38461
A,5.510204,6,-1.0,0.510204,-34.41545
A,5.530612,6,-1.0,0.530612,-34.4492
A,5.55102,6,-1.0,0.55102,-34.48631
A,5.571429,6,-1.0,0.571429,-34.52719
A,5.591837,6,-1.0,0.591837,-34.57224
A,5.612245,6,-1.0,0.612245,-34.62185
A,5.632653,6,-1.0,0.632653,-34.67641
A,5.653061,6,-1.0,0.653061,-34.73631
A,5.673469,6,-1.0,0.673469,-34.80194
A,5.693878,6,-1.0,0.693878,-34.8737
A,5.714286,6,-1.0,0.714286,-34.95199
A,5.734694,6,-1.0,0.734694,-35.03721
A,5.755102,6,-1.0,0.755102,-35.12979
A,5.77551,6,-1.0,0.77551,-35.23014
A,5.795918,6,-1.0,0.795918,-35.3387
A,5.816327,6,-1.0,0.816327,-35.45592
A,5.836735,6,-1.0,0.836735,-35.58224
A,5.857143,6,-1.0,0.857143,-35.71814
A,5.877551,6,-1.0,0.877551,-35.86409
A,5.897959,6,-1.0,0.897959,-36.02058
A,5.918367,6,-1.0,0.918367,-36.18811
A,5.938776,6,-1.0,0.938776,-36.36717
A,5.959184,6,-1.0,0.959184,-36.5583
A,5.979592,6,-1.0,0.979592,-36.76203
A,6.0,6,-1.0,1.0,-36.97889
A,6.0,7,1.0,0.0,28.51755
A,6.020408,7,1.0,0.020408,29.83271
A,6.040816,7,1.0,0.040816,30.85175
A,6.061224,7,1.0,0.061224,31.64137
A,6.081633,7,1.0,0.081633,32.25326
A,6.102041,7,1.0,0.102041,32.72748
A,6.122449,7,1.0,0.122449,33.09511
A,6.142857,7,1.0,0.142857,33.38024
A,6.163265,7,1.0,0.163265,33.60157
A,6.183673,7,1.0,0.183673,33.77362
A,6.204082,7,1.0,0.204082,33.90765
A,6.22449,7,1.0,0.22449,34.01245
A,6.244898,7,1.0,0.244898,34.09485
A,6.265306,7,1.0,0.265306,34.16017
A,6.285714,7,1.0,0.285714,34.21259
A,6.306122,7,1.0,0.306122,34.25538
A,6.326531,7,1.0,0.326531,34.29115
A,6.346939,7,1.0,0.346939,34.32192
A,6.367347,7,1.0,0.367347,34.34935
A,6.387755,7,1.0,0.387755,34.37476
A,6.408163,7,1.0,0.408163,34.39924
A,6.428571,7,1.0,0.428571,34.42368
A,6.44898,7,1.0,0.44898,34.44885
A,6.469388,7,1.0,0.469388,34.47539
A,6.489796,7,1.0,0.489796,34.50387
A,6.510204,7,1.0,0.510204,34.53482
A,6.530612,7,1.0,0.530612,34.56869
A,6.55102,7,1.0,0.55102,34.60593
A,6.571429,7,1.0,0.571429,34.64694
A,6.591837,7,1.0,0.591837,34.69215
A,6.612245,7,1.0,0.612245,34.74193
A,6.632653,7,1.0,0.632653,34.79668
A,6.653061,7,1.0,0.653061,34.85679
A,6.673469,7,1.0,0.673469,34.92265
A,6.693878,7,1.0,0.693878,34.99466
A,6.714286,7,1.0,0.714286,35.07322
A,6.734694,7,1.0,0.734694,35.15874
A,6.755102,7,1.0,0.755102,35.25163
A,6.77551,7,1.0,0.77551,35.35233
A,6.795918,7,1.0,0.795918,35.46127
A,6.816327,7,1.0,0.816327,35.57889
A,6.836735,7,1.0,0.836735,35.70566
A,6.857143,7,1.0,0.857143,35.84203
A,6.877551,7,1.0,0.877551,35.98849
A,6.897959,7,1.0,0.897959,36.14552
A,6.918367,7,1.0,0.918367,36.31363
A,6.938776,7,1.0,0.938776,36.49331
A,6.959184,7,1.0,0.959184,36.68511
A,6.979592,7,1.0,0.979592,36.88954
A,7.0,7,1.0,1.0,37.10715
A,7.0,8,-1.0,0.0,-28.22521
A,7.020408,8,-1.0,0.020408,-29.52689
A,7.040816,8,-1.0,0.040816,-30.53549
A,7.061224,8,-1.0,0.061224,-31.31701
A,7.081633,8,-1.0,0.081633,-31.92263
A,7.102041,8,-1.0,0.102041,-32.39199
A,7.122449,8,-1.0,0.122449,-32.75585
A,7.142857,8,-1.0,0.142857,-33.03806
A,7.163265,8,-1.0,0.163265,-33.25712
A,7.183673,8,-1.0,0.183673,-33.4274
A,7.204082,8,-1.0,0.204082,-33.56006
A,7.22449,8,-1.0,0.22449,-33.66379
A,7.244898,8,-1.0,0.244898,-33.74534
A,7.265306,8,-1.0,0.265306,-33.80999
A,7.285714,8,-1.0,0.285714,-33.86187
A,7.306122,8,-1.0,0.306122,-33.90423
A,7.326531,8,-1.0,0.326531,-33.93962
A,7.346939,8,-1.0,0.346939,-33.97008
A,7.367347,8,-1.0,0.367347,-33.99723
A,7.387755,8,-1.0,0.387755,-34.02238
A,7.408163,8,-1.0,0.408163,-34.04661
A,7.428571,8,-1.0,0.428571,-34.0708
A,7.44898,8,-1.0,0.44898,-34.09571
A,7.469388,8,-1.0,0.469388,-34.12198
A,7.489796,8,-1.0,0.489796,-34.15017
A,7.510204,8,-1.0,0.510204,-34.1808
A,7.530612,8,-1.0,0.530612,-34.21432
A,7.55102,8,-1.0,0.55102,-34.25118
A,7.571429,8,-1.0,0.571429,-34.29177
A,7.591837,8,-1.0,0.591837,-34.33652
A,7.612245,8,-1.0,0.612245,-34.38579
A,7.632653,8,-1.0,0.632653,-34.43998
A,7.653061,8,-1.0,0.653061,-34.49947
A,7.673469,8,-1.0,0.673469,-34.56466
A,7.693878,8,-1.0,0.693878,-34.63593
A,7.714286,8,-1.0,0.714286,-34.71368
A,7.734694,8,-1.0,0.734694,-34.79832
A,7.755102,8,-1.0,0.755102,-34.89027
A,7.77551,8,-1.0,0.77551,-34.98993
A,7.795918,8,-1.0,0.795918,-35.09775
A,7.816327,8,-1.0,0.816327,-35.21417
A,7.836735,8,-1.0,0.836735,-35.33963
A,7.857143,8,-1.0,0.857143,-35.47461
A,7.877551,8,-1.0,0.877551,-35.61957
A,7.897959,8,-1.0,0.897959,-35.77499
A,7.918367,8,-1.0,0.918367,-35.94137
A,7.938776,8,-1.0,0.938776,-36.11922
A,7.959184,8,-1.0,0.959184,-36.30904
A,7.979592,8,-1.0,0.979592,-36.51138
A,8.0,8,-1.0,1.0,-36.72676
A,8.0,9,1.0,0.0,28.26913
A,8.020408,9,1.0,0.020408,29.57283
A,8.040816,9,1.0,0.040816,30.583
A,8.061224,9,1.0,0.061224,31.36574
A,8.081633,9,1.0,0.081633,31.97229
A,8.102041,9,1.0,0.102041,32.44239
A,8.122449,9,1.0,0.122449,32.80681
A,8.142857,9,1.0,0.142857,33.08946
A,8.163265,9,1.0,0.163265,33.30886
A,8.183673,9,1.0,0.183673,33.47941
A,8.204082,9,1.0,0.204082,33.61228
A,8.22449,9,1.0,0.22449,33.71616
A,8.244898,9,1.0,0.244898,33.79784
A,8.265306,9,1.0,0.265306,33.86259
A,8.285714,9,1.0,0.285714,33.91455
A,8.306122,9,1.0,0.306122,33.95698
A,8.326531,9,1.0,0.326531,33.99243
A,8.346939,9,1.0,0.346939,34.02293
A,8.367347,9,1.0,0.367347,34.05013
A,8.387755,9,1.0,0.387755,34.07532
A,8.408163,9,1.0,0.408163,34.09958
A,8.428571,9,1.0,0.428571,34.12381
A,8.44898,9,1.0,0.44898,34.14876
A,8.469388,9,1.0,0.469388,34.17507
A,8.489796,9,1.0,0.489796,34.2033
A,8.510204,9,1.0,0.510204,34.23398
A,8.530612,9,1.0,0.530612,34.26755
A,8.55102,9,1.0,0.55102,34.30447
A,8.571429,9,1.0,0.571429,34.34513
A,8.591837,9,1.0,0.591837,34.38994
A,8.612245,9,1.0,0.612245,34.43929
A,8.632653,9,1.0,0.632653,34.49356
A,8.653061,9,1.0,0.653061,34.55315
A,8.673469,9,1.0,0.673469,34.61844
A,8.693878,9,1.0,0.693878,34.68982
A,8.714286,9,1.0,0.714286,34.76769
A,8.734694,9,1.0,0.734694,34.85246
A,8.755102,9,1.0,0.755102,34.94455
A,8.77551,9,1.0,0.77551,35.04437
A,8.795918,9,1.0,0.795918,35.15236
A,8.816327,9,1.0,0.816327,35.26896
A,8.836735,9,1.0,0.836735,35.39462
A,8.857143,9,1.0,0.857143,35.5298
A,8.877551,9,1.0,0.877551,35.67499
A,8.897959,9,1.0,0.897959,35.83065
A,8.918367,9,1.0,0.918367,35.99729
A,8.938776,9,1.0,0.938776,36.17541
A,8.959184,9,1.0,0.959184,36.36553
A,8.979592,9,1.0,0.979592,36.56818
A,9.0,9,1.0,1.0,36.7839
A,9.0,10,-1.0,0.0,-28.307
A,9.020408,10,-1.0,0.020408,-29.61245
A,9.040816,10,-1.0,0.040816,-30.62397
A,9.061224,10,-1.0,0.061224,-31.40776
A,9.081633,10,-1.0,0.081633,-32.01513
A,9.102041,10,-1.0,0.102041,-32.48585
A,9.122449,10,-1.0,0.122449,-32.85077
A,9.142857,10,-1.0,0.142857,-33.13379
A,9.163265,10,-1.0,0.163265,-33.35349
A,9.183673,10,-1.0,0.183673,-33.52426
A,9.204082,10,-1.0,0.204082,-33.65731
A,9.22449,10,-1.0,0.22449,-33.76133
A,9.244898,10,-1.0,0.244898,-33.84312
A,9.265306,10,-1.0,0.265306,-33.90796
A,9.285714,10,-1.0,0.285714,-33.95999
A,9.306122,10,-1.0,0.306122,-34.00247
A,9.326531,10,-1.0,0.326531,-34.03797
A,9.346939,10,-1.0,0.346939,-34.06852
A,9.367347,10,-1.0,0.367347,-34.09574
A,9.387755,10,-1.0,0.387755,-34.12097
A,9.408163,10,-1.0,0.408163,-34.14527
A,9.428571,10,-1.0,0.428571,-34.16953
A,9.44898,10,-1.0,0.44898,-34.19451
A,9.469388,10,-1.0,0.469388,-34.22085
A,9.489796,10,-1.0,0.489796,-34.24913
A,9.510204,10,-1.0,0.510204,-34.27984
A,9.530612,10,-1.0,0.530612,-34.31346
A,9.55102,10,-1.0,0.55102,-34.35043
A,9.571429,10,-1.0,0.571429,-34.39114
A,9.591837,10,-1.0,0.591837,-34.43601
A,9.612245,10,-1.0,0.612245,-34.48543
A,9.632653,10,-1.0,0.632653,-34.53977
A,9.653061,10,-1.0,0.653061,-34.59944
A,9.673469,10,-1.0,0.673469,-34.66481
A,9.693878,10,-1.0,0.693878,-34.73629
A,9.714286,10,-1.0,0.714286,-34.81427
A,9.734694,10,-1.0,0.734694,-34.89916
A,9.755102,10,-1.0,0.755102,-34.99137
A,9.77551,10,-1.0,0.77551,-35.09132
A,9.795918,10,-1.0,0.795918,-35.19945
A,9.816327,10,-1.0,0.816327,-35.31621
A,9.836735,10,-1.0,0.836735,-35.44204
A,9.857143,10,-1.0,0.857143,-35.5774
A,9.877551,10,-1.0,0.877551,-35.72278
A,9.897959,10,-1.0,0.897959,-35.87865
A,9.918367,10,-1.0,0.918367,-36.04552
A,9.938776,10,-1.0,0.938776,-36.22388
A,9.959184,10,-1.0,0.959184,-36.41425
A,9.979592,10,-1.0,0.979592,-36.61718
A,10.0,10,-1.0,1.0,-36.83318
A,10.0,11,1.0,0.0,28.68315
A,10.020408,11,1.0,0.020408,30.00595
A,10.040816,11,1.0,0.040816,31.03092
A,10.061224,11,1.0,0.061224,31.82512
A,10.081633,11,1.0,0.081633,32.44056
A,10.102041,11,1.0,0.102041,32.91754
A,10.122449,11,1.0,0.122449,33.2873
A,10.142857,11,1.0,0.142857,33.57409
A,10.163265,11,1.0,0.163265,33.7967
A,10.183673,11,1.0,0.183673,33.96975
A,10.204082,11,1.0,0.204082,34.10456
A,10.22449,11,1.0,0.22449,34.20997
A,10.244898,11,1.0,0.244898,34.29284
A,10.265306,11,1.0,0.265306,34.35854
A,10.285714,11,1.0,0.285714,34.41126
A,10.306122,11,1.0,0.306122,34.45431
A,10.326531,11,1.0,0.326531,34.49028
A,10.346939,11,1.0,0.346939,34.52123
A,10.367347,11,1.0,0.367347,34.54882
A,10.387755,11,1.0,0.387755,34.57438
A,10.408163,11,1.0,0.408163,34.599
A,10.428571,11,1.0,0.428571,34.62359
A,10.44898,11,1.0,0.44898,34.6489
A,10.469388,11,1.0,0.469388,34.67559
A,10.489796,11,1.0,0.489796,34.70424
A,10.510204,11,1.0,0.510204,34.73537
A,10.530612,11,1.0,0.530612,34.76944
A,10.55102,11,1.0,0.55102,34.80689
A,10.571429,11,1.0,0.571429,34.84815
A,10.591837,11,1.0,0.591837,34.89361
A,10.612245,11,1.0,0.612245,34.94368
A,10.632653,11,1.0,0.632653,34.99875
A,10.653061,11,1.0,0.653061,35.05921
A,10.673469,11,1.0,0.673469,35.12546
A,10.693878,11,1.0,0.693878,35.19788
A,10.714286,11,1.0,0.714286,35.2769
A,10.734694,11,1.0,0.734694,35.36291
A,10.755102,11,1.0,0.755102,35.45635
A,10.77551,11,1.0,0.77551,35.55763
A,10.795918,11,1.0,0.795918,35.6672
A,10.816327,11,1.0,0.816327,35.78551
A,10.836735,11,1.0,0.836735,35.91301
A,10.857143,11,1.0,0.857143,36.05017
A,10.877551,11,1.0,0.877551,36.19748
A,10.897959,11,1.0,0.897959,36.35542
A,10.918367,11,1.0,0.918367,36.5245
A,10.938776,11,1.0,0.938776,36.70524
A,10.959184,11,1.0,0.959184,36.89814
A,10.979592,11,1.0,0.979592,37.10376
A,11.0,11,1.0,1.0,37.32264
A,11.0,12,-1.0,0.0,-28.5844
A,11.020408,12,-1.0,0.020408,-29.90265
A,11.040816,12,-1.0,0.040816,-30.92408
A,11.061224,12,-1.0,0.061224,-31.71555
A,11.081633,12,-1.0,0.081633,-32.32887
A,11.102041,12,-1.0,0.102041,-32.8042
A,11.122449,12,-1.0,0.122449,-33.1727
A,11.142857,12,-1.0,0.142857,-33.4585
A,11.163265,12,-1.0,0.163265,-33.68035
A,11.183673,12,-1.0,0.183673,-33.85279
A,11.204082,12,-1.0,0.204082,-33.98714
A,11.22449,12,-1.0,0.22449,-34.09219
A,11.244898,12,-1.0,0.244898,-34.17477
A,11.265306,12,-1.0,0.265306,-34.24025
A,11.285714,12,-1.0,0.285714,-34.29279
A,11.306122,12,-1.0,0.306122,-34.33569
A,11.326531,12,-1.0,0.326531,-34.37153
A,11.346939,12,-1.0,0.346939,-34.40238
A,11.367347,12,-1.0,0.367347,-34.42988
A,11.387755,12,-1.0,0.387755,-34.45535
A,11.408163,12,-1.0,0.408163,-34.47988
A,11.428571,12,-1.0,0.428571,-34.50438
A,11.44898,12,-1.0,0.44898,-34.52961
A,11.469388,12,-1.0,0.469388,-34.55621
A,11.489796,12,-1.0,0.489796,-34.58476
A,11.510204,12,-1.0,0.510204,-34.61578
A,11.530612,12,-1.0,0.530612,-34.64973
A,11.55102,12,-1.0,0.55102,-34.68705
A,11.571429,12,-1.0,0.571429,-34.72817
A,11.591837,12,-1.0,0.591837,-34.77348
A,11.612245,12,-1.0,0.612245,-34.82338
A,11.632653,12,-1.0,0.632653,-34.87826
A,11.653061,12,-1.0,0.653061,-34.93851
