formulation,cycle_number,specific_capacity_mAh_g
Reference,319,144.5157
Reference,320,144.3357
Reference,321,144.2866
Reference,322,143.846
Reference,323,143.9257
Reference,324,143.7613
Reference,325,144.1859
Reference,326,144.48
Reference,327,144.4661
Reference,328,144.1654
Reference,329,142.6748
Reference,330,141.6383
Reference,331,142.2385
Reference,332,142.6404
Reference,333,142.5501
Reference,334,142.7613
Reference,335,142.0409
Reference,336,141.7603
Reference,337,141.9862
Reference,338,140.7194
Reference,339,140.7568
Reference,340,140.6755
Reference,341,140.8733
Reference,342,141.2859
Reference,343,139.6858
Reference,344,140.6717
Reference,345,140.5686
Reference,346,140.5265
Reference,347,139.0255
Reference,348,140.2073
Reference,349,139.4312
Reference,350,139.8762
Reference,351,139.4219
Reference,352,139.2251
Reference,353,138.4444
Reference,354,138.9302
Reference,355,138.3998
Reference,356,137.3869
Reference,357,138.3313
Reference,358,138.7153
Reference,359,137.388
Reference,360,137.9495
Reference,361,137.6125
Reference,362,137.493
Reference,363,136.1407
Reference,364,137.3933
Reference,365,136.926
Reference,366,137.0556
Reference,367,135.527
Reference,368,135.686
Reference,369,136.2571
Reference,370,135.5762
Reference,371,136.2312
Reference,372,134.8216
Reference,373,135.1777
Reference,374,134.4193
Reference,375,135.2079
Reference,376,134.2808
Reference,377,135.0605
Reference,378,134.6646
Reference,379,133.6488
Reference,380,134.4001
Reference,381,132.7963
Reference,382,133.5286
Reference,383,132.7365
Reference,384,132.4049
Reference,385,133.0442
Reference,386,133.2759
Reference,387,133.1883
Reference,388,132.6193
Reference,389,131.9184
Reference,390,131.5584
Reference,391,131.935
Reference,392,132.3661
Reference,393,131.1969
Reference,394,131.4653
Reference,395,131.4534
Reference,396,130.6282
Reference,397,129.9703
Reference,398,131.648
Reference,399,129.8412
Reference,400,130.3214
Reference,401,129.0767
Reference,402,128.9901
Reference,403,129.212
Reference,404,129.4152
Reference,405,129.295
Reference,406,128.6344
Reference,407,128.7421
Reference,408,128.3227
Reference,409,129.6873
Reference,410,128.2918
Reference,411,128.2795
Reference,412,127.8231
Reference,413,127.4113
Reference,414,127.2802
Reference,415,126.2138
Reference,416,127.2614
Reference,417,127.6741
Reference,418,127.2364
Reference,419,126.8415
Reference,420,126.1754
Reference,421,125.7063
Reference,422,126.439
Reference,423,126.0762
Reference,424,125.4523
Reference,425,124.8082
Reference,426,125.571
Reference,427,125.4174
Reference,428,124.4502
Reference,429,125.0582
Reference,430,124.8169
Reference,431,123.6389
Reference,432,123.8312
Reference,433,123.7559
Reference,434,122.6894
Reference,435,122.7683
Reference,436,123.1841
Reference,437,121.8094
Reference,438,123.1386
Reference,439,122.5833
Reference,440,121.6086
Reference,441,122.5053
Reference,442,122.2653
Reference,443,120.6902
Reference,444,121.333
Reference,445,120.8249
Reference,446,120.7013
Reference,447,121.01
Reference,448,120.4109
Reference,449,120.5117
Reference,450,120.5935
Reference,451,120.2241
Reference,452,120.4105
Reference,453,119.9418
Reference,454,119.4778
Reference,455,119.2468
Reference,456,117.8542
Reference,457,118.62
Reference,458,118.4124
Reference,459,118.5427
Reference,460,117.9466
Reference,461,118.2534
Reference,462,117.9919
Reference,463,117.7889
Reference,464,117.7736
Reference,465,117.2624
Reference,466,117.0881
Reference,467,116.3795
Reference,468,116.7705
Reference,469,116.8281
Reference,470,115.4913
Reference,471,116.346
Reference,472,115.6606
Reference,473,115.1148
Reference,474,115.7258
Reference,475,114.6623
Reference,476,115.6603
Reference,477,114.7556
Reference,478,113.6658
Reference,479,113.6963
Reference,480,114.5213
Reference,481,113.6687
Reference,482,114.1435
Reference,483,113.6808
Reference,484,112.7112
Reference,485,113.6848
Reference,486,112.8498
Reference,487,113.7171
Reference,488,112.327
Reference,489,112.9938
Reference,490,112.4632
Reference,491,113.8378
Reference,492,111.9197
Reference,493,111.8236
Reference,494,110.7597
Reference,495,110.7436
Reference,496,110.9685
Reference,497,110.8697
Reference,498,110.418
Reference,499,110.6152
Reference,500,110.0
Formulation B,1,185.0
Formulation B,2,185.9027
Formulation B,3,184.9504
Formulation B,4,184.2268
Formulation B,5,185.2018
Formulation B,6,184.5467
Formulation B,7,184.4561
Formulation B,8,185.0942
Formulation B,9,185.9603
Formulation B,10,185.1767
Formulation B,11,185.3369
Formulation B,12,186.7751
Formulation B,13,185.7576
Formulation B,14,185.7691
Formulation B,15,186.4639
Formulation B,16,186.7847
Formulation B,17,184.8177
Formulation B,18,186.9502
Formulation B,19,186.17
Formulation B,20,186.7833
Formulation B,21,185.6334
Formulation B,22,186.3075
Formulation B,23,185.8058
Formulation B,24,186.4175
Formulation B,25,185.6252
Formulation B,26,184.4656
Formulation B,27,186.5247
Formulation B,28,185.509
Formulation B,29,186.0374
Formulation B,30,185.3191
Formulation B,31,185.038
Formulation B,32,184.6577
Formulation B,33,185.9946
Formulation B,34,185.474
Formulation B,35,184.9727
Formulation B,36,186.6757
Formulation B,37,185.5315
Formulation B,38,185.9873
Formulation B,39,185.6817
Formulation B,40,185.3048
Formulation B,41,184.4233
Formulation B,42,184.3655
Formulation B,43,185.5784
Formulation B,44,184.6646
Formulation B,45,184.0402
Formulation B,46,184.0955
Formulation B,47,185.5335
Formulation B,48,185.0381
Formulation B,49,184.6399
Formulation B,50,184.8443
Formulation B,51,184.9988
Formulation B,52,183.7012
Formulation B,53,184.9644
Formulation B,54,185.3527
Formulation B,55,183.6172
Formulation B,56,185.2029
Formulation B,57,183.2063
Formulation B,58,184.3035
Formulation B,59,183.0489
Formulation B,60,183.5445
Formulation B,61,184.2115
Formulation B,62,184.0357
Formulation B,63,185.5273
Formulation B,64,182.859
Formulation B,65,182.9798
Formulation B,66,184.7231
Formulation B,67,183.779
Formulation B,68,185.2345
Formulation B,69,183.6276
Formulation B,70,182.4209
Formulation B,71,183.8941
Formulation B,72,183.8054
Formulation B,73,182.7774
Formulation B,74,183.3875
Formulation B,75,183.5486
Formulation B,76,182.723
Formulation B,77,183.7625
Formulation B,78,183.1894
Formulation B,79,184.152
Formulation B,80,182.7897
Formulation B,81,183.049
Formulation B,82,183.7324
Formulation B,83,183.4884
Formulation B,84,182.87
Formulation B,85,183.3068
Formulation B,86,182.4928
Formulation B,87,182.7828
Formulation B,88,182.9021
Formulation B,89,182.0739
Formulation B,90,183.1825
Formulation B,91,182.8759
Formulation B,92,181.5347
Formulation B,93,181.4725
Formulation B,94,181.9467
Formulation B,95,182.4673
Formulation B,96,181.3719
Formulation B,97,181.4743
Formulation B,98,180.9845
Formulation B,99,181.657
Formulation B,100,183.0754
Formulation B,101,183.2621
Formulation B,102,181.8572
Formulation B,103,181.2295
Formulation B,104,181.9622
Formulation B,105,180.6476
Formulation B,106,181.6792
Formulation B,107,182.6643
Formulation B,108,182.2819
Formulation B,109,180.5213
Formulation B,110,181.8068
Formulation B,111,181.6926
Formulation B,112,181.2023
Formulation B,113,181.0457
Formulation B,114,179.7494
Formulation B,115,181.3853
Formulation B,116,180.9138
Formulation B,117,181.6681
Formulation B,118,180.0951
Formulation B,119,180.744
Formulation B,120,181.1087
Formulation B,121,179.5735
Formulation B,122,180.8988
Formulation B,123,179.3333
Formulation B,124,180.1215
Formulation B,125,180.5658
Formulation B,126,179.455
Formulation B,127,181.1205
Formulation B,128,180.7975
Formulation B,129,180.0195
Formulation B,130,180.8406
Formulation B,131,179.3867
Formulation B,132,180.4889
Formulation B,133,180.2937
Formulation B,134,179.529
Formulation B,135,179.6868
Formulation B,136,180.2439
Formulation B,137,179.1305
Formulation B,138,178.6407
Formulation B,139,180.0655
Formulation B,140,179.3409
Formulation B,141,180.1861
Formulation B,142,179.7711
Formulation B,143,179.7106
Formulation B,144,179.8295
Formulation B,145,179.9251
Formulation B,146,179.6096
Formulation B,147,179.6044
Formulation B,148,178.49
Formulation B,149,178.6656
Formulation B,150,179.795
Formulation B,151,178.0911
Formulation B,152,178.0646
Formulation B,153,177.836
Formulation B,154,178.7781
Formulation B,155,178.6016
Formulation B,156,177.666
Formulation B,157,178.1092
Formulation B,158,177.9879
Formulation B,159,177.9238
Formulation B,160,178.0278
Formulation B,161,177.7648
Formulation B,162,177.7016
Formulation B,163,177.4873
Formulation B,164,175.5797
Formulation B,165,177.4118
Formulation B,166,176.9834
Formulation B,167,176.8205
Formulation B,168,178.1885
Formulation B,169,176.7632
Formulation B,170,178.1161
Formulation B,171,177.8979
Formulation B,172,176.9019
Formulation B,173,177.1797
Formulation B,174,177.1073
Formulation B,175,177.3848
Formulation B,176,176.4267
Formulation B,177,176.5098
Formulation B,178,178.1742
Formulation B,179,176.0585
Formulation B,180,176.1487
Formulation B,181,177.3285
Formulation B,182,176.0855
Formulation B,183,176.6348
Formulation B,184,177.468
Formulation B,185,175.9295
Formulation B,186,176.5523
Formulation B,187,176.324
Formulation B,188,174.5256
Formulation B,189,174.6964
Formulation B,190,176.3297
Formulation B,191,176.4429
Formulation B,192,175.2172
Formulation B,193,174.8878
Formulation B,194,175.3904
Formulation B,195,175.0372
Formulation B,196,174.7969
Formulation B,197,175.3534
Formulation B,198,175.7359
Formulation B,199,174.964
Formulation B,200,175.3174
Formulation B,201,175.7292
Formulation B,202,174.3932
Formulation B,203,175.2275
Formulation B,204,174.4628
Formulation B,205,175.9413
Formulation B,206,174.1684
Formulation B,207,173.859
Formulation B,208,174.3168
Formulation B,209,173.7815
Formulation B,210,173.8746
Formulation B,211,172.5294
Formulation B,212,174.0428
Formulation B,213,175.3097
Formulation B,214,174.4485
Formulation B,215,174.1473
Formulation B,216,175.0294
Formulation B,217,173.4442
Formulation B,218,173.5761
Formulation B,219,174.5893
Formulation B,220,172.6994
Formulation B,221,172.5952
Formulation B,222,172.6381
Formulation B,223,173.6809
Formulation B,224,171.392
Formulation B,225,173.1091
Formulation B,226,174.0588
Formulation B,227,172.1712
Formulation B,228,173.1914
Formulation B,229,172.118
Formulation B,230,172.6105
Formulation B,231,173.2255
Formulation B,232,172.4058
Formulation B,233,172.1898
Formulation B,234,170.6394
Formulation B,235,172.2267
Formulation B,236,171.1277
Formulation B,237,172.3401
Formulation B,238,171.7051
Formulation B,239,172.3183
Formulation B,240,172.8841
Formulation B,241,171.9621
Formulation B,242,171.3627
Formulation B,243,170.301
Formulation B,244,170.7443
Formulation B,245,170.6782
Formulation B,246,171.0555
Formulation B,247,170.6834
Formulation B,248,171.0368
Formulation B,249,170.4181
Formulation B,250,170.9438
Formulation B,251,170.799
Formulation B,252,170.5107
Formulation B,253,171.0322
Formulation B,254,170.3788
Formulation B,255,172.2796
Formulation B,256,169.831
Formulation B,257,168.6986
Formulation B,258,170.8011
Formulation B,259,170.1691
Formulation B,260,170.4207
Formulation B,261,170.208
Formulation B,262,168.6039
Formulation B,263,169.5394
Formulation B,264,170.3479
Formulation B,265,170.4777
Formulation B,266,168.3987
Formulation B,267,168.9479
Formulation B,268,168.7654
Formulation B,269,168.7276
Formulation B,270,169.9871
Formulation B,271,168.8501
Formulation B,272,169.4497
Formulation B,273,167.24
Formulation B,274,168.6704
Formulation B,275,169.2191
Formulation B,276,169.0313
Formulation B,277,167.9252
Formulation B,278,167.9913
Formulation B,279,167.3691
Formulation B,280,168.2353
Formulation B,281,168.2853
Formulation B,282,169.2535
Formulation B,283,168.2112
Formulation B,284,168.7757
Formulation B,285,168.384
Formulation B,286,166.6479
Formulation B,287,168.1633
Formulation B,288,167.5827
Formulation B,289,167.4006
Formulation B,290,167.4406
Formulation B,291,168.0308
Formulation B,292,168.3201
Formulation B,293,166.5071
Formulation B,294,167.5756
Formulation B,295,167.2936
Formulation B,296,166.5526
Formulation B,297,166.91
Formulation B,298,166.4693
Formulation B,299,167.7487
Formulation B,300,166.3012
Formulation B,301,167.7802
Formulation B,302,165.815
Formulation B,303,166.468
Formulation B,304,166.7736
Formulation B,305,165.3765
Formulation B,306,166.2454
Formulation B,307,166.1621
Formulation B,308,165.2745
Formulation B,309,166.3963
Formulation B,310,165.7122
Formulation B,311,164.5589
Formulation B,312,166.4065
Formulation B,313,165.9366
Formulation B,314,165.7654
Formulation B,315,165.0247
Formulation B,316,164.442
Formulation B,317,165.5687
Formulation B,318,165.3041
Formulation B,319,164.8614
Formulation B,320,163.9909
Formulation B,321,163.4577
Formulation B,322,164.2706
Formulation B,323,164.1966
Formulation B,324,164.0274
Formulation B,325,163.405
Formulation B,326,163.8042
Formulation B,327,164.5106
Formulation B,328,163.6934
Formulation B,329,163.2734
Formulation B,330,164.5713
Formulation B,331,163.9314
Formulation B,332,163.8303
Formulation B,333,162.6277
Formulation B,334,162.9358
Formulation B,335,163.0179
Formulation B,336,164.0996
Formulation B,337,162.0979
Formulation B,338,163.2576
Formulation B,339,163.7048
Formulation B,340,163.6428
Formulation B,341,163.6693
Formulation B,342,161.6139
Formulation B,343,163.2613
Formulation B,344,163.1555
Formulation B,345,161.8287
Formulation B,346,163.0903
Formulation B,347,162.1637
Formulation B,348,162.6962
Formulation B,349,162.8943
Formulation B,350,162.6621
Formulation B,351,161.8747
Formulation B,352,161.3122
Formulation B,353,162.0219
Formulation B,354,161.404
Formulation B,355,161.0663
Formulation B,356,161.7488
Formulation B,357,160.7404
Formulation B,358,160.0357
Formulation B,359,161.1631
Formulation B,360,160.0262
Formulation B,361,159.6741
Formulation B,362,160.2495
Formulation B,363,159.5127
Formulation B,364,160.0985
Formulation B,365,158.8192
Formulation B,366,160.9124
Formulation B,367,160.5521
Formulation B,368,160.6287
Formulation B,369,159.1835
Formulation B,370,158.6676
Formulation B,371,159.6906
Formulation B,372,159.833
Formulation B,373,159.252
Formulation B,374,159.2307
Formulation B,375,159.8103
Formulation B,376,159.2563
Formulation B,377,159.1342
Formulation B,378,159.4434
Formulation B,379,158.3763
Formulation B,380,159.2181
Formulation B,381,159.6277
Formulation B,382,157.6381
Formulation B,383,157.9955
Formulation B,384,159.2443
Formulation B,385,159.0938
Formulation B,386,156.4973
Formulation B,387,157.9939
Formulation B,388,158.8618
Formulation B,389,158.7983
Formulation B,390,157.2603
Formulation B,391,158.3845
Formulation B,392,157.1539
Formulation B,393,156.8229
Formulation B,394,157.8343
Formulation B,395,157.5849
Formulation B,396,156.9547
Formulation B,397,158.8191
Formulation B,398,156.7481
Formulation B,399,156.0498
Formulation B,400,157.2907
Formulation B,401,156.4166
Formulation B,402,157.2852
Formulation B,403,155.5449
Formulation B,404,157.1625
Formulation B,405,155.9804
Formulation B,406,155.9393
Formulation B,407,154.9187
Formulation B,408,156.1662
Formulation B,409,155.5397
Formulation B,410,155.5455
Formulation B,411,155.4332
Formulation B,412,155.6389
Formulation B,413,156.0846
Formulation B,414,155.1501
Formulation B,415,154.5357
Formulation B,416,154.0816
Formulation B,417,155.9928
Formulation B,418,154.0072
Formulation B,419,154.8846
Formulation B,420,154.5023
Formulation B,421,154.0281
Formulation B,422,154.5387
Formulation B,423,154.4085
Formulation B,424,154.9933
Formulation B,425,154.5157
Formulation B,426,153.3957
Formulation B,427,153.7816
Formulation B,428,153.6235
Formulation B,429,154.32
Formulation B,430,152.7683
Formulation B,431,154.5975
Formulation B,432,153.8855
Formulation B,433,154.0958
Formulation B,434,153.3491
Formulation B,435,153.33
Formulation B,436,151.9071
Formulation B,437,152.5156
Formulation B,438,152.1971
Formulation B,439,152.644
Formulation B,440,151.3851
Formulation B,441,153.3177
Formulation B,442,153.1829
Formulation B,443,152.3047
Formulation B,444,152.4061
Formulation B,445,152.6559
Formulation B,446,150.5585
Formulation B,447,150.6602
Formulation B,448,151.6555
Formulation B,449,151.6859
Formulation B,450,151.7319
Formulation B,451,152.326
Formulation B,452,150.9694
Formulation B,453,150.9008
Formulation B,454,151.3487
Formulation B,455,151.3696
Formulation B,456,150.5681
Formulation B,457,150.7851
Formulation B,458,148.6052
Formulation B,459,151.5555
Formulation B,460,150.7623
Formulation B,461,150.05
Formulation B,462,149.5415
Formulation B,463,149.8407
Formulation B,464,149.9059
Formulation B,465,149.1332
Formulation B,466,149.5949
Formulation B,467,147.5301
Formulation B,468,150.1529
Formulation B,469,148.9019
Formulation B,470,148.2338
Formulation B,471,148.7162
Formulation B,472,150.0217
Formulation B,473,148.4918
Formulation B,474,147.4223
Formulation B,475,148.3699
Formulation B,476,148.0694
Formulation B,477,147.8349
Formulation B,478,148.1909
Formulation B,479,146.6629
Formulation B,480,147.145
Formulation B,481,147.4181
Formulation B,482,147.4118
Formulation B,483,147.4701
Formulation B,484,147.4339
Formulation B,485,147.4342
Formulation B,486,147.9807
Formulation B,487,147.3673
Formulation B,488,146.544
Formulation B,489,145.3766
Formulation B,490,147.7136
Formulation B,491,146.4408
Formulation B,492,146.8439
Formulation B,493,147.5586
Formulation B,494,145.8872
Formulation B,495,146.1994
Formulation B,496,144.8976
Formulation B,497,145.8362
Formulation B,498,146.3498
Formulation B,499,144.7634
Formulation B,500,145.0
Formulation C,1,188.0
Formulation C,2,188.7668
Formulation C,3,188.0207
Formulation C,4,190.0395
Formulation C,5,188.742
Formulation C,6,189.0965
Formulation C,7,189.529
Formulation C,8,190.1457
Formulation C,9,188.8936
Formulation C,10,190.4076
Formulation C,11,189.2868
Formulation C,12,189.6356
Formulation C,13,190.4597
Formulation C,14,189.2155
Formulation C,15,189.7697
Formulation C,16,190.0254
Formulation C,17,189.7814
Formulation C,18,189.3521
Formulation C,19,191.0722
Formulation C,20,191.403
Formulation C,21,189.4954
Formulation C,22,189.6333
Formulation C,23,190.0445
Formulation C,24,190.32
Formulation C,25,189.3297
Formulation C,26,190.7623
Formulation C,27,190.2321
Formulation C,28,189.6455
Formulation C,29,190.2802
Formulation C,30,188.536
Formulation C,31,188.746
Formulation C,32,188.3565
Formulation C,33,190.6328
Formulation C,34,189.9945
Formulation C,35,190.2506
Formulation C,36,189.0821
Formulation C,37,188.8956
Formulation C,38,190.1999
Formulation C,39,190.2103
Formulation C,40,190.8912
Formulation C,41,190.3598
Formulation C,42,189.1976
Formulation C,43,189.5804
Formulation C,44,189.5066
Formulation C,45,190.3541
Formulation C,46,188.3132
Formulation C,47,189.6605
Formulation C,48,189.0882
Formulation C,49,189.2399
Formulation C,50,188.8623
Formulation C,51,188.3469
Formulation C,52,188.8287
Formulation C,53,187.9051
Formulation C,54,187.7093
Formulation C,55,189.1501
Formulation C,56,189.5352
Formulation C,57,189.7467
Formulation C,58,189.5151
Formulation C,59,189.2007
Formulation C,60,188.733
Formulation C,61,188.8408
Formulation C,62,188.7117
Formulation C,63,188.4093
Formulation C,64,188.427
Formulation C,65,187.6893
Formulation C,66,188.194
Formulation C,67,188.3202
Formulation C,68,188.0736
Formulation C,69,187.66
Formulation C,70,188.5586
Formulation C,71,188.1616
Formulation C,72,186.9679
Formulation C,73,188.3144
Formulation C,74,188.9434
Formulation C,75,188.6
Formulation C,76,187.9228
Formulation C,77,187.4115
Formulation C,78,187.0948
Formulation C,79,187.4203
Formulation C,80,188.7949
Formulation C,81,186.8392
Formulation C,82,187.3277
Formulation C,83,188.8971
Formulation C,84,187.0822
Formulation C,85,186.399
Formulation C,86,186.6045
Formulation C,87,186.8903
Formulation C,88,188.1201
Formulation C,89,189.731
Formulation C,90,188.5011
Formulation C,91,186.8963
Formulation C,92,188.151
Formulation C,93,187.6675
Formulation C,94,188.2999
Formulation C,95,186.6591
Formulation C,96,186.7502
Formulation C,97,186.546
Formulation C,98,187.9112
Formulation C,99,187.6906
Formulation C,100,187.3564
Formulation C,101,187.2147
Formulation C,102,187.1571
Formulation C,103,187.6955
Formulation C,104,187.5847
Formulation C,105,186.5554
Formulation C,106,186.2493
Formulation C,107,187.0349
Formulation C,108,186.9455
Formulation C,109,187.4176
Formulation C,110,186.7499
Formulation C,111,187.1706
Formulation C,112,186.3364
Formulation C,113,186.0406
Formulation C,114,186.9597
Formulation C,115,185.7478
Formulation C,116,186.2556
Formulation C,117,187.855
Formulation C,118,185.5706
Formulation C,119,186.8224
Formulation C,120,186.4489
Formulation C,121,185.4716
Formulation C,122,184.5225
Formulation C,123,186.2944
Formulation C,124,184.2679
Formulation C,125,186.4849
Formulation C,126,185.8348
Formulation C,127,185.5489
Formulation C,128,185.5926
Formulation C,129,186.2119
Formulation C,130,186.2882
Formulation C,131,185.1714
Formulation C,132,184.7913
Formulation C,133,185.903
Formulation C,134,184.4465
Formulation C,135,185.6708
Formulation C,136,184.9313
Formulation C,137,185.6029
Formulation C,138,184.6995
Formulation C,139,185.7203
Formulation C,140,185.2485
Formulation C,141,185.2375
Formulation C,142,186.5847
Formulation C,143,184.7682
Formulation C,144,184.8031
Formulation C,145,184.4415
Formulation C,146,184.983
Formulation C,147,185.716
Formulation C,148,185.866
Formulation C,149,184.5975
Formulation C,150,185.7432
Formulation C,151,184.2914
Formulation C,152,183.7745
Formulation C,153,184.0941
Formulation C,154,184.0078
Formulation C,155,184.9718
Formulation C,156,184.7762
Formulation C,157,185.6595
Formulation C,158,184.1362
Formulation C,159,183.8784
