formulation,raman_shift_cm_1,offset_intensity_au
Formulation A,880.104,0.37952
Formulation A,880.877,0.36443
Formulation A,881.649,0.34914
Formulation A,882.422,0.33376
Formulation A,883.194,0.31841
Formulation A,883.967,0.30318
Formulation A,884.739,0.28817
Formulation A,885.511,0.27347
Formulation A,886.284,0.25916
Formulation A,887.056,0.24531
Formulation A,887.829,0.23199
Formulation A,888.601,0.21926
Formulation A,889.374,0.20715
Formulation A,890.146,0.1957
Formulation A,890.919,0.18495
Formulation A,891.691,0.1749
Formulation A,892.463,0.16557
Formulation A,893.236,0.15694
Formulation A,894.008,0.14901
Formulation A,894.781,0.14177
Formulation A,895.553,0.13517
Formulation A,896.326,0.12918
Formulation A,897.098,0.12377
Formulation A,897.871,0.11889
Formulation A,898.643,0.11449
Formulation A,899.415,0.11051
Formulation A,900.188,0.1069
Formulation A,900.96,0.10359
Formulation A,901.733,0.10054
Formulation A,902.505,0.09768
Formulation A,903.278,0.09495
Formulation A,904.05,0.09231
Formulation A,904.823,0.08969
Formulation A,905.595,0.08705
Formulation A,906.367,0.08435
Formulation A,907.14,0.08155
Formulation A,907.912,0.07862
Formulation A,908.685,0.07553
Formulation A,909.457,0.07227
Formulation A,910.23,0.06882
Formulation A,911.002,0.06518
Formulation A,911.775,0.06136
Formulation A,912.547,0.05738
Formulation A,913.319,0.05324
Formulation A,914.092,0.04899
Formulation A,914.864,0.04466
Formulation A,915.637,0.04029
Formulation A,916.409,0.03595
Formulation A,917.182,0.03168
Formulation A,917.954,0.02757
Formulation A,918.727,0.02368
Formulation A,919.499,0.0201
Formulation A,920.271,0.0169
Formulation A,921.044,0.01417
Formulation A,921.816,0.01201
Formulation A,922.589,0.01051
Formulation A,923.361,0.00975
Formulation A,924.134,0.00983
Formulation A,924.906,0.01082
Formulation A,925.678,0.01282
Formulation A,926.451,0.0159
Formulation A,927.223,0.02011
Formulation A,927.996,0.02552
Formulation A,928.768,0.03216
Formulation A,929.541,0.04006
Formulation A,930.313,0.04923
Formulation A,931.086,0.05967
Formulation A,931.858,0.07135
Formulation A,932.63,0.08422
Formulation A,933.403,0.09821
Formulation A,934.175,0.11324
Formulation A,934.948,0.12921
Formulation A,935.72,0.14597
Formulation A,936.493,0.16338
Formulation A,937.265,0.18128
Formulation A,938.038,0.19948
Formulation A,938.81,0.21779
Formulation A,939.582,0.23601
Formulation A,940.355,0.25391
Formulation A,941.127,0.27129
Formulation A,941.9,0.28793
Formulation A,942.672,0.30362
Formulation A,943.445,0.31815
Formulation A,944.217,0.33134
Formulation A,944.99,0.34301
Formulation A,945.762,0.35301
Formulation A,946.534,0.36121
Formulation A,947.307,0.36749
Formulation A,948.079,0.37178
Formulation A,948.852,0.37402
Formulation A,949.624,0.37419
Formulation A,950.397,0.37231
Formulation A,951.169,0.36839
Formulation A,951.942,0.36251
Formulation A,952.714,0.35474
Formulation A,953.486,0.34521
Formulation A,954.259,0.33405
Formulation A,955.031,0.32139
Formulation A,955.804,0.30742
Formulation A,956.576,0.29229
Formulation A,957.349,0.27619
Formulation A,958.121,0.25931
Formulation A,958.894,0.24183
Formulation A,959.666,0.22394
Formulation A,960.438,0.20581
Formulation A,961.211,0.18762
Formulation A,961.983,0.16953
Formulation A,962.756,0.15169
Formulation A,963.528,0.13423
Formulation A,964.301,0.11729
Formulation A,965.073,0.10097
Formulation A,965.846,0.08537
Formulation A,966.618,0.07056
Formulation A,967.39,0.05663
Formulation A,968.163,0.04362
Formulation A,968.935,0.03158
Formulation A,969.708,0.02054
Formulation A,970.48,0.01052
Formulation A,971.253,0.00153
Formulation A,972.025,-0.00644
Formulation A,972.797,-0.01338
Formulation A,973.57,-0.01931
Formulation A,974.342,-0.02426
Formulation A,975.115,-0.02824
Formulation A,975.887,-0.0313
Formulation A,976.66,-0.03347
Formulation A,977.432,-0.03478
Formulation A,978.205,-0.03529
Formulation A,978.977,-0.03504
Formulation A,979.749,-0.03409
Formulation A,980.522,-0.03249
Formulation A,981.294,-0.03029
Formulation A,982.067,-0.02756
Formulation A,982.839,-0.02435
Formulation A,983.612,-0.02073
Formulation A,984.384,-0.01677
Formulation A,985.157,-0.01252
Formulation A,985.929,-0.00805
Formulation A,986.701,-0.00343
Formulation A,987.474,0.00128
Formulation A,988.246,0.00601
Formulation A,989.019,0.0107
Formulation A,989.791,0.01529
Formulation A,990.564,0.01972
Formulation A,991.336,0.02393
Formulation A,992.109,0.02788
Formulation A,992.881,0.03151
Formulation A,993.653,0.03479
Formulation A,994.426,0.03766
Formulation A,995.198,0.04009
Formulation A,995.971,0.04206
Formulation A,996.743,0.04354
Formulation A,997.516,0.04452
Formulation A,998.288,0.04497
Formulation A,999.061,0.0449
Formulation A,999.833,0.04431
Formulation A,1000.605,0.0432
Formulation A,1001.378,0.04159
Formulation A,1002.15,0.03949
Formulation A,1002.923,0.03693
Formulation A,1003.695,0.03394
Formulation A,1004.468,0.03055
Formulation A,1005.24,0.0268
Formulation A,1006.013,0.02275
Formulation A,1006.785,0.01842
Formulation A,1007.557,0.01388
Formulation A,1008.33,0.00918
Formulation A,1009.102,0.00437
Formulation A,1009.875,-0.00049
Formulation A,1010.647,-0.00534
Formulation A,1011.42,-0.01013
Formulation A,1012.192,-0.0148
Formulation A,1012.965,-0.0193
Formulation A,1013.737,-0.02358
Formulation A,1014.509,-0.02758
Formulation A,1015.282,-0.03125
Formulation A,1016.054,-0.03457
Formulation A,1016.827,-0.03747
Formulation A,1017.599,-0.03994
Formulation A,1018.372,-0.04195
Formulation A,1019.144,-0.04346
Formulation A,1019.916,-0.04447
Formulation A,1020.689,-0.04495
Formulation A,1021.461,-0.04491
Formulation A,1022.234,-0.04435
Formulation A,1023.006,-0.04327
Formulation A,1023.779,-0.04168
Formulation A,1024.551,-0.03961
Formulation A,1025.324,-0.03707
Formulation A,1026.096,-0.0341
Formulation A,1026.868,-0.03073
Formulation A,1027.641,-0.027
Formulation A,1028.413,-0.02296
Formulation A,1029.186,-0.01865
Formulation A,1029.958,-0.01412
Formulation A,1030.731,-0.00942
Formulation A,1031.503,-0.00462
Formulation A,1032.276,0.00024
Formulation A,1033.048,0.00509
Formulation A,1033.82,0.00989
Formulation A,1034.593,0.01457
Formulation A,1035.365,0.01908
Formulation A,1036.138,0.02337
Formulation A,1036.91,0.02738
Formulation A,1037.683,0.03108
Formulation A,1038.455,0.03441
Formulation A,1039.228,0.03734
Formulation A,1040.0,0.03983
Formulation B,670.0,0.87361
Formulation B,670.772,0.8776
Formulation B,671.545,0.88128
Formulation B,672.317,0.88459
Formulation B,673.09,0.88749
Formulation B,673.862,0.88996
Formulation B,674.635,0.89196
Formulation B,675.407,0.89347
Formulation B,676.18,0.89447
Formulation B,676.952,0.89495
Formulation B,677.724,0.89491
Formulation B,678.497,0.89434
Formulation B,679.269,0.89326
Formulation B,680.042,0.89167
Formulation B,680.814,0.88959
Formulation B,681.587,0.88705
Formulation B,682.359,0.88408
Formulation B,683.132,0.88071
Formulation B,683.904,0.87698
Formulation B,684.676,0.87293
Formulation B,685.449,0.86862
Formulation B,686.221,0.86409
Formulation B,686.994,0.85939
Formulation B,687.766,0.85459
Formulation B,688.539,0.84973
Formulation B,689.311,0.84487
Formulation B,690.084,0.84008
Formulation B,690.856,0.8354
Formulation B,691.628,0.83089
Formulation B,692.401,0.8266
Formulation B,693.173,0.82259
Formulation B,693.946,0.8189
Formulation B,694.718,0.81557
Formulation B,695.491,0.81264
Formulation B,696.263,0.81015
Formulation B,697.035,0.80813
Formulation B,697.808,0.8066
Formulation B,698.58,0.80557
Formulation B,699.353,0.80506
Formulation B,700.125,0.80507
Formulation B,700.898,0.80562
Formulation B,701.67,0.80668
Formulation B,702.443,0.80824
Formulation B,703.215,0.81029
Formulation B,703.987,0.81281
Formulation B,704.76,0.81577
Formulation B,705.532,0.81912
Formulation B,706.305,0.82283
Formulation B,707.077,0.82686
Formulation B,707.85,0.83117
Formulation B,708.622,0.83569
Formulation B,709.395,0.84038
Formulation B,710.167,0.84519
Formulation B,710.939,0.85005
Formulation B,711.712,0.85492
Formulation B,712.484,0.85973
Formulation B,713.257,0.86444
Formulation B,714.029,0.86898
Formulation B,714.802,0.87331
Formulation B,715.574,0.87737
Formulation B,716.347,0.88113
Formulation B,717.119,0.88453
Formulation B,717.891,0.88756
Formulation B,718.664,0.89017
Formulation B,719.436,0.89234
Formulation B,720.209,0.89406
Formulation B,720.981,0.8953
Formulation B,721.754,0.89608
Formulation B,722.526,0.89639
Formulation B,723.299,0.89624
Formulation B,724.071,0.89565
Formulation B,724.843,0.89466
Formulation B,725.616,0.8933
Formulation B,726.388,0.89162
Formulation B,727.161,0.88966
Formulation B,727.933,0.8875
Formulation B,728.706,0.88521
Formulation B,729.478,0.88286
Formulation B,730.251,0.88054
Formulation B,731.023,0.87836
Formulation B,731.795,0.8764
Formulation B,732.568,0.87479
Formulation B,733.34,0.87363
Formulation B,734.113,0.87304
Formulation B,734.885,0.87316
Formulation B,735.658,0.8741
Formulation B,736.43,0.876
Formulation B,737.203,0.87898
Formulation B,737.975,0.88317
Formulation B,738.747,0.88868
Formulation B,739.52,0.89565
Formulation B,740.292,0.90417
Formulation B,741.065,0.91436
Formulation B,741.837,0.92628
Formulation B,742.61,0.94003
Formulation B,743.382,0.95565
Formulation B,744.154,0.97318
Formulation B,744.927,0.99264
Formulation B,745.699,1.01402
Formulation B,746.472,1.03729
Formulation B,747.244,1.06239
Formulation B,748.017,1.08923
Formulation B,748.789,1.1177
Formulation B,749.562,1.14764
Formulation B,750.334,1.17889
Formulation B,751.106,1.21124
Formulation B,751.879,1.24446
Formulation B,752.651,1.27829
Formulation B,753.424,1.31245
Formulation B,754.196,1.34665
Formulation B,754.969,1.38056
Formulation B,755.741,1.41387
Formulation B,756.514,1.44624
Formulation B,757.286,1.47733
Formulation B,758.058,1.50681
Formulation B,758.831,1.53436
Formulation B,759.603,1.55966
Formulation B,760.376,1.58243
Formulation B,761.148,1.6024
Formulation B,761.921,1.61933
Formulation B,762.693,1.63302
Formulation B,763.466,1.64331
Formulation B,764.238,1.65006
Formulation B,765.01,1.6532
Formulation B,765.783,1.65269
Formulation B,766.555,1.64854
Formulation B,767.328,1.6408
Formulation B,768.1,1.62956
Formulation B,768.873,1.61496
Formulation B,769.645,1.59717
Formulation B,770.418,1.57641
Formulation B,771.19,1.55293
Formulation B,771.962,1.52698
Formulation B,772.735,1.49886
Formulation B,773.507,1.46888
Formulation B,774.28,1.43735
Formulation B,775.052,1.40461
Formulation B,775.825,1.37099
Formulation B,776.597,1.33679
Formulation B,777.37,1.30234
Formulation B,778.142,1.26794
Formulation B,778.914,1.23387
Formulation B,779.687,1.20041
Formulation B,780.459,1.16779
Formulation B,781.232,1.13623
Formulation B,782.004,1.10593
Formulation B,782.777,1.07706
Formulation B,783.549,1.04975
Formulation B,784.322,1.02412
Formulation B,785.094,1.00025
Formulation B,785.866,0.97821
Formulation B,786.639,0.95803
Formulation B,787.411,0.93973
Formulation B,788.184,0.92331
Formulation B,788.956,0.90873
Formulation B,789.729,0.89596
Formulation B,790.501,0.88494
Formulation B,791.273,0.87559
Formulation B,792.046,0.86784
Formulation B,792.818,0.8616
Formulation B,793.591,0.85676
Formulation B,794.363,0.85323
Formulation B,795.136,0.85089
Formulation B,795.908,0.84964
Formulation B,796.681,0.84936
Formulation B,797.453,0.84993
Formulation B,798.225,0.85126
Formulation B,798.998,0.85322
Formulation B,799.77,0.8557
Formulation B,800.543,0.85861
Formulation B,801.315,0.86184
Formulation B,802.088,0.86529
Formulation B,802.86,0.86887
Formulation B,803.633,0.8725
Formulation B,804.405,0.87609
Formulation B,805.177,0.87957
Formulation B,805.95,0.88287
Formulation B,806.722,0.88593
Formulation B,807.495,0.88869
Formulation B,808.267,0.89111
Formulation B,809.04,0.89316
Formulation B,809.812,0.89478
Formulation B,810.585,0.89597
Formulation B,811.357,0.89671
Formulation B,812.129,0.89698
Formulation B,812.902,0.89678
Formulation B,813.674,0.89613
Formulation B,814.447,0.89503
Formulation B,815.219,0.89351
Formulation B,815.992,0.89159
Formulation B,816.764,0.88931
Formulation B,817.537,0.88671
Formulation B,818.309,0.88383
Formulation B,819.081,0.88074
Formulation B,819.854,0.87747
Formulation B,820.626,0.87411
Formulation B,821.399,0.8707
Formulation B,822.171,0.86733
Formulation B,822.944,0.86406
Formulation B,823.716,0.86096
Formulation B,824.489,0.85811
Formulation B,825.261,0.85558
Formulation B,826.033,0.85344
Formulation B,826.806,0.85177
Formulation B,827.578,0.85064
Formulation B,828.351,0.85011
Formulation B,829.123,0.85025
Formulation B,829.896,0.85112
Formulation B,830.668,0.85278
Formulation B,831.441,0.85527
Formulation B,832.213,0.85864
Formulation B,832.985,0.86293
Formulation B,833.758,0.86817
Formulation B,834.53,0.87439
Formulation B,835.303,0.88159
Formulation B,836.075,0.88979
Formulation B,836.848,0.89899
Formulation B,837.62,0.90917
Formulation B,838.392,0.92033
Formulation B,839.165,0.93242
Formulation B,839.937,0.94543
Formulation B,840.71,0.9593
Formulation B,841.482,0.97398
Formulation B,842.255,0.98941
Formulation B,843.027,1.00552
Formulation B,843.8,1.02224
Formulation B,844.572,1.03948
Formulation B,845.344,1.05716
Formulation B,846.117,1.07518
Formulation B,846.889,1.09344
Formulation B,847.662,1.11184
Formulation B,848.434,1.13027
Formulation B,849.207,1.14862
Formulation B,849.979,1.16678
Formulation B,850.752,1.18463
Formulation B,851.524,1.20207
Formulation B,852.296,1.21899
Formulation B,853.069,1.23528
Formulation B,853.841,1.25083
Formulation B,854.614,1.26554
Formulation B,855.386,1.27933
Formulation B,856.159,1.29209
Formulation B,856.931,1.30376
Formulation B,857.704,1.31426
Formulation B,858.476,1.32352
Formulation B,859.248,1.33148
Formulation B,860.021,1.33812
Formulation B,860.793,1.34338
Formulation B,861.566,1.34725
Formulation B,862.338,1.34971
Formulation B,863.111,1.35076
Formulation B,863.883,1.35042
Formulation B,864.656,1.3487
Formulation B,865.428,1.34564
Formulation B,866.2,1.34127
Formulation B,866.973,1.33566
Formulation B,867.745,1.32885
Formulation B,868.518,1.32093
Formulation B,869.29,1.31197
Formulation B,870.063,1.30205
Formulation B,870.835,1.29127
Formulation B,871.608,1.27972
Formulation B,872.38,1.2675
Formulation B,873.152,1.25471
Formulation B,873.925,1.24146
Formulation B,874.697,1.22785
Formulation B,875.47,1.21399
Formulation B,876.242,1.19997
Formulation B,877.015,1.18589
Formulation B,877.787,1.17185
Formulation B,878.559,1.15793
Formulation B,879.332,1.14422
Formulation B,880.104,1.13079
Formulation B,880.877,1.11772
Formulation B,881.649,1.10506
Formulation B,882.422,1.09287
Formulation B,883.194,1.08118
Formulation B,883.967,1.07004
Formulation B,884.739,1.05947
Formulation B,885.511,1.04949
Formulation B,886.284,1.0401
Formulation B,887.056,1.0313
Formulation B,887.829,1.02309
Formulation B,888.601,1.01544
Formulation B,889.374,1.00834
Formulation B,890.146,1.00176
Formulation B,890.919,0.99566
Formulation B,891.691,0.98999
Formulation B,892.463,0.98473
Formulation B,893.236,0.97981
Formulation B,894.008,0.97519
Formulation B,894.781,0.97081
Formulation B,895.553,0.96664
Formulation B,896.326,0.96261
Formulation B,897.098,0.95867
Formulation B,897.871,0.95479
Formulation B,898.643,0.95091
Formulation B,899.415,0.94699
Formulation B,900.188,0.943
Formulation B,900.96,0.9389
Formulation B,901.733,0.93467
Formulation B,902.505,0.93028
Formulation B,903.278,0.92572
Formulation B,904.05,0.92098
Formulation B,904.823,0.91606
Formulation B,905.595,0.91095
Formulation B,906.367,0.90567
Formulation B,907.14,0.90024
Formulation B,907.912,0.89466
Formulation B,908.685,0.88898
Formulation B,909.457,0.88322
Formulation B,910.23,0.87741
Formulation B,911.002,0.87161
Formulation B,911.775,0.86586
Formulation B,912.547,0.8602
Formulation B,913.319,0.85469
Formulation B,914.092,0.84939
Formulation B,914.864,0.84435
Formulation B,915.637,0.83964
Formulation B,916.409,0.83531
Formulation B,917.182,0.83143
Formulation B,917.954,0.82807
Formulation B,918.727,0.82529
Formulation B,919.499,0.82314
Formulation B,920.271,0.8217
Formulation B,921.044,0.82102
Formulation B,921.816,0.82117
Formulation B,922.589,0.82219
Formulation B,923.361,0.82414
Formulation B,924.134,0.82707
Formulation B,924.906,0.83102
Formulation B,925.678,0.83604
Formulation B,926.451,0.84214
Formulation B,927.223,0.84937
Formulation B,927.996,0.85772
Formulation B,928.768,0.86722
Formulation B,929.541,0.87785
Formulation B,930.313,0.88959
Formulation B,931.086,0.90243
Formulation B,931.858,0.91631
Formulation B,932.63,0.93118
Formulation B,933.403,0.94697
Formulation B,934.175,0.96358
Formulation B,934.948,0.98092
Formulation B,935.72,0.99886
Formulation B,936.493,1.01727
Formulation B,937.265,1.03599
Formulation B,938.038,1.05486
Formulation B,938.81,1.07371
Formulation B,939.582,1.09235
Formulation B,940.355,1.11058
Formulation B,941.127,1.12821
Formulation B,941.9,1.14504
Formulation B,942.672,1.16086
Formulation B,943.445,1.17549
Formulation B,944.217,1.18873
Formulation B,944.99,1.20042
Formulation B,945.762,1.2104
Formulation B,946.534,1.21854
Formulation B,947.307,1.22471
Formulation B,948.079,1.22884
Formulation B,948.852,1.23085
Formulation B,949.624,1.23071
Formulation B,950.397,1.22843
Formulation B,951.169,1.22402
Formulation B,951.942,1.21754
Formulation B,952.714,1.20909
Formulation B,953.486,1.19877
Formulation B,954.259,1.18672
Formulation B,955.031,1.17309
Formulation B,955.804,1.15808
Formulation B,956.576,1.14188
Formulation B,957.349,1.12468
Formulation B,958.121,1.10671
Formulation B,958.894,1.08819
Formulation B,959.666,1.06933
Formulation B,960.438,1.05035
Formulation B,961.211,1.03145
Formulation B,961.983,1.01283
Formulation B,962.756,0.99467
Formulation B,963.528,0.97715
Formulation B,964.301,0.96041
Formulation B,965.073,0.94458
Formulation B,965.846,0.92978
Formulation B,966.618,0.91608
Formulation B,967.39,0.90357
Formulation B,968.163,0.89229
Formulation B,968.935,0.88228
Formulation B,969.708,0.87353
Formulation B,970.48,0.86605
Formulation B,971.253,0.85982
Formulation B,972.025,0.85479
Formulation B,972.797,0.85093
Formulation B,973.57,0.84816
Formulation B,974.342,0.84641
Formulation B,975.115,0.84562
Formulation B,975.887,0.8457
Formulation B,976.66,0.84655
Formulation B,977.432,0.84808
Formulation B,978.205,0.8502
Formulation B,978.977,0.85282
Formulation B,979.749,0.85584
Formulation B,980.522,0.85917
Formulation B,981.294,0.86272
Formulation B,982.067,0.86639
Formulation B,982.839,0.87011
Formulation B,983.612,0.87379
Formulation B,984.384,0.87737
Formulation B,985.157,0.88077
Formulation B,985.929,0.88392
Formulation B,986.701,0.88678
Formulation B,987.474,0.88928
Formulation B,988.246,0.8914
Formulation B,989.019,0.89308
Formulation B,989.791,0.8943
Formulation B,990.564,0.89504
Formulation B,991.336,0.89529
Formulation B,992.109,0.89502
Formulation B,992.881,0.89425
Formulation B,993.653,0.89298
Formulation B,994.426,0.89121
Formulation B,995.198,0.88897
Formulation B,995.971,0.88628
Formulation B,996.743,0.88318
Formulation B,997.516,0.87968
Formulation B,998.288,0.87585
Formulation B,999.061,0.87172
Formulation B,999.833,0.86733
Formulation B,1000.605,0.86274
Formulation B,1001.378,0.85801
Formulation B,1002.15,0.85318
Formulation B,1002.923,0.84832
Formulation B,1003.695,0.84347
Formulation B,1004.468,0.8387
Formulation B,1005.24,0.83407
Formulation B,1006.013,0.82962
Formulation B,1006.785,0.82541
Formulation B,1007.557,0.82148
Formulation B,1008.33,0.81789
