selection,normalized_state,two_theta_deg,relative_intensity_au
Early,0.08,27.5284,0.069565
Early,0.08,27.6522,0.067452
Early,0.08,27.7759,0.065257
Early,0.08,27.8997,0.063016
Early,0.08,28.0234,0.060767
Early,0.08,28.1472,0.058546
Early,0.08,28.2709,0.056391
Early,0.08,28.3946,0.054337
Early,0.08,28.5184,0.052418
Early,0.08,28.6421,0.050665
Early,0.08,28.7659,0.049109
Early,0.08,28.8896,0.047773
Early,0.08,29.0134,0.046682
Early,0.08,29.1371,0.045852
Early,0.08,29.2609,0.045297
Early,0.08,29.3846,0.045027
Early,0.08,29.5084,0.045046
Early,0.08,29.6321,0.045354
Early,0.08,29.7559,0.045945
Early,0.08,29.8796,0.04681
Early,0.08,30.0033,0.047935
Early,0.08,30.1271,0.0493
Early,0.08,30.2508,0.050884
Early,0.08,30.3746,0.05266
Early,0.08,30.4983,0.054598
Early,0.08,30.6221,0.056668
Early,0.08,30.7458,0.058834
Early,0.08,30.8696,0.06106
Early,0.08,30.9933,0.06331
Early,0.08,31.1171,0.065547
Early,0.08,31.2408,0.067734
Early,0.08,31.3645,0.069834
Early,0.08,31.4883,0.071812
Early,0.08,31.612,0.073637
Early,0.08,31.7358,0.075277
Early,0.08,31.8595,0.076706
Early,0.08,31.9833,0.077901
Early,0.08,32.107,0.078843
Early,0.08,32.2308,0.079517
Early,0.08,32.3545,0.079919
Early,0.08,32.4783,0.080055
Early,0.08,32.602,0.079951
Early,0.08,32.7258,0.07967
Early,0.08,32.8495,0.07934
Early,0.08,32.9732,0.079196
Early,0.08,33.097,0.079654
Early,0.08,33.2207,0.081397
Early,0.08,33.3445,0.085479
Early,0.08,33.4682,0.093414
Early,0.08,33.592,0.107203
Early,0.08,33.7157,0.129245
Early,0.08,33.8395,0.162057
Early,0.08,33.9632,0.20779
Early,0.08,34.087,0.267556
Early,0.08,34.2107,0.340688
Early,0.08,34.3344,0.424145
Early,0.08,34.4582,0.512298
Early,0.08,34.5819,0.597294
Early,0.08,34.7057,0.670074
Early,0.08,34.8294,0.72189
Early,0.08,34.9532,0.745994
Early,0.08,35.0769,0.739051
Early,0.08,35.2007,0.701865
Early,0.08,35.3244,0.639206
Early,0.08,35.4482,0.558793
Early,0.08,35.5719,0.46972
Early,0.08,35.6957,0.380784
Early,0.08,35.8194,0.299123
Early,0.08,35.9431,0.229435
Early,0.08,36.0669,0.173848
Early,0.08,36.1906,0.132301
Early,0.08,36.3144,0.103224
Early,0.08,36.4381,0.084267
Early,0.08,36.5619,0.072916
Early,0.08,36.6856,0.0669
Early,0.08,36.8094,0.064392
Early,0.08,36.9331,0.064047
Early,0.08,37.0569,0.064949
Early,0.08,37.1806,0.066507
Early,0.08,37.3043,0.068362
Early,0.08,37.4281,0.070299
Early,0.08,37.5518,0.07219
Early,0.08,37.6756,0.073959
Early,0.08,37.7993,0.075553
Early,0.08,37.9231,0.076938
Early,0.08,38.0468,0.078087
Early,0.08,38.1706,0.078979
Early,0.08,38.2943,0.079599
Early,0.08,38.4181,0.079935
Early,0.08,38.5418,0.079984
Early,0.08,38.6656,0.079743
Early,0.08,38.7893,0.079218
Early,0.08,38.913,0.078415
Early,0.08,39.0368,0.07735
Early,0.08,39.1605,0.076038
Early,0.08,39.2843,0.074503
Early,0.08,39.408,0.07277
Early,0.08,39.5318,0.070866
Early,0.08,39.6555,0.068824
Early,0.08,39.7793,0.066678
Early,0.08,39.903,0.064462
Early,0.08,40.0268,0.062214
Early,0.08,40.1505,0.059971
Early,0.08,40.2742,0.05777
Early,0.08,40.398,0.055646
Early,0.08,40.5217,0.053636
Early,0.08,40.6455,0.051773
Early,0.08,40.7692,0.050087
Early,0.08,40.893,0.048607
Early,0.08,41.0167,0.047356
Early,0.08,41.1405,0.046356
Early,0.08,41.2642,0.045622
Early,0.08,41.388,0.045168
Early,0.08,41.5117,0.045001
Early,0.08,41.6355,0.045123
Early,0.08,41.7592,0.045532
Early,0.08,41.8829,0.046222
Early,0.08,42.0067,0.047182
Early,0.08,42.1304,0.048394
Early,0.08,42.2542,0.04984
Early,0.08,42.3779,0.051495
Early,0.08,42.5017,0.053333
Early,0.08,42.6254,0.055322
Early,0.08,42.7492,0.057429
Early,0.08,42.8729,0.059621
Early,0.08,42.9967,0.06186
Early,0.08,43.1204,0.06411
Early,0.08,43.2441,0.066333
Early,0.08,43.3679,0.068493
Early,0.08,43.4916,0.070553
Early,0.08,43.6154,0.072481
Early,0.08,43.7391,0.074243
Early,0.08,43.8629,0.075811
Early,0.08,43.9866,0.077159
Early,0.08,44.1104,0.078265
Early,0.08,44.2341,0.07911
Early,0.08,44.3579,0.07968
Early,0.08,44.4816,0.079967
Early,0.08,44.6054,0.079969
Early,0.08,44.7291,0.079693
Early,0.08,44.8528,0.07916
Early,0.08,44.9766,0.078424
Early,0.08,45.1003,0.077596
Early,0.08,45.2241,0.076895
Early,0.08,45.3478,0.07672
Early,0.08,45.4716,0.077741
Early,0.08,45.5953,0.080974
Early,0.08,45.7191,0.087777
Early,0.08,45.8428,0.099698
Early,0.08,45.9666,0.118104
Early,0.08,46.0903,0.143602
Early,0.08,46.214,0.175399
Early,0.08,46.3378,0.210862
Early,0.08,46.4615,0.245572
Early,0.08,46.5853,0.274063
Early,0.08,46.709,0.291116
Early,0.08,46.8328,0.29324
Early,0.08,46.9565,0.279733
Early,0.08,47.0803,0.252918
Early,0.08,47.204,0.217424
Early,0.08,47.3278,0.178837
Early,0.08,47.4515,0.142246
Early,0.08,47.5753,0.111215
Early,0.08,47.699,0.087411
Early,0.08,47.8227,0.070844
Early,0.08,47.9465,0.060452
Early,0.08,48.0702,0.054736
Early,0.08,48.194,0.052232
Early,0.08,48.3177,0.051766
Early,0.08,48.4415,0.052515
Early,0.08,48.5652,0.053959
Early,0.08,48.689,0.055795
Early,0.08,48.8127,0.057851
Early,0.08,48.9365,0.060029
Early,0.08,49.0602,0.062265
Early,0.08,49.1839,0.06451
Early,0.08,49.3077,0.066723
Early,0.08,49.4314,0.068868
Early,0.08,49.5552,0.070907
Early,0.08,49.6789,0.072807
Early,0.08,49.8027,0.074537
Early,0.08,49.9264,0.076068
Early,0.08,50.0502,0.077374
Early,0.08,50.1739,0.078434
Early,0.08,50.2977,0.079231
Early,0.08,50.4214,0.079751
Early,0.08,50.5452,0.079986
Early,0.08,50.6689,0.079931
Early,0.08,50.7926,0.079589
Early,0.08,50.9164,0.078963
Early,0.08,51.0401,0.078065
Early,0.08,51.1639,0.07691
Early,0.08,51.2876,0.075517
Early,0.08,51.4114,0.073908
Early,0.08,51.5351,0.07211
Early,0.08,51.6589,0.070154
Early,0.08,51.7826,0.068071
Early,0.08,51.9064,0.065895
Early,0.08,52.0301,0.063664
Early,0.08,52.1538,0.061413
Early,0.08,52.2776,0.059181
Early,0.08,52.4013,0.057003
Early,0.08,52.5251,0.054916
Early,0.08,52.6488,0.052955
Early,0.08,52.7726,0.051151
Early,0.08,52.8963,0.049536
Early,0.08,53.0201,0.048134
Early,0.08,53.1438,0.04697
Early,0.08,53.2676,0.046063
Early,0.08,53.3913,0.045428
Early,0.08,53.5151,0.045076
Early,0.08,53.6388,0.045011
Early,0.08,53.7625,0.045236
Early,0.08,53.8863,0.045746
Early,0.08,54.01,0.046534
Early,0.08,54.1338,0.047585
Early,0.08,54.2575,0.048883
Early,0.08,54.3813,0.050407
Early,0.08,54.505,0.05213
Early,0.08,54.6288,0.054025
Early,0.08,54.7525,0.05606
Early,0.08,54.8763,0.058202
Early,0.08,55.0,0.060414
Middle,0.51,18.0,0.058034
Middle,0.51,18.1237,0.055899
Middle,0.51,18.2475,0.053874
Middle,0.51,18.3712,0.051991
Middle,0.51,18.495,0.050282
Middle,0.51,18.6187,0.048775
Middle,0.51,18.7425,0.047495
Middle,0.51,18.8662,0.046463
Middle,0.51,18.99,0.045697
Middle,0.51,19.1137,0.045208
Middle,0.51,19.2375,0.045006
Middle,0.51,19.3612,0.045093
Middle,0.51,19.4849,0.045467
Middle,0.51,19.6087,0.046124
Middle,0.51,19.7324,0.047051
Middle,0.51,19.8562,0.048234
Middle,0.51,19.9799,0.049652
Middle,0.51,20.1037,0.051284
Middle,0.51,20.2274,0.0531
Middle,0.51,20.3512,0.055073
Middle,0.51,20.4749,0.057168
Middle,0.51,20.5987,0.059351
Middle,0.51,20.7224,0.061586
Middle,0.51,20.8462,0.063837
Middle,0.51,20.9699,0.066065
Middle,0.51,21.0936,0.068235
Middle,0.51,21.2174,0.070309
Middle,0.51,21.3411,0.072254
Middle,0.51,21.4649,0.074038
Middle,0.51,21.5886,0.075632
Middle,0.51,21.7124,0.077008
Middle,0.51,21.8361,0.078144
Middle,0.51,21.9599,0.079021
Middle,0.51,22.0836,0.079625
Middle,0.51,22.2074,0.079946
Middle,0.51,22.3311,0.079978
Middle,0.51,22.4548,0.079721
Middle,0.51,22.5786,0.07918
Middle,0.51,22.7023,0.078362
Middle,0.51,22.8261,0.077282
Middle,0.51,22.9498,0.075958
Middle,0.51,23.0736,0.074411
Middle,0.51,23.1973,0.072667
Middle,0.51,23.3211,0.070755
Middle,0.51,23.4448,0.068706
Middle,0.51,23.5686,0.066555
Middle,0.51,23.6923,0.064337
Middle,0.51,23.8161,0.062089
Middle,0.51,23.9398,0.059855
Middle,0.51,24.0635,0.057688
Middle,0.51,24.1873,0.055696
Middle,0.51,24.311,0.054143
Middle,0.51,24.4348,0.053725
Middle,0.51,24.5585,0.056144
Middle,0.51,24.6823,0.065088
Middle,0.51,24.806,0.087418
Middle,0.51,24.9298,0.133757
Middle,0.51,25.0535,0.217006
Middle,0.51,25.1773,0.347348
Middle,0.51,25.301,0.52415
Middle,0.51,25.4247,0.728417
Middle,0.51,25.5485,0.921898
Middle,0.51,25.6722,1.057118
Middle,0.51,25.796,1.095933
Middle,0.51,25.9197,1.026953
Middle,0.51,26.0435,0.871043
Middle,0.51,26.1672,0.671321
Middle,0.51,26.291,0.47411
Middle,0.51,26.4147,0.312256
Middle,0.51,26.5385,0.198563
Middle,0.51,26.6622,0.129382
Middle,0.51,26.786,0.092915
Middle,0.51,26.9097,0.07659
Middle,0.51,27.0334,0.070895
Middle,0.51,27.1572,0.070046
Middle,0.51,27.2809,0.071082
Middle,0.51,27.4047,0.072693
Middle,0.51,27.5284,0.074362
Middle,0.51,27.6522,0.075899
Middle,0.51,27.7759,0.077229
Middle,0.51,27.8997,0.078319
Middle,0.51,28.0234,0.079149
Middle,0.51,28.1472,0.079703
Middle,0.51,28.2709,0.079973
Middle,0.51,28.3946,0.079953
Middle,0.51,28.5184,0.079646
Middle,0.51,28.6421,0.079054
Middle,0.51,28.7659,0.078189
Middle,0.51,28.8896,0.077064
Middle,0.51,29.0134,0.075698
Middle,0.51,29.1371,0.074114
Middle,0.51,29.2609,0.072338
Middle,0.51,29.3846,0.070399
Middle,0.51,29.5084,0.06833
Middle,0.51,29.6321,0.066164
Middle,0.51,29.7559,0.063937
Middle,0.51,29.8796,0.061687
Middle,0.51,30.0033,0.05945
Middle,0.51,30.1271,0.057264
Middle,0.51,30.2508,0.055164
Middle,0.51,30.3746,0.053186
Middle,0.51,30.4983,0.051361
Middle,0.51,30.6221,0.049721
Middle,0.51,30.7458,0.048292
Middle,0.51,30.8696,0.047099
Middle,0.51,30.9933,0.04616
Middle,0.51,31.1171,0.045491
Middle,0.51,31.2408,0.045103
Middle,0.51,31.3645,0.045004
Middle,0.51,31.4883,0.045195
Middle,0.51,31.612,0.045675
Middle,0.51,31.7358,0.04644
Middle,0.51,31.8595,0.047487
Middle,0.51,31.9833,0.048822
Middle,0.51,32.107,0.050471
Middle,0.51,32.2308,0.052507
Middle,0.51,32.3545,0.055086
Middle,0.51,32.4783,0.058514
Middle,0.51,32.602,0.063326
Middle,0.51,32.7258,0.070393
Middle,0.51,32.8495,0.081016
Middle,0.51,32.9732,0.096981
Middle,0.51,33.097,0.120513
Middle,0.51,33.2207,0.154065
Middle,0.51,33.3445,0.199895
Middle,0.51,33.4682,0.259441
Middle,0.51,33.592,0.332595
Middle,0.51,33.7157,0.417029
Middle,0.51,33.8395,0.507842
Middle,0.51,33.9632,0.597735
Middle,0.51,34.087,0.677829
Middle,0.51,34.2107,0.739055
Middle,0.51,34.3344,0.773841
Middle,0.51,34.4582,0.777655
Middle,0.51,34.5819,0.74998
Middle,0.51,34.7057,0.694426
Middle,0.51,34.8294,0.617953
Middle,0.51,34.9532,0.529421
Middle,0.51,35.0769,0.437906
Middle,0.51,35.2007,0.351199
Middle,0.51,35.3244,0.274832
Middle,0.51,35.4482,0.211749
Middle,0.51,35.5719,0.162552
Middle,0.51,35.6957,0.126115
Middle,0.51,35.8194,0.100316
Middle,0.51,35.9431,0.082706
Middle,0.51,36.0669,0.070975
Middle,0.51,36.1906,0.06322
Middle,0.51,36.3144,0.058022
Middle,0.51,36.4381,0.054412
Middle,0.51,36.5619,0.05178
Middle,0.51,36.6856,0.049772
Middle,0.51,36.8094,0.048198
Middle,0.51,36.9331,0.046967
Middle,0.51,37.0569,0.046042
Middle,0.51,37.1806,0.045409
Middle,0.51,37.3043,0.045067
Middle,0.51,37.4281,0.045017
Middle,0.51,37.5518,0.045257
Middle,0.51,37.6756,0.045783
Middle,0.51,37.7993,0.046586
Middle,0.51,37.9231,0.047652
Middle,0.51,38.0468,0.048963
Middle,0.51,38.1706,0.050499
Middle,0.51,38.2943,0.052232
Middle,0.51,38.4181,0.054136
Middle,0.51,38.5418,0.056178
Middle,0.51,38.6656,0.058325
Middle,0.51,38.7893,0.06054
Middle,0.51,38.913,0.062788
Middle,0.51,39.0368,0.065032
Middle,0.51,39.1605,0.067233
Middle,0.51,39.2843,0.069356
Middle,0.51,39.408,0.071366
Middle,0.51,39.5318,0.073229
Middle,0.51,39.6555,0.074914
Middle,0.51,39.7793,0.076395
Middle,0.51,39.903,0.077645
Middle,0.51,40.0268,0.078645
Middle,0.51,40.1505,0.079378
Middle,0.51,40.2742,0.079832
Middle,0.51,40.398,0.079999
Middle,0.51,40.5217,0.079877
Middle,0.51,40.6455,0.079467
Middle,0.51,40.7692,0.078777
Middle,0.51,40.893,0.077817
Middle,0.51,41.0167,0.076604
Middle,0.51,41.1405,0.075158
Middle,0.51,41.2642,0.073503
Middle,0.51,41.388,0.071665
Middle,0.51,41.5117,0.069676
Middle,0.51,41.6355,0.067568
Middle,0.51,41.7592,0.065377
Middle,0.51,41.8829,0.063137
Middle,0.51,42.0067,0.060888
Middle,0.51,42.1304,0.058664
Middle,0.51,42.2542,0.056505
Middle,0.51,42.3779,0.054444
Middle,0.51,42.5017,0.052517
Middle,0.51,42.6254,0.050755
Middle,0.51,42.7492,0.049187
Middle,0.51,42.8729,0.047839
Middle,0.51,42.9967,0.046734
Middle,0.51,43.1204,0.04589
Middle,0.51,43.2441,0.04532
Middle,0.51,43.3679,0.045035
Middle,0.51,43.4916,0.045038
Middle,0.51,43.6154,0.04533
Middle,0.51,43.7391,0.045906
Middle,0.51,43.8629,0.046757
Middle,0.51,43.9866,0.047868
Middle,0.51,44.1104,0.049221
Middle,0.51,44.2341,0.050794
Middle,0.51,44.3579,0.05256
Middle,0.51,44.4816,0.054493
Middle,0.51,44.6054,0.056564
Middle,0.51,44.7291,0.058749
Middle,0.51,44.8528,0.061039
Middle,0.51,44.9766,0.063463
Middle,0.51,45.1003,0.066134
Middle,0.51,45.2241,0.06932
Middle,0.51,45.3478,0.073562
Middle,0.51,45.4716,0.079809
Middle,0.51,45.5953,0.089536
Middle,0.51,45.7191,0.104739
Middle,0.51,45.8428,0.127708
Middle,0.51,45.9666,0.160452
Middle,0.51,46.0903,0.203824
Middle,0.51,46.214,0.256538
Middle,0.51,46.3378,0.314501
Middle,0.51,46.4615,0.370897
Middle,0.51,46.5853,0.417312
Middle,0.51,46.709,0.445726
Middle,0.51,46.8328,0.450757
Middle,0.51,46.9565,0.431306
Middle,0.51,47.0803,0.390904
Middle,0.51,47.204,0.336619
Middle,0.51,47.3278,0.276986
Middle,0.51,47.4515,0.2198
Middle,0.51,47.5753,0.170528
Middle,0.51,47.699,0.131749
Middle,0.51,47.8227,0.103517
Middle,0.51,47.9465,0.084259
Middle,0.51,48.0702,0.071736
Middle,0.51,48.194,0.063774
Middle,0.51,48.3177,0.058646
Middle,0.51,48.4415,0.055168
Middle,0.51,48.5652,0.052622
Middle,0.51,48.689,0.050623
Middle,0.51,48.8127,0.048987
Middle,0.51,48.9365,0.047643
Middle,0.51,49.0602,0.04657
Middle,0.51,49.1839,0.04577
Middle,0.51,49.3077,0.045249
Middle,0.51,49.4314,0.045014
Middle,0.51,49.5552,0.045069
Middle,0.51,49.6789,0.045412
Middle,0.51,49.8027,0.046038
Middle,0.51,49.9264,0.046936
Middle,0.51,50.0502,0.048091
Middle,0.51,50.1739,0.049485
Middle,0.51,50.2977,0.051094
Middle,0.51,50.4214,0.052892
Middle,0.51,50.5452,0.054849
Middle,0.51,50.6689,0.056932
Middle,0.51,50.7926,0.059107
Middle,0.51,50.9164,0.061338
Middle,0.51,51.0401,0.063589
Middle,0.51,51.1639,0.065822
Middle,0.51,51.2876,0.067999
Middle,0.51,51.4114,0.070086
Middle,0.51,51.5351,0.072047
Middle,0.51,51.6589,0.073851
Middle,0.51,51.7826,0.075466
Middle,0.51,51.9064,0.076867
Middle,0.51,52.0301,0.078031
Middle,0.51,52.1538,0.078937
Middle,0.51,52.2776,0.079572
Middle,0.51,52.4013,0.079925
Middle,0.51,52.5251,0.079989
Middle,0.51,52.6488,0.079764
Middle,0.51,52.7726,0.079253
Middle,0.51,52.8963,0.078465
Middle,0.51,53.0201,0.077414
Middle,0.51,53.1438,0.076115
Middle,0.51,53.2676,0.074592
Middle,0.51,53.3913,0.072868
Middle,0.51,53.5151,0.070973
Middle,0.51,53.6388,0.068938
Middle,0.51,53.7625,0.066796
Middle,0.51,53.8863,0.064583
Middle,0.51,54.01,0.062336
Middle,0.51,54.1338,0.060091
Middle,0.51,54.2575,0.057887
Middle,0.51,54.3813,0.055758
Middle,0.51,54.505,0.053741
Middle,0.51,54.6288,0.051869
Middle,0.51,54.7525,0.050173
Middle,0.51,54.8763,0.048681
Middle,0.51,55.0,0.047417
Late,0.92,18.0,0.078913
Late,0.92,18.1237,0.079556
Late,0.92,18.2475,0.079918
Late,0.92,18.3712,0.079991
Late,0.92,18.495,0.079775
Late,0.92,18.6187,0.079274
Late,0.92,18.7425,0.078494
Late,0.92,18.8662,0.077451
Late,0.92,18.99,0.07616
Late,0.92,19.1137,0.074643
Late,0.92,19.2375,0.072925
Late,0.92,19.3612,0.071035
Late,0.92,19.4849,0.069004
Late,0.92,19.6087,0.066865
Late,0.92,19.7324,0.064654
Late,0.92,19.8562,0.062407
Late,0.92,19.9799,0.060162
Late,0.92,20.1037,0.057956
Late,0.92,20.2274,0.055824
Late,0.92,20.3512,0.053803
Late,0.92,20.4749,0.051926
Late,0.92,20.5987,0.050224
Late,0.92,20.7224,0.048725
Late,0.92,20.8462,0.047454
Late,0.92,20.9699,0.046431
Late,0.92,21.0936,0.045674
Late,0.92,21.2174,0.045196
Late,0.92,21.3411,0.045004
Late,0.92,21.4649,0.045101
Late,0.92,21.5886,0.045486
Late,0.92,21.7124,0.046152
Late,0.92,21.8361,0.047089
Late,0.92,21.9599,0.048281
Late,0.92,22.0836,0.049708
Late,0.92,22.2074,0.051346
Late,0.92,22.3311,0.053169
Late,0.92,22.4548,0.055146
Late,0.92,22.5786,0.057245
Late,0.92,22.7023,0.059431
Late,0.92,22.8261,0.061667
Late,0.92,22.9498,0.063918
Late,0.92,23.0736,0.066145
Late,0.92,23.1973,0.068311
Late,0.92,23.3211,0.070382
Late,0.92,23.4448,0.072322
Late,0.92,23.5686,0.074099
Late,0.92,23.6923,0.075685
Late,0.92,23.8161,0.077053
Late,0.92,23.9398,0.07818
Late,0.92,24.0635,0.079048
Late,0.92,24.1873,0.079642
Late,0.92,24.311,0.079952
Late,0.92,24.4348,0.079974
Late,0.92,24.5585,0.079707
Late,0.92,24.6823,0.079155
Late,0.92,24.806,0.078328
Late,0.92,24.9298,0.07724
Late,0.92,25.0535,0.075915
Late,0.92,25.1773,0.074395
Late,0.92,25.301,0.07278
Late,0.92,25.4247,0.071342
Late,0.92,25.5485,0.070813
Late,0.92,25.6722,0.072978
Late,0.92,25.796,0.081675
Late,0.92,25.9197,0.103977
Late,0.92,26.0435,0.150714
Late,0.92,26.1672,0.234822
Late,0.92,26.291,0.366147
Late,0.92,26.4147,0.543251
Late,0.92,26.5385,0.746061
Late,0.92,26.6622,0.935495
Late,0.92,26.786,1.064106
Late,0.92,26.9097,1.094854
Late,0.92,27.0334,1.018137
Late,0.92,27.1572,0.856449
Late,0.92,27.2809,0.653632
Late,0.92,27.4047,0.455674
Late,0.92,27.5284,0.294427
Late,0.92,27.6522,0.181671
Late,0.92,27.7759,0.113118
Late,0.92,27.8997,0.076789
Late,0.92,28.0234,0.060237
Late,0.92,28.1472,0.054171
Late,0.92,28.2709,0.053003
Late,0.92,28.3946,0.053899
Late,0.92,28.5184,0.055613
Late,0.92,28.6421,0.057652
Late,0.92,28.7659,0.059831
Late,0.92,28.8896,0.062069
Late,0.92,29.0134,0.064317
Late,0.92,29.1371,0.066536
Late,0.92,29.2609,0.068688
Late,0.92,29.3846,0.070737
Late,0.92,29.5084,0.072651
Late,0.92,29.6321,0.074396
Late,0.92,29.7559,0.075945
Late,0.92,29.8796,0.077272
Late,0.92,30.0033,0.078354
Late,0.92,30.1271,0.079174
Late,0.92,30.2508,0.079718
Late,0.92,30.3746,0.079977
Late,0.92,30.4983,0.079947
Late,0.92,30.6221,0.079629
Late,0.92,30.7458,0.079028
Late,0.92,30.8696,0.078154
Late,0.92,30.9933,0.077022
Late,0.92,31.1171,0.075655
Late,0.92,31.2408,0.07408
Late,0.92,31.3645,0.072339
Late,0.92,31.4883,0.070493
Late,0.92,31.612,0.068641
Late,0.92,31.7358,0.066951
Late,0.92,31.8595,0.065706
Late,0.92,31.9833,0.065377
Late,0.92,32.107,0.066716
Late,0.92,32.2308,0.07086
Late,0.92,32.3545,0.07941
Late,0.92,32.4783,0.094447
Late,0.92,32.602,0.118411
Late,0.92,32.7258,0.153795
Late,0.92,32.8495,0.202619
Late,0.92,32.9732,0.265737
Late,0.92,33.097,0.342112
Late,0.92,33.2207,0.428257
Late,0.92,33.3445,0.518113
Late,0.92,33.4682,0.603516
Late,0.92,33.592,0.675314
Late,0.92,33.7157,0.724943
Late,0.92,33.8395,0.746098
Late,0.92,33.9632,0.736063
Late,0.92,34.087,0.696293
Late,0.92,34.2107,0.632101
Late,0.92,34.3344,0.551512
Late,0.92,34.4582,0.463652
Late,0.92,34.5819,0.377097
Late,0.92,34.7057,0.298594
Late,0.92,34.8294,0.23239
Late,0.92,34.9532,0.180195
Late,0.92,35.0769,0.141633
Late,0.92,35.2007,0.114943
Late,0.92,35.3244,0.097704
Late,0.92,35.4482,0.087414
Late,0.92,35.5719,0.081866
Late,0.92,35.6957,0.079314
Late,0.92,35.8194,0.078499
Late,0.92,35.9431,0.078576
Late,0.92,36.0669,0.079015
Late,0.92,36.1906,0.079506
Late,0.92,36.3144,0.079874
Late,0.92,36.4381,0.080028
Late,0.92,36.5619,0.079925
Late,0.92,36.6856,0.079547
Late,0.92,36.8094,0.078893
Late,0.92,36.9331,0.07797
Late,0.92,37.0569,0.076791
Late,0.92,37.1806,0.075377
Late,0.92,37.3043,0.073749
Late,0.92,37.4281,0.071936
Late,0.92,37.5518,0.069966
Late,0.92,37.6756,0.067873
Late,0.92,37.7993,0.065691
Late,0.92,37.9231,0.063457
Late,0.92,38.0468,0.061206
Late,0.92,38.1706,0.058977
Late,0.92,38.2943,0.056806
Late,0.92,38.4181,0.054729
Late,0.92,38.5418,0.052781
Late,0.92,38.6656,0.050994
Late,0.92,38.7893,0.049397
Late,0.92,38.913,0.048016
Late,0.92,39.0368,0.046876
Late,0.92,39.1605,0.045993
Late,0.92,39.2843,0.045384
Late,0.92,39.408,0.045058
Late,0.92,39.5318,0.04502
Late,0.92,39.6555,0.045271
Late,0.92,39.7793,0.045807
Late,0.92,39.903,0.04662
Late,0.92,40.0268,0.047695
Late,0.92,40.1505,0.049015
Late,0.92,40.2742,0.050558
Late,0.92,40.398,0.052298
Late,0.92,40.5217,0.054207
Late,0.92,40.6455,0.056254
Late,0.92,40.7692,0.058403
Late,0.92,40.893,0.060621
Late,0.92,41.0167,0.062869
Late,0.92,41.1405,0.065112
Late,0.92,41.2642,0.067311
Late,0.92,41.388,0.069431
Late,0.92,41.5117,0.071436
Late,0.92,41.6355,0.073293
Late,0.92,41.7592,0.074972
Late,0.92,41.8829,0.076444
Late,0.92,42.0067,0.077686
Late,0.92,42.1304,0.078676
Late,0.92,42.2542,0.079399
Late,0.92,42.3779,0.079843
Late,0.92,42.5017,0.08
Late,0.92,42.6254,0.079867
Late,0.92,42.7492,0.079447
Late,0.92,42.8729,0.078747
Late,0.92,42.9967,0.077778
Late,0.92,43.1204,0.076556
Late,0.92,43.2441,0.075102
Late,0.92,43.3679,0.073439
Late,0.92,43.4916,0.071596
