cycle_number,specific_capacity_mAh_g,cell_voltage_V
1,109.6062,3.68013
1,110.332,3.67929
1,111.0579,3.67845
1,111.7838,3.67762
1,112.5097,3.67678
1,113.2355,3.67596
1,113.9614,3.67513
1,114.6873,3.67432
1,115.4131,3.6735
1,116.139,3.67269
1,116.8649,3.67188
1,117.5907,3.67107
1,118.3166,3.67027
1,119.0425,3.66947
1,119.7683,3.66867
1,120.4942,3.66788
1,121.2201,3.66709
1,121.9459,3.6663
1,122.6718,3.66552
1,123.3977,3.66473
1,124.1236,3.66395
1,124.8494,3.66317
1,125.5753,3.6624
1,126.3012,3.66162
1,127.027,3.66085
1,127.7529,3.66008
1,128.4788,3.65931
1,129.2046,3.65855
1,129.9305,3.65778
1,130.6564,3.65701
1,131.3822,3.65625
1,132.1081,3.65549
1,132.834,3.65472
1,133.5598,3.65396
1,134.2857,3.6532
1,135.0116,3.65243
1,135.7375,3.65167
1,136.4633,3.6509
1,137.1892,3.65013
1,137.9151,3.64936
1,138.6409,3.64859
1,139.3668,3.64781
1,140.0927,3.64702
1,140.8185,3.64623
1,141.5444,3.64543
1,142.2703,3.64461
1,142.9961,3.64379
1,143.722,3.64295
1,144.4479,3.64209
1,145.1737,3.6412
1,145.8996,3.64029
1,146.6255,3.63935
1,147.3514,3.63837
1,148.0772,3.63735
1,148.8031,3.63627
1,149.529,3.63513
1,150.2548,3.63392
1,150.9807,3.63262
1,151.7066,3.63121
1,152.4324,3.62969
1,153.1583,3.62802
1,153.8842,3.62618
1,154.61,3.62414
1,155.3359,3.62187
1,156.0618,3.61933
1,156.7876,3.61647
1,157.5135,3.61324
1,158.2394,3.60957
1,158.9653,3.60541
1,159.6911,3.60066
1,160.417,3.59525
1,161.1429,3.58908
1,161.8687,3.58205
1,162.5946,3.57404
1,163.3205,3.56493
1,164.0463,3.55461
1,164.7722,3.54296
1,165.4981,3.52987
1,166.2239,3.51524
1,166.9498,3.499
1,167.6757,3.48111
1,168.4015,3.46159
1,169.1274,3.44048
1,169.8533,3.41789
1,170.5792,3.39401
1,171.305,3.36906
1,172.0309,3.34333
1,172.7568,3.31714
1,173.4826,3.29086
1,174.2085,3.26484
1,174.9344,3.23941
1,175.6602,3.2149
1,176.3861,3.19157
1,177.112,3.16961
1,177.8378,3.14919
1,178.5637,3.13039
1,179.2896,3.11324
1,180.0154,3.09772
1,180.7413,3.08379
1,181.4672,3.07135
1,182.1931,3.0603
1,182.9189,3.05054
1,183.6448,3.04194
1,184.3707,3.03439
1,185.0965,3.02776
1,185.8224,3.02195
1,186.5483,3.01685
1,187.2741,3.01239
1,188.0,3.00847
250,0.0,4.19763
250,0.701,4.18377
250,1.402,4.17029
250,2.1029,4.15718
250,2.8039,4.14444
250,3.5049,4.13206
250,4.2059,4.12001
250,4.9068,4.10829
250,5.6078,4.0969
250,6.3088,4.08582
250,7.0098,4.07505
250,7.7107,4.06457
250,8.4117,4.05438
250,9.1127,4.04446
250,9.8137,4.03482
250,10.5147,4.02543
250,11.2156,4.0163
250,11.9166,4.00742
250,12.6176,3.99878
250,13.3186,3.99037
250,14.0195,3.98218
250,14.7205,3.97422
250,15.4215,3.96646
250,16.1225,3.95892
250,16.8234,3.95157
250,17.5244,3.94442
250,18.2254,3.93746
250,18.9264,3.93068
250,19.6274,3.92408
250,20.3283,3.91765
250,21.0293,3.91139
250,21.7303,3.90529
250,22.4313,3.89935
250,23.1322,3.89357
250,23.8332,3.88793
250,24.5342,3.88244
250,25.2352,3.87709
250,25.9361,3.87187
250,26.6371,3.86679
250,27.3381,3.86183
250,28.0391,3.857
250,28.7401,3.8523
250,29.441,3.8477
250,30.142,3.84323
250,30.843,3.83886
250,31.544,3.8346
250,32.2449,3.83044
250,32.9459,3.82639
250,33.6469,3.82243
250,34.3479,3.81857
250,35.0488,3.81481
250,35.7498,3.81113
250,36.4508,3.80754
250,37.1518,3.80403
250,37.8527,3.80061
250,38.5537,3.79727
250,39.2547,3.794
250,39.9557,3.79081
250,40.6567,3.78769
250,41.3576,3.78464
250,42.0586,3.78167
250,42.7596,3.77876
250,43.4606,3.77591
250,44.1615,3.77313
250,44.8625,3.7704
250,45.5635,3.76774
250,46.2645,3.76513
250,46.9654,3.76259
250,47.6664,3.76009
250,48.3674,3.75765
250,49.0684,3.75526
250,49.7694,3.75291
250,50.4703,3.75062
250,51.1713,3.74837
250,51.8723,3.74617
250,52.5733,3.74402
250,53.2742,3.7419
250,53.9752,3.73983
250,54.6762,3.7378
250,55.3772,3.7358
250,56.0781,3.73385
250,56.7791,3.73193
250,57.4801,3.73004
250,58.1811,3.7282
250,58.8821,3.72638
250,59.583,3.7246
250,60.284,3.72285
250,60.985,3.72113
250,61.686,3.71944
250,62.3869,3.71778
250,63.0879,3.71615
250,63.7889,3.71455
250,64.4899,3.71297
250,65.1908,3.71142
250,65.8918,3.70989
250,66.5928,3.70839
250,67.2938,3.70691
250,67.9948,3.70545
250,68.6957,3.70402
250,69.3967,3.70261
250,70.0977,3.70122
250,70.7987,3.69985
250,71.4996,3.6985
250,72.2006,3.69717
250,72.9016,3.69585
250,73.6026,3.69456
250,74.3035,3.69328
250,75.0045,3.69202
250,75.7055,3.69078
250,76.4065,3.68955
250,77.1075,3.68834
250,77.8084,3.68714
250,78.5094,3.68596
250,79.2104,3.68479
250,79.9114,3.68363
250,80.6123,3.68249
250,81.3133,3.68137
250,82.0143,3.68025
250,82.7153,3.67915
250,83.4162,3.67806
250,84.1172,3.67698
250,84.8182,3.67591
250,85.5192,3.67485
250,86.2202,3.67381
250,86.9211,3.67277
250,87.6221,3.67174
250,88.3231,3.67073
250,89.0241,3.66972
250,89.725,3.66872
250,90.426,3.66773
250,91.127,3.66675
250,91.828,3.66578
250,92.5289,3.66482
250,93.2299,3.66386
250,93.9309,3.66291
250,94.6319,3.66197
250,95.3328,3.66104
250,96.0338,3.66011
250,96.7348,3.65919
250,97.4358,3.65828
250,98.1368,3.65737
250,98.8377,3.65647
250,99.5387,3.65557
250,100.2397,3.65469
250,100.9407,3.6538
250,101.6416,3.65292
250,102.3426,3.65205
250,103.0436,3.65118
250,103.7446,3.65032
250,104.4455,3.64946
250,105.1465,3.64861
250,105.8475,3.64776
250,106.5485,3.64692
250,107.2495,3.64608
250,107.9504,3.64525
250,108.6514,3.64441
250,109.3524,3.64359
250,110.0534,3.64276
250,110.7543,3.64195
250,111.4553,3.64113
250,112.1563,3.64032
250,112.8573,3.63951
250,113.5582,3.6387
250,114.2592,3.6379
250,114.9602,3.6371
250,115.6612,3.6363
250,116.3622,3.63551
250,117.0631,3.63472
250,117.7641,3.63393
250,118.4651,3.63315
250,119.1661,3.63236
250,119.867,3.63158
250,120.568,3.6308
250,121.269,3.63003
250,121.97,3.62925
250,122.6709,3.62848
250,123.3719,3.62771
250,124.0729,3.62694
250,124.7739,3.62618
250,125.4749,3.62541
250,126.1758,3.62464
250,126.8768,3.62388
250,127.5778,3.62312
250,128.2788,3.62235
250,128.9797,3.62159
250,129.6807,3.62083
250,130.3817,3.62006
250,131.0827,3.6193
250,131.7836,3.61853
250,132.4846,3.61776
250,133.1856,3.61699
250,133.8866,3.61622
250,134.5876,3.61544
250,135.2885,3.61465
250,135.9895,3.61386
250,136.6905,3.61306
250,137.3915,3.61224
250,138.0924,3.61142
250,138.7934,3.61058
250,139.4944,3.60972
250,140.1954,3.60883
250,140.8963,3.60792
250,141.5973,3.60698
250,142.2983,3.606
250,142.9993,3.60498
250,143.7003,3.6039
250,144.4012,3.60276
250,145.1022,3.60155
250,145.8032,3.60025
250,146.5042,3.59884
250,147.2051,3.59732
250,147.9061,3.59565
250,148.6071,3.59381
250,149.3081,3.59177
250,150.009,3.5895
250,150.71,3.58696
250,151.411,3.5841
250,152.112,3.58087
250,152.8129,3.5772
250,153.5139,3.57304
250,154.2149,3.56829
250,154.9159,3.56288
250,155.6169,3.55671
250,156.3178,3.54968
250,157.0188,3.54167
250,157.7198,3.53256
250,158.4208,3.52224
250,159.1217,3.51059
250,159.8227,3.4975
250,160.5237,3.48287
250,161.2247,3.46663
250,161.9256,3.44874
250,162.6266,3.42922
250,163.3276,3.40811
250,164.0286,3.38552
250,164.7296,3.36164
250,165.4305,3.33669
250,166.1315,3.31096
250,166.8325,3.28477
250,167.5335,3.25849
250,168.2344,3.23247
250,168.9354,3.20704
250,169.6364,3.18253
250,170.3374,3.1592
250,171.0383,3.13724
250,171.7393,3.11682
250,172.4403,3.09802
250,173.1413,3.08087
250,173.8423,3.06535
250,174.5432,3.05142
250,175.2442,3.03898
250,175.9452,3.02793
250,176.6462,3.01817
250,177.3471,3.00957
250,178.0481,3.00202
250,178.7491,2.99539
250,179.4501,2.98958
250,180.151,2.98448
250,180.852,2.98002
250,181.553,2.9761
500,0.0,4.16513
500,0.6371,4.15127
500,1.2741,4.13779
500,1.9112,4.12468
500,2.5483,4.11194
500,3.1853,4.09956
500,3.8224,4.08751
500,4.4595,4.07579
500,5.0965,4.0644
500,5.7336,4.05332
500,6.3707,4.04255
500,7.0077,4.03207
500,7.6448,4.02188
500,8.2819,4.01196
500,8.9189,4.00232
500,9.556,3.99293
500,10.1931,3.9838
500,10.8301,3.97492
500,11.4672,3.96628
500,12.1042,3.95787
500,12.7413,3.94968
500,13.3784,3.94172
500,14.0154,3.93396
500,14.6525,3.92642
500,15.2896,3.91907
500,15.9266,3.91192
500,16.5637,3.90496
500,17.2008,3.89818
500,17.8378,3.89158
500,18.4749,3.88515
500,19.112,3.87889
500,19.749,3.87279
500,20.3861,3.86685
500,21.0232,3.86107
500,21.6602,3.85543
500,22.2973,3.84994
500,22.9344,3.84459
500,23.5714,3.83937
500,24.2085,3.83429
500,24.8456,3.82933
500,25.4826,3.8245
500,26.1197,3.8198
500,26.7568,3.8152
500,27.3938,3.81073
500,28.0309,3.80636
500,28.668,3.8021
500,29.305,3.79794
500,29.9421,3.79389
500,30.5792,3.78993
500,31.2162,3.78607
500,31.8533,3.78231
500,32.4903,3.77863
500,33.1274,3.77504
500,33.7645,3.77153
500,34.4015,3.76811
500,35.0386,3.76477
500,35.6757,3.7615
500,36.3127,3.75831
500,36.9498,3.75519
500,37.5869,3.75214
500,38.2239,3.74917
500,38.861,3.74626
500,39.4981,3.74341
500,40.1351,3.74063
500,40.7722,3.7379
500,41.4093,3.73524
500,42.0463,3.73263
500,42.6834,3.73009
500,43.3205,3.72759
500,43.9575,3.72515
500,44.5946,3.72276
500,45.2317,3.72041
500,45.8687,3.71812
500,46.5058,3.71587
500,47.1429,3.71367
500,47.7799,3.71152
500,48.417,3.7094
500,49.0541,3.70733
500,49.6911,3.7053
500,50.3282,3.7033
500,50.9653,3.70135
500,51.6023,3.69943
500,52.2394,3.69754
500,52.8764,3.6957
500,53.5135,3.69388
500,54.1506,3.6921
500,54.7876,3.69035
500,55.4247,3.68863
500,56.0618,3.68694
500,56.6988,3.68528
500,57.3359,3.68365
500,57.973,3.68205
500,58.61,3.68047
500,59.2471,3.67892
500,59.8842,3.67739
500,60.5212,3.67589
500,61.1583,3.67441
500,61.7954,3.67295
500,62.4324,3.67152
500,63.0695,3.67011
500,63.7066,3.66872
500,64.3436,3.66735
500,64.9807,3.666
500,65.6178,3.66467
500,66.2548,3.66335
500,66.8919,3.66206
500,67.529,3.66078
500,68.166,3.65952
500,68.8031,3.65828
500,69.4402,3.65705
500,70.0772,3.65584
500,70.7143,3.65464
500,71.3514,3.65346
500,71.9884,3.65229
500,72.6255,3.65113
500,73.2625,3.64999
500,73.8996,3.64887
500,74.5367,3.64775
500,75.1737,3.64665
500,75.8108,3.64556
500,76.4479,3.64448
500,77.0849,3.64341
500,77.722,3.64235
500,78.3591,3.64131
500,78.9961,3.64027
500,79.6332,3.63924
500,80.2703,3.63823
500,80.9073,3.63722
500,81.5444,3.63622
500,82.1815,3.63523
500,82.8185,3.63425
500,83.4556,3.63328
500,84.0927,3.63232
500,84.7297,3.63136
500,85.3668,3.63041
500,86.0039,3.62947
500,86.6409,3.62854
500,87.278,3.62761
500,87.9151,3.62669
500,88.5521,3.62578
500,89.1892,3.62487
500,89.8263,3.62397
500,90.4633,3.62307
500,91.1004,3.62219
500,91.7375,3.6213
500,92.3745,3.62042
500,93.0116,3.61955
500,93.6486,3.61868
500,94.2857,3.61782
500,94.9228,3.61696
500,95.5598,3.61611
500,96.1969,3.61526
500,96.834,3.61442
500,97.471,3.61358
500,98.1081,3.61275
500,98.7452,3.61191
500,99.3822,3.61109
500,100.0193,3.61026
500,100.6564,3.60945
500,101.2934,3.60863
500,101.9305,3.60782
500,102.5676,3.60701
500,103.2046,3.6062
500,103.8417,3.6054
500,104.4788,3.6046
500,105.1158,3.6038
500,105.7529,3.60301
500,106.39,3.60222
500,107.027,3.60143
500,107.6641,3.60065
500,108.3012,3.59986
500,108.9382,3.59908
500,109.5753,3.5983
500,110.2124,3.59753
500,110.8494,3.59675
500,111.4865,3.59598
500,112.1236,3.59521
500,112.7606,3.59444
500,113.3977,3.59368
500,114.0347,3.59291
500,114.6718,3.59214
500,115.3089,3.59138
500,115.9459,3.59062
500,116.583,3.58985
500,117.2201,3.58909
500,117.8571,3.58833
500,118.4942,3.58756
500,119.1313,3.5868
500,119.7683,3.58603
500,120.4054,3.58526
500,121.0425,3.58449
500,121.6795,3.58372
500,122.3166,3.58294
500,122.9537,3.58215
500,123.5907,3.58136
500,124.2278,3.58056
500,124.8649,3.57974
500,125.5019,3.57892
500,126.139,3.57808
500,126.7761,3.57722
500,127.4131,3.57633
500,128.0502,3.57542
500,128.6873,3.57448
500,129.3243,3.5735
500,129.9614,3.57248
500,130.5985,3.5714
500,131.2355,3.57026
500,131.8726,3.56905
500,132.5097,3.56775
500,133.1467,3.56634
500,133.7838,3.56482
500,134.4208,3.56315
500,135.0579,3.56131
500,135.695,3.55927
500,136.332,3.557
500,136.9691,3.55446
500,137.6062,3.5516
500,138.2432,3.54837
500,138.8803,3.5447
500,139.5174,3.54054
500,140.1544,3.53579
500,140.7915,3.53038
500,141.4286,3.52421
500,142.0656,3.51718
500,142.7027,3.50917
500,143.3398,3.50006
500,143.9768,3.48974
500,144.6139,3.47809
500,145.251,3.465
500,145.888,3.45037
500,146.5251,3.43413
500,147.1622,3.41624
500,147.7992,3.39672
500,148.4363,3.37561
500,149.0734,3.35302
500,149.7104,3.32914
500,150.3475,3.30419
500,150.9846,3.27846
500,151.6216,3.25227
500,152.2587,3.22599
500,152.8958,3.19997
500,153.5328,3.17454
500,154.1699,3.15003
500,154.8069,3.1267
500,155.444,3.10474
500,156.0811,3.08432
500,156.7181,3.06552
500,157.3552,3.04837
500,157.9923,3.03285
500,158.6293,3.01892
500,159.2664,3.00648
500,159.9035,2.99543
500,160.5405,2.98567
500,161.1776,2.97707
500,161.8147,2.96952
500,162.4517,2.96289
500,163.0888,2.95708
500,163.7259,2.95198
500,164.3629,2.94752
500,165.0,2.9436
