formulation,cycle_number,coulombic_efficiency_percent
Reference,92,98.30936
Reference,93,98.37323
Reference,94,98.22751
Reference,95,98.70699
Reference,96,98.66244
Reference,97,98.49915
Reference,98,98.49195
Reference,99,97.89023
Reference,100,98.72539
Reference,101,98.54493
Reference,102,98.52657
Reference,103,98.69767
Reference,104,98.69773
Reference,105,98.56199
Reference,106,98.60144
Reference,107,98.30467
Reference,108,98.81771
Reference,109,98.73837
Reference,110,98.9388
Reference,111,98.5855
Reference,112,98.37433
Reference,113,98.46998
Reference,114,98.47341
Reference,115,98.35152
Reference,116,98.44798
Reference,117,98.28876
Reference,118,98.54617
Reference,119,98.40495
Reference,120,98.29096
Reference,121,98.14147
Reference,122,98.45451
Reference,123,98.59688
Reference,124,98.03943
Reference,125,98.19676
Reference,126,98.47151
Reference,127,98.60492
Reference,128,98.79356
Reference,129,98.46853
Reference,130,98.44629
Reference,131,98.69631
Reference,132,98.70709
Reference,133,98.72998
Reference,134,98.12995
Reference,135,98.59128
Reference,136,98.69049
Reference,137,98.09354
Reference,138,98.61675
Reference,139,98.53304
Reference,140,98.77973
Reference,141,98.25241
Reference,142,98.32112
Reference,143,98.63814
Reference,144,98.41156
Reference,145,98.76707
Reference,146,98.45501
Reference,147,98.22057
Reference,148,98.43853
Reference,149,98.313
Reference,150,98.10073
Reference,151,98.72688
Reference,152,98.81858
Reference,153,98.42572
Reference,154,98.49406
Reference,155,98.50311
Reference,156,98.32379
Reference,157,98.40184
Reference,158,98.13487
Reference,159,98.21262
Reference,160,98.45175
Reference,161,98.69146
Reference,162,98.50122
Reference,163,98.13652
Reference,164,98.58202
Reference,165,98.83918
Reference,166,98.5979
Reference,167,98.46329
Reference,168,98.2326
Reference,169,98.48252
Reference,170,98.45045
Reference,171,98.26282
Reference,172,98.73237
Reference,173,98.42356
Reference,174,98.60736
Reference,175,98.48659
Reference,176,98.22754
Reference,177,98.27033
Reference,178,98.5369
Reference,179,98.26818
Reference,180,98.38426
Reference,181,98.51578
Reference,182,98.05216
Reference,183,98.42543
Reference,184,98.37832
Reference,185,98.5206
Reference,186,98.74642
Reference,187,98.0961
Reference,188,98.53708
Reference,189,98.56965
Reference,190,98.84053
Reference,191,98.72021
Reference,192,98.70914
Reference,193,98.5855
Reference,194,98.45426
Reference,195,98.39701
Reference,196,98.50229
Reference,197,98.32767
Reference,198,98.66799
Reference,199,98.34248
Reference,200,98.51196
Reference,201,98.42322
Reference,202,98.28905
Reference,203,98.51388
Reference,204,98.79623
Reference,205,98.5368
Reference,206,98.59592
Reference,207,98.56197
Reference,208,98.27538
Reference,209,98.28641
Reference,210,98.45869
Reference,211,98.62262
Reference,212,98.43344
Reference,213,98.27173
Reference,214,98.24461
Reference,215,98.5659
Reference,216,98.76887
Reference,217,98.36168
Reference,218,98.74007
Reference,219,98.98781
Reference,220,98.12103
Reference,221,98.38012
Reference,222,98.39046
Reference,223,98.60745
Reference,224,98.44478
Reference,225,98.50053
Reference,226,98.66079
Reference,227,98.60758
Reference,228,98.46799
Reference,229,98.7525
Reference,230,98.49063
Reference,231,98.39555
Reference,232,98.51338
Reference,233,98.38669
Reference,234,98.45347
Reference,235,98.45508
Reference,236,98.48172
Reference,237,98.48032
Reference,238,98.28565
Reference,239,98.41511
Reference,240,98.12826
Reference,241,98.3009
Reference,242,98.52497
Reference,243,98.07945
Reference,244,98.48727
Reference,245,98.32894
Reference,246,98.19842
Reference,247,98.64355
Reference,248,98.57359
Reference,249,98.1722
Reference,250,98.31778
Reference,251,98.45089
Reference,252,98.47857
Reference,253,98.71597
Reference,254,98.44782
Reference,255,98.43735
Reference,256,98.64221
Reference,257,98.51466
Reference,258,98.70791
Reference,259,98.62516
Reference,260,98.52443
Reference,261,98.73576
Reference,262,98.58341
Reference,263,98.32751
Reference,264,98.56022
Reference,265,98.26364
Reference,266,98.60789
Reference,267,98.39663
Reference,268,98.16553
Reference,269,98.75908
Reference,270,98.27338
Reference,271,98.18362
Reference,272,97.92058
Reference,273,98.45554
Reference,274,98.72393
Reference,275,98.52569
Reference,276,98.50732
Reference,277,98.40285
Reference,278,98.38463
Reference,279,98.33599
Reference,280,98.45809
Reference,281,98.22022
Reference,282,98.56253
Reference,283,98.59852
Reference,284,98.21654
Reference,285,98.37168
Reference,286,98.47383
Reference,287,98.61325
Reference,288,98.22415
Reference,289,98.70071
Reference,290,98.51643
Reference,291,98.611
Reference,292,98.75342
Reference,293,98.71606
Reference,294,98.9345
Reference,295,98.55926
Reference,296,98.40708
Reference,297,98.23539
Reference,298,98.52689
Reference,299,98.53541
Reference,300,98.54823
Formulation B,1,96.09611
Formulation B,2,96.22627
Formulation B,3,96.66804
Formulation B,4,96.26728
Formulation B,5,96.42399
Formulation B,6,96.74632
Formulation B,7,96.98584
Formulation B,8,97.26
Formulation B,9,97.02239
Formulation B,10,97.21417
Formulation B,11,97.51462
Formulation B,12,97.46733
Formulation B,13,97.46617
Formulation B,14,97.84757
Formulation B,15,97.46608
Formulation B,16,97.50124
Formulation B,17,97.71349
Formulation B,18,97.69336
Formulation B,19,97.70728
Formulation B,20,97.86114
Formulation B,21,97.88279
Formulation B,22,98.03209
Formulation B,23,98.17151
Formulation B,24,97.90989
Formulation B,25,98.21987
Formulation B,26,98.20544
Formulation B,27,98.14902
Formulation B,28,98.42445
Formulation B,29,98.33207
Formulation B,30,98.72473
Formulation B,31,98.41083
Formulation B,32,98.48138
Formulation B,33,98.48547
Formulation B,34,98.69693
Formulation B,35,98.45173
Formulation B,36,98.60936
Formulation B,37,98.68295
Formulation B,38,98.57868
Formulation B,39,98.92931
Formulation B,40,98.58977
Formulation B,41,98.61787
Formulation B,42,98.84761
Formulation B,43,98.70731
Formulation B,44,98.93994
Formulation B,45,98.79795
Formulation B,46,98.81636
Formulation B,47,98.7948
Formulation B,48,98.65596
Formulation B,49,98.87366
Formulation B,50,98.8641
Formulation B,51,98.994
Formulation B,52,98.837
Formulation B,53,98.71042
Formulation B,54,99.02241
Formulation B,55,99.07403
Formulation B,56,98.73107
Formulation B,57,98.95779
Formulation B,58,99.08613
Formulation B,59,99.00926
Formulation B,60,99.12884
Formulation B,61,99.07656
Formulation B,62,99.20449
Formulation B,63,99.18709
Formulation B,64,99.28178
Formulation B,65,98.95898
Formulation B,66,99.33971
Formulation B,67,99.07208
Formulation B,68,99.27374
Formulation B,69,98.92307
Formulation B,70,98.82777
Formulation B,71,98.86261
Formulation B,72,98.9896
Formulation B,73,99.00932
Formulation B,74,99.13102
Formulation B,75,99.24378
Formulation B,76,98.79414
Formulation B,77,98.86428
Formulation B,78,99.06845
Formulation B,79,99.05438
Formulation B,80,98.99925
Formulation B,81,99.23212
Formulation B,82,98.9351
Formulation B,83,98.97138
Formulation B,84,99.1807
Formulation B,85,99.23476
Formulation B,86,99.01208
Formulation B,87,99.1428
Formulation B,88,99.14656
Formulation B,89,99.16061
Formulation B,90,99.05201
Formulation B,91,99.26459
Formulation B,92,99.16343
Formulation B,93,99.23287
Formulation B,94,99.21246
Formulation B,95,99.22207
Formulation B,96,99.26954
Formulation B,97,99.23006
Formulation B,98,99.30583
Formulation B,99,99.18084
Formulation B,100,99.01219
Formulation B,101,99.01804
Formulation B,102,98.83745
Formulation B,103,98.96768
Formulation B,104,98.84144
Formulation B,105,99.14886
Formulation B,106,99.01187
Formulation B,107,99.07885
Formulation B,108,99.02549
Formulation B,109,99.05589
Formulation B,110,99.08032
Formulation B,111,99.19376
Formulation B,112,99.35916
Formulation B,113,99.18173
Formulation B,114,99.40765
Formulation B,115,99.25232
Formulation B,116,99.25162
Formulation B,117,99.17656
Formulation B,118,99.3298
Formulation B,119,99.24211
Formulation B,120,99.288
Formulation B,121,99.14822
Formulation B,122,99.10868
Formulation B,123,99.06054
Formulation B,124,99.3501
Formulation B,125,98.98964
Formulation B,126,99.12611
Formulation B,127,99.08178
Formulation B,128,98.91335
Formulation B,129,99.03369
Formulation B,130,99.28096
Formulation B,131,99.06466
Formulation B,132,99.25854
Formulation B,133,98.9229
Formulation B,134,99.15403
Formulation B,135,98.88739
Formulation B,136,98.67801
Formulation B,137,99.06605
Formulation B,138,99.02238
Formulation B,139,99.20993
Formulation B,140,99.30913
Formulation B,141,99.22589
Formulation B,142,99.24822
Formulation B,143,99.09777
Formulation B,144,99.20868
Formulation B,145,99.43456
Formulation B,146,99.19201
Formulation B,147,99.57541
Formulation B,148,99.14856
Formulation B,149,99.22919
Formulation B,150,99.10655
Formulation B,151,99.29027
Formulation B,152,99.03616
Formulation B,153,99.12132
Formulation B,154,99.29004
Formulation B,155,99.13951
Formulation B,156,98.94048
Formulation B,157,99.10603
Formulation B,158,99.02438
Formulation B,159,99.28936
Formulation B,160,98.8109
Formulation B,161,99.09249
Formulation B,162,99.14413
Formulation B,163,98.94723
Formulation B,164,98.94785
Formulation B,165,99.30134
Formulation B,166,98.96423
Formulation B,167,99.05081
Formulation B,168,99.25238
Formulation B,169,99.41978
Formulation B,170,99.03469
Formulation B,171,99.25514
Formulation B,172,99.40149
Formulation B,173,99.17382
Formulation B,174,99.3635
Formulation B,175,99.28586
Formulation B,176,99.31747
Formulation B,177,99.15385
Formulation B,178,99.27953
Formulation B,179,99.46192
Formulation B,180,99.1738
Formulation B,181,99.52294
Formulation B,182,99.04305
Formulation B,183,99.09328
Formulation B,184,99.31407
Formulation B,185,99.07677
Formulation B,186,99.21291
Formulation B,187,99.00333
Formulation B,188,99.09072
Formulation B,189,99.11484
Formulation B,190,99.25764
Formulation B,191,98.95457
Formulation B,192,99.01121
Formulation B,193,99.42534
Formulation B,194,99.22737
Formulation B,195,98.79963
Formulation B,196,99.28233
Formulation B,197,99.14982
Formulation B,198,99.28018
Formulation B,199,99.3284
Formulation B,200,99.31969
Formulation B,201,99.38931
Formulation B,202,99.41704
Formulation B,203,99.55692
Formulation B,204,99.15465
Formulation B,205,99.3789
Formulation B,206,99.10491
Formulation B,207,99.35966
Formulation B,208,99.27537
Formulation B,209,99.05873
Formulation B,210,99.17098
Formulation B,211,99.15766
Formulation B,212,99.2334
Formulation B,213,99.04902
Formulation B,214,99.18367
Formulation B,215,99.26716
Formulation B,216,99.0125
Formulation B,217,98.84791
Formulation B,218,99.06836
Formulation B,219,98.89405
Formulation B,220,99.10763
Formulation B,221,99.20192
Formulation B,222,98.94967
Formulation B,223,99.42814
Formulation B,224,99.33499
Formulation B,225,98.97649
Formulation B,226,99.0737
Formulation B,227,99.33106
Formulation B,228,99.38778
Formulation B,229,99.21194
Formulation B,230,99.35052
Formulation B,231,99.05374
Formulation B,232,99.23895
Formulation B,233,99.19263
Formulation B,234,99.22216
Formulation B,235,99.12511
Formulation B,236,99.30355
Formulation B,237,99.19789
Formulation B,238,99.12975
Formulation B,239,99.24736
Formulation B,240,99.12919
Formulation B,241,99.24004
Formulation B,242,99.07223
Formulation B,243,99.15839
Formulation B,244,99.17649
Formulation B,245,99.14277
Formulation B,246,99.24007
Formulation B,247,98.99757
Formulation B,248,99.10047
Formulation B,249,99.10207
Formulation B,250,99.14365
Formulation B,251,99.06301
Formulation B,252,99.16127
Formulation B,253,99.12747
Formulation B,254,99.30776
Formulation B,255,99.39214
Formulation B,256,99.20889
Formulation B,257,99.31753
Formulation B,258,99.14933
Formulation B,259,99.242
Formulation B,260,98.94915
Formulation B,261,99.27605
Formulation B,262,99.10581
Formulation B,263,99.28938
Formulation B,264,99.35396
Formulation B,265,99.34419
Formulation B,266,99.07621
Formulation B,267,99.00086
Formulation B,268,99.45289
Formulation B,269,99.11609
Formulation B,270,99.31755
Formulation B,271,99.30179
Formulation B,272,98.93135
Formulation B,273,99.04961
Formulation B,274,99.02855
Formulation B,275,98.84352
Formulation B,276,98.97782
Formulation B,277,99.36652
Formulation B,278,99.05739
Formulation B,279,99.20427
Formulation B,280,99.19488
Formulation B,281,99.29807
Formulation B,282,99.0952
Formulation B,283,98.90523
Formulation B,284,99.25709
Formulation B,285,99.18446
Formulation B,286,99.39268
Formulation B,287,99.24543
Formulation B,288,99.38047
Formulation B,289,99.38188
Formulation B,290,99.08847
Formulation B,291,99.094
Formulation B,292,99.38564
Formulation B,293,98.90641
Formulation B,294,99.15489
Formulation B,295,99.23774
Formulation B,296,98.99233
Formulation B,297,99.25608
Formulation B,298,99.2607
Formulation B,299,99.28412
Formulation B,300,99.21304
Formulation C,1,96.96002
Formulation C,2,96.89928
Formulation C,3,97.07454
Formulation C,4,97.09259
Formulation C,5,97.24736
Formulation C,6,97.32114
Formulation C,7,97.64134
Formulation C,8,97.43081
Formulation C,9,97.74614
Formulation C,10,97.85876
Formulation C,11,97.86847
Formulation C,12,97.96361
Formulation C,13,97.79334
Formulation C,14,98.0194
Formulation C,15,98.09512
Formulation C,16,98.05894
Formulation C,17,98.00244
Formulation C,18,98.18886
Formulation C,19,98.3832
Formulation C,20,98.23181
Formulation C,21,98.22088
Formulation C,22,98.31705
Formulation C,23,98.48566
Formulation C,24,98.55809
Formulation C,25,98.77818
Formulation C,26,98.56974
Formulation C,27,98.8612
Formulation C,28,98.76041
Formulation C,29,99.05951
Formulation C,30,99.06819
Formulation C,31,98.94449
Formulation C,32,98.91241
Formulation C,33,98.99449
Formulation C,34,99.01749
Formulation C,35,98.95127
Formulation C,36,98.97274
Formulation C,37,99.06469
Formulation C,38,99.07292
Formulation C,39,99.12903
Formulation C,40,98.90591
Formulation C,41,99.09298
Formulation C,42,99.00703
Formulation C,43,99.08728
Formulation C,44,99.13359
Formulation C,45,99.15315
Formulation C,46,98.95161
Formulation C,47,99.20021
Formulation C,48,99.14561
Formulation C,49,99.30675
Formulation C,50,99.45311
Formulation C,51,99.43995
Formulation C,52,99.3754
Formulation C,53,99.44826
Formulation C,54,99.46571
Formulation C,55,99.47003
Formulation C,56,99.44788
Formulation C,57,99.57354
Formulation C,58,99.60413
Formulation C,59,99.40326
Formulation C,60,99.69231
Formulation C,61,99.65176
Formulation C,62,99.58584
Formulation C,63,99.48973
Formulation C,64,99.5674
Formulation C,65,99.54969
Formulation C,66,99.44082
Formulation C,67,99.42706
Formulation C,68,99.60446
Formulation C,69,99.45897
Formulation C,70,99.59959
Formulation C,71,99.36286
Formulation C,72,99.40136
Formulation C,73,99.38914
Formulation C,74,99.55751
Formulation C,75,99.5647
Formulation C,76,99.44998
Formulation C,77,99.74115
Formulation C,78,99.73153
Formulation C,79,99.63101
Formulation C,80,99.68407
Formulation C,81,99.62815
Formulation C,82,99.74154
Formulation C,83,99.86756
Formulation C,84,99.78853
Formulation C,85,99.78502
Formulation C,86,99.5538
Formulation C,87,99.62812
Formulation C,88,99.5785
Formulation C,89,99.61937
Formulation C,90,99.61756
Formulation C,91,99.58059
Formulation C,92,99.59059
Formulation C,93,99.63937
Formulation C,94,99.62576
Formulation C,95,99.63088
Formulation C,96,99.60272
Formulation C,97,99.54429
Formulation C,98,99.52215
Formulation C,99,99.60003
Formulation C,100,99.56106
Formulation C,101,99.75204
Formulation C,102,99.61059
Formulation C,103,99.97613
Formulation C,104,99.90274
Formulation C,105,99.66587
Formulation C,106,99.73207
Formulation C,107,99.84569
Formulation C,108,99.6791
Formulation C,109,99.76629
Formulation C,110,99.71699
Formulation C,111,99.81573
Formulation C,112,99.62865
Formulation C,113,99.57666
Formulation C,114,99.77464
Formulation C,115,99.50466
Formulation C,116,99.88722
Formulation C,117,99.53807
Formulation C,118,99.66975
Formulation C,119,99.81332
Formulation C,120,99.59339
Formulation C,121,99.52161
Formulation C,122,99.71042
Formulation C,123,99.61375
Formulation C,124,99.71199
Formulation C,125,99.63356
Formulation C,126,99.76706
Formulation C,127,99.55421
Formulation C,128,99.88375
Formulation C,129,99.89601
Formulation C,130,99.76237
Formulation C,131,99.82517
Formulation C,132,99.66584
Formulation C,133,99.77357
Formulation C,134,99.68939
Formulation C,135,99.75693
Formulation C,136,99.98
Formulation C,137,99.73498
Formulation C,138,99.53678
Formulation C,139,99.51802
Formulation C,140,99.76928
Formulation C,141,99.6802
Formulation C,142,99.75915
Formulation C,143,99.45792
Formulation C,144,99.55862
Formulation C,145,99.65698
Formulation C,146,99.70504
Formulation C,147,99.65194
Formulation C,148,99.62518
Formulation C,149,99.71766
Formulation C,150,99.56036
Formulation C,151,99.75611
Formulation C,152,99.71325
Formulation C,153,99.66821
Formulation C,154,99.69221
Formulation C,155,99.87662
Formulation C,156,99.75413
Formulation C,157,99.78658
Formulation C,158,99.83087
Formulation C,159,99.9315
Formulation C,160,99.8498
Formulation C,161,99.63474
Formulation C,162,99.74733
Formulation C,163,99.73138
Formulation C,164,99.78049
Formulation C,165,99.71882
Formulation C,166,99.74537
Formulation C,167,99.66483
Formulation C,168,99.78502
Formulation C,169,99.65834
Formulation C,170,99.52788
Formulation C,171,99.84442
Formulation C,172,99.65675
Formulation C,173,99.49576
Formulation C,174,99.6398
Formulation C,175,99.75253
Formulation C,176,99.6101
Formulation C,177,99.75216
Formulation C,178,99.77839
Formulation C,179,99.78239
Formulation C,180,99.75572
Formulation C,181,99.88271
Formulation C,182,99.81584
Formulation C,183,99.80866
Formulation C,184,99.75807
Formulation C,185,99.84268
Formulation C,186,99.72491
Formulation C,187,99.73097
Formulation C,188,99.81963
Formulation C,189,99.60755
Formulation C,190,99.77436
Formulation C,191,99.77102
Formulation C,192,99.76218
Formulation C,193,99.57526
Formulation C,194,99.55901
Formulation C,195,99.67318
Formulation C,196,99.62793
Formulation C,197,99.64955
Formulation C,198,99.83317
Formulation C,199,99.73566
Formulation C,200,99.94979
Formulation C,201,99.88628
Formulation C,202,99.84557
Formulation C,203,99.79744
Formulation C,204,99.88595
Formulation C,205,99.82337
Formulation C,206,99.77109
Formulation C,207,99.77435
Formulation C,208,99.76705
Formulation C,209,99.9075
Formulation C,210,99.78576
Formulation C,211,99.74017
Formulation C,212,99.78531
Formulation C,213,99.74848
Formulation C,214,99.73443
Formulation C,215,99.73173
Formulation C,216,99.58347
Formulation C,217,99.65368
Formulation C,218,99.56926
Formulation C,219,99.65428
Formulation C,220,99.60639
Formulation C,221,99.65953
Formulation C,222,99.70922
Formulation C,223,99.5764
Formulation C,224,99.77587
Formulation C,225,99.94406
Formulation C,226,99.95819
Formulation C,227,99.70359
Formulation C,228,99.70377
Formulation C,229,99.62792
Formulation C,230,99.78983
Formulation C,231,99.69108
Formulation C,232,99.76019
Formulation C,233,99.87625
Formulation C,234,99.77983
Formulation C,235,99.71523
Formulation C,236,99.90148
Formulation C,237,99.73038
Formulation C,238,99.61761
Formulation C,239,99.61107
Formulation C,240,99.64418
Formulation C,241,99.85025
Formulation C,242,99.85563
Formulation C,243,99.54469
Formulation C,244,99.75977
Formulation C,245,99.71241
Formulation C,246,99.74487
Formulation C,247,99.5571
Formulation C,248,99.61588
Formulation C,249,99.70809
Formulation C,250,99.63255
Formulation C,251,99.63058
Formulation C,252,99.81629
Formulation C,253,99.77787
Formulation C,254,99.76765
Formulation C,255,99.70276
Formulation C,256,99.75286
Formulation C,257,99.87366
Formulation C,258,99.9557
Formulation C,259,99.75176
Formulation C,260,99.84262
Formulation C,261,99.8238
Formulation C,262,99.5937
Formulation C,263,99.90265
Formulation C,264,99.76729
Formulation C,265,99.63366
Formulation C,266,99.78093
Formulation C,267,99.56266
Formulation C,268,99.479
Formulation C,269,99.59785
Formulation C,270,99.51403
Formulation C,271,99.69315
Formulation C,272,99.62158
Formulation C,273,99.67653
Formulation C,274,99.79999
Formulation C,275,99.56732
Formulation C,276,99.71512
Formulation C,277,99.69717
Formulation C,278,99.81107
Formulation C,279,99.71111
Formulation C,280,99.8804
Formulation C,281,99.79832
Formulation C,282,99.7339
Formulation C,283,99.76645
Formulation C,284,99.78486
Formulation C,285,99.76942
Formulation C,286,99.74414
Formulation C,287,99.96559
Formulation C,288,99.70282
Formulation C,289,99.68248
Formulation C,290,99.64005
Formulation C,291,99.78607
Formulation C,292,99.70045
Formulation C,293,99.66431
Formulation C,294,99.58444
Formulation C,295,99.76628
Formulation C,296,99.61116
Formulation C,297,99.51779
Formulation C,298,99.70083
Formulation C,299,99.57608
Formulation C,300,99.809
