formulation,frequency_Hz,Z_real_ohm,minus_Z_imag_ohm,series
Reference,19958.435309,3.10419,0.051,model
Reference,19312.716167,3.10426,0.05264,model
Reference,18687.888102,3.10434,0.05433,model
Reference,18083.275221,3.10442,0.05607,model
Reference,17498.223499,3.1045,0.05788,model
Reference,16932.100068,3.10458,0.05974,model
Reference,16384.292539,3.10466,0.06166,model
Reference,15854.208334,3.10475,0.06364,model
Reference,15341.274046,3.10483,0.0657,model
Reference,14844.934821,3.10492,0.06781,model
Reference,14364.653756,3.10501,0.07,model
Reference,13899.911317,3.1051,0.07226,model
Reference,13450.204781,3.1052,0.07459,model
Reference,13015.047688,3.1053,0.077,model
Reference,12593.969317,3.10539,0.07949,model
Reference,12186.514177,3.1055,0.08206,model
Reference,11792.241512,3.1056,0.08472,model
Reference,11410.724827,3.10571,0.08746,model
Reference,11041.551426,3.10582,0.09029,model
Reference,10684.321964,3.10593,0.09322,model
Reference,10338.650016,3.10605,0.09624,model
Reference,10004.16166,3.10616,0.09936,model
Reference,9680.495071,3.10629,0.10259,model
Reference,9367.30013,3.10641,0.10592,model
Reference,9064.238045,3.10654,0.10936,model
Reference,8770.980988,3.10667,0.11291,model
Reference,8487.211733,3.10681,0.11658,model
Reference,8212.62332,3.10695,0.12038,model
Reference,7946.918719,3.10709,0.12429,model
Reference,7689.810511,3.10724,0.12834,model
Reference,7441.020575,3.10739,0.13252,model
Reference,7200.279788,3.10755,0.13684,model
Reference,6967.327735,3.10772,0.1413,model
Reference,6741.912425,3.10788,0.1459,model
Reference,6523.79002,3.10806,0.15066,model
Reference,6312.724572,3.10824,0.15558,model
Reference,6108.487765,3.10842,0.16066,model
Reference,5910.858672,3.10861,0.1659,model
Reference,5719.623511,3.10881,0.17132,model
Reference,5534.575418,3.10902,0.17692,model
Reference,5355.514222,3.10923,0.18271,model
Reference,5182.246228,3.10945,0.18868,model
Reference,5014.584008,3.10968,0.19485,model
Reference,4852.346195,3.10992,0.20123,model
Reference,4695.357294,3.11017,0.20782,model
Reference,4543.447486,3.11043,0.21462,model
Reference,4396.452445,3.1107,0.22165,model
Reference,4254.213164,3.11097,0.22891,model
Reference,4116.575777,3.11126,0.23642,model
Reference,3983.3914,3.11157,0.24417,model
Reference,3854.515963,3.11188,0.25218,model
Reference,3729.810058,3.11221,0.26045,model
Reference,3609.138787,3.11255,0.26899,model
Reference,3492.371617,3.11291,0.27782,model
Reference,3379.382239,3.11329,0.28695,model
Reference,3270.048427,3.11368,0.29637,model
Reference,3164.251914,3.11409,0.3061,model
Reference,3061.878256,3.11452,0.31616,model
Reference,2962.816713,3.11497,0.32655,model
Reference,2866.960127,3.11544,0.33729,model
Reference,2774.204808,3.11593,0.34838,model
Reference,2684.45042,3.11645,0.35984,model
Reference,2597.599873,3.117,0.37167,model
Reference,2513.559219,3.11757,0.3839,model
Reference,2432.237548,3.11817,0.39654,model
Reference,2353.546894,3.1188,0.40959,model
Reference,2277.402133,3.11947,0.42308,model
Reference,2203.720899,3.12017,0.43701,model
Reference,2132.423487,3.1209,0.4514,model
Reference,2063.432775,3.12168,0.46627,model
Reference,1996.674133,3.1225,0.48163,model
Reference,1932.075346,3.12336,0.4975,model
Reference,1869.566537,3.12428,0.5139,model
Reference,1809.080087,3.12524,0.53084,model
Reference,1750.550566,3.12625,0.54834,model
Reference,1693.914663,3.12733,0.56642,model
Reference,1639.111112,3.12846,0.5851,model
Reference,1586.080632,3.12966,0.6044,model
Reference,1534.765856,3.13093,0.62434,model
Reference,1485.111278,3.13228,0.64493,model
Reference,1437.063184,3.1337,0.66621,model
Reference,1390.569599,3.1352,0.68819,model
Reference,1345.58023,3.1368,0.7109,model
Reference,1302.046411,3.13849,0.73436,model
Reference,1259.92105,3.14028,0.75859,model
Reference,1219.158579,3.14218,0.78362,model
Reference,1179.714904,3.14419,0.80948,model
Reference,1141.547358,3.14633,0.8362,model
Reference,1104.614654,3.14859,0.8638,model
Reference,1068.876842,3.151,0.8923,model
Reference,1034.295261,3.15355,0.92175,model
Reference,1000.832505,3.15627,0.95217,model
Reference,968.452376,3.15915,0.98359,model
Reference,937.119848,3.16221,1.01604,model
Reference,906.801027,3.16546,1.04956,model
Reference,877.463117,3.16892,1.08418,model
Reference,849.074382,3.17259,1.11994,model
Reference,821.604113,3.1765,1.15688,model
Reference,795.022596,3.18065,1.19502,model
Reference,769.301075,3.18507,1.23441,model
Reference,744.411727,3.18977,1.2751,model
Reference,720.32763,3.19476,1.31711,model
Reference,697.02273,3.20008,1.36049,model
Reference,674.471818,3.20574,1.40529,model
Reference,652.6505,3.21176,1.45155,model
Reference,631.535171,3.21817,1.49931,model
Reference,611.102991,3.22499,1.54863,model
Reference,591.331857,3.23226,1.59954,model
Reference,572.200382,3.23999,1.65209,model
Reference,553.687872,3.24822,1.70635,model
Reference,535.774301,3.25698,1.76235,model
Reference,518.44029,3.26632,1.82015,model
Reference,501.667091,3.27626,1.87981,model
Reference,485.436558,3.28684,1.94137,model
Reference,469.731134,3.29811,2.0049,model
Reference,454.533831,3.31012,2.07045,model
Reference,439.82821,3.3229,2.13808,model
Reference,425.598362,3.33652,2.20784,model
Reference,411.828896,3.35102,2.2798,model
Reference,398.504915,3.36646,2.35401,model
Reference,385.612008,3.38291,2.43055,model
Reference,373.136228,3.40043,2.50946,model
Reference,361.064079,3.41909,2.59081,model
Reference,349.382502,3.43895,2.67466,model
Reference,338.078862,3.46011,2.76108,model
Reference,327.140931,3.48263,2.85013,model
Reference,316.556877,3.50661,2.94187,model
Reference,306.315251,3.53215,3.03636,model
Reference,296.404974,3.55933,3.13367,model
Reference,286.815326,3.58825,3.23385,model
Reference,277.535934,3.61904,3.33697,model
Reference,268.55676,3.65181,3.44307,model
Reference,259.868091,3.68667,3.55223,model
Reference,251.460528,3.72375,3.66449,model
Reference,243.324976,3.7632,3.7799,model
Reference,235.452636,3.80515,3.89851,model
Reference,227.834991,3.84975,4.02036,model
Reference,220.463801,3.89716,4.1455,model
Reference,213.331093,3.94754,4.27396,model
Reference,206.429151,4.00107,4.40576,model
Reference,199.750508,4.05793,4.54094,model
Reference,193.287941,4.1183,4.6795,model
Reference,187.034459,4.18239,4.82146,model
Reference,180.983296,4.25041,4.96682,model
Reference,175.127909,4.32255,5.11556,model
Reference,169.461961,4.39905,5.26766,model
Reference,163.979325,4.48013,5.42309,model
Reference,158.67407,4.56604,5.5818,model
Reference,153.540457,4.65701,5.74374,model
Reference,148.572933,4.7533,5.90882,model
Reference,143.766124,4.85516,6.07697,model
Reference,139.114831,4.96286,6.24806,model
Reference,134.614021,5.07666,6.42197,model
Reference,130.258828,5.19683,6.59856,model
Reference,126.044539,5.32364,6.77764,model
Reference,121.966595,5.45738,6.95904,model
Reference,118.020586,5.5983,7.14253,model
Reference,114.202243,5.74668,7.32787,model
Reference,110.507436,5.90278,7.51479,model
Reference,106.932167,6.06686,7.70301,model
Reference,103.47257,6.23917,7.8922,model
Reference,100.124902,6.41995,8.082,model
Reference,96.885541,6.60942,8.27205,model
Reference,93.750985,6.80779,8.46193,model
Reference,90.717841,7.01523,8.65121,model
Reference,87.782829,7.23192,8.83943,model
Reference,84.942774,7.45799,9.02609,model
Reference,82.194604,7.69354,9.21069,model
Reference,79.535346,7.93865,9.39267,model
Reference,76.962123,8.19334,9.57149,model
Reference,74.472153,8.45761,9.74655,model
Reference,72.062741,8.73141,9.91727,model
Reference,69.731281,9.01465,10.08303,model
Reference,67.475251,9.30718,10.24321,model
Reference,65.292211,9.6088,10.3972,model
Reference,63.179799,9.91926,10.54436,model
Reference,61.135731,10.23827,10.68409,model
Reference,59.157795,10.56545,10.81578,model
Reference,57.243851,10.90041,10.93885,model
Reference,55.39183,11.24268,11.05272,model
Reference,53.599727,11.59173,11.15686,model
Reference,51.865605,11.94699,11.25077,model
Reference,50.187587,12.30785,11.33399,model
Reference,48.563858,12.67364,11.4061,model
Reference,46.992662,13.04367,11.46674,model
Reference,45.472299,13.4172,11.5156,model
Reference,44.001125,13.79346,11.55242,model
Reference,42.577548,14.17166,11.57703,model
Reference,41.200028,14.551,11.58928,model
Reference,39.867076,14.93067,11.58913,model
Reference,38.577249,15.30984,11.57659,model
Reference,37.329151,15.68771,11.55172,model
Reference,36.121434,16.06348,11.51469,model
Reference,34.95279,16.43636,11.46568,model
Reference,33.821956,16.80559,11.40496,model
Reference,32.727708,17.17045,11.33288,model
Reference,31.668862,17.53024,11.24979,model
Reference,30.644273,17.88432,11.15614,model
Reference,29.652833,18.23208,11.05239,model
Reference,28.693469,18.57296,10.93906,model
Reference,27.765143,18.90645,10.81669,model
Reference,26.866852,19.23212,10.68586,model
Reference,25.997624,19.54955,10.54716,model
Reference,25.156518,19.8584,10.40119,model
Reference,24.342624,20.15839,10.24858,model
Reference,23.555062,20.44928,10.08995,model
Reference,22.792981,20.73088,9.92592,model
Reference,22.055555,21.00308,9.75712,model
Reference,21.341987,21.26577,9.58413,model
Reference,20.651506,21.51894,9.40757,model
Reference,19.983364,21.76257,9.22801,model
Reference,19.336838,21.99671,9.046,model
Reference,18.71123,22.22145,8.86207,model
Reference,18.105862,22.4369,8.67675,model
Reference,17.520079,22.6432,8.49051,model
Reference,16.953249,22.84052,8.3038,model
Reference,16.404757,23.02904,8.11706,model
Reference,15.874011,23.20899,7.93069,model
Reference,15.360436,23.38059,7.74506,model
Reference,14.863476,23.54408,7.56051,model
Reference,14.382595,23.69971,7.37735,model
Reference,13.917273,23.84774,7.19589,model
Reference,13.467004,23.98844,7.01636,model
Reference,13.031304,24.12208,6.83902,model
Reference,12.609699,24.24893,6.66407,model
Reference,12.201735,24.36927,6.4917,model
Reference,11.80697,24.48337,6.32208,model
Reference,11.424977,24.59149,6.15534,model
Reference,11.055343,24.69391,5.99162,model
Reference,10.697667,24.79088,5.83101,model
Reference,10.351563,24.88266,5.67361,model
Reference,10.016657,24.96951,5.51948,model
Reference,9.692586,25.05165,5.36869,model
Reference,9.379,25.12934,5.22128,model
Reference,9.075559,25.20279,5.07728,model
Reference,8.781936,25.27223,4.9367,model
Reference,8.497812,25.33787,4.79956,model
Reference,8.222881,25.39991,4.66586,model
Reference,7.956845,25.45855,4.53559,model
Reference,7.699415,25.51398,4.40872,model
Reference,7.450315,25.56637,4.28524,model
Reference,7.209273,25.61591,4.16512,model
Reference,6.97603,25.66274,4.04833,model
Reference,6.750333,25.70703,3.93481,model
Reference,6.531938,25.74893,3.82453,model
Reference,6.320609,25.78857,3.71744,model
Reference,6.116117,25.8261,3.6135,model
Reference,5.918241,25.86164,3.51264,model
Reference,5.726767,25.8953,3.41481,model
Reference,5.541488,25.92721,3.31996,model
Reference,5.362203,25.95747,3.22802,model
Reference,5.188719,25.98619,3.13894,model
Reference,5.020847,26.01346,3.05266,model
Reference,4.858407,26.03938,2.96911,model
Reference,4.701222,26.06403,2.88823,model
Reference,4.549122,26.08749,2.80997,model
Reference,4.401944,26.10984,2.73426,model
Reference,4.259527,26.13115,2.66104,model
Reference,4.121717,26.15149,2.59026,model
Reference,3.988367,26.17094,2.52184,model
Reference,3.85933,26.18954,2.45573,model
Reference,3.734469,26.20736,2.39188,model
Reference,3.613647,26.22445,2.33021,model
Reference,3.496734,26.24086,2.27069,model
Reference,3.383603,26.25664,2.21325,model
Reference,3.274133,26.27184,2.15784,model
Reference,3.168204,26.28649,2.1044,model
Reference,3.065703,26.30065,2.05287,model
Reference,2.966517,26.31434,2.00322,model
Reference,2.870541,26.32761,1.95539,model
Reference,2.77767,26.34048,1.90933,model
Reference,2.687803,26.35299,1.86498,model
Reference,2.600844,26.36517,1.82231,model
Reference,2.516699,26.37705,1.78128,model
Reference,2.435275,26.38865,1.74182,model
Reference,2.356487,26.4,1.70391,model
Reference,2.280247,26.41113,1.66749,model
Reference,2.206473,26.42204,1.63254,model
Reference,2.135087,26.43278,1.599,model
Reference,2.06601,26.44335,1.56684,model
Reference,1.999168,26.45378,1.53603,model
Reference,1.934489,26.46407,1.50652,model
Reference,1.871902,26.47426,1.47828,model
Reference,1.81134,26.48436,1.45128,model
Reference,1.752737,26.49437,1.42548,model
Reference,1.69603,26.50432,1.40086,model
Reference,1.641158,26.51422,1.37737,model
Reference,1.588062,26.52408,1.355,model
Reference,1.536683,26.53391,1.33371,model
Reference,1.486966,26.54373,1.31347,model
Reference,1.438858,26.55354,1.29425,model
Reference,1.392306,26.56336,1.27604,model
Reference,1.347261,26.5732,1.2588,model
Reference,1.303673,26.58306,1.24251,model
Reference,1.261495,26.59296,1.22715,model
Reference,1.220681,26.60291,1.2127,model
Reference,1.181188,26.6129,1.19912,model
Reference,1.142973,26.62296,1.1864,model
Reference,1.105994,26.63308,1.17453,model
Reference,1.070212,26.64328,1.16347,model
Reference,1.035587,26.65356,1.15322,model
Reference,1.002083,26.66393,1.14375,model
Reference,0.969662,26.6744,1.13504,model
Reference,0.93829,26.68497,1.12708,model
Reference,0.907934,26.69565,1.11986,model
Reference,0.878559,26.70644,1.11335,model
Reference,0.850135,26.71736,1.10754,model
Reference,0.82263,26.7284,1.10242,model
Reference,0.796016,26.73957,1.09798,model
Reference,0.770262,26.75088,1.09419,model
Reference,0.745342,26.76233,1.09105,model
Reference,0.721227,26.77393,1.08855,model
Reference,0.697893,26.78568,1.08667,model
Reference,0.675314,26.79759,1.0854,model
Reference,0.653466,26.80967,1.08474,model
Reference,0.632324,26.82191,1.08467,model
Reference,0.611866,26.83432,1.08517,model
Reference,0.59207,26.84692,1.08626,model
Reference,0.572915,26.85969,1.08791,model
Reference,0.554379,26.87265,1.09011,model
Reference,0.536443,26.8858,1.09286,model
Reference,0.519088,26.89915,1.09615,model
Reference,0.502294,26.9127,1.09998,model
Reference,0.486043,26.92646,1.10434,model
Reference,0.470318,26.94042,1.10921,model
Reference,0.455102,26.95461,1.1146,model
Reference,0.440378,26.96901,1.1205,model
Reference,0.42613,26.98363,1.12691,model
Reference,0.412343,26.99848,1.13381,model
Reference,0.399003,27.01357,1.14121,model
Reference,0.386094,27.02889,1.1491,model
Reference,0.373602,27.04446,1.15748,model
Reference,0.361515,27.06027,1.16635,model
Reference,0.349819,27.07634,1.17569,model
Reference,0.338501,27.09267,1.18551,model
Reference,0.32755,27.10925,1.19581,model
Reference,0.316952,27.1261,1.20658,model
Reference,0.306698,27.14323,1.21782,model
Reference,0.296775,27.16063,1.22954,model
Reference,0.287174,27.17831,1.24172,model
Reference,0.277883,27.19628,1.25437,model
Reference,0.268892,27.21455,1.26748,model
Reference,0.260193,27.23311,1.28106,model
Reference,0.251775,27.25197,1.29511,model
Reference,0.243629,27.27114,1.30962,model
Reference,0.235747,27.29062,1.3246,model
Reference,0.22812,27.31042,1.34004,model
Reference,0.220739,27.33055,1.35595,model
Reference,0.213598,27.35101,1.37233,model
Reference,0.206687,27.3718,1.38918,model
Reference,0.2,27.39293,1.4065,model
Reference,100000.0,3.14974,-0.06,synthetic point
Reference,69644.293763,3.15855,0.05373,synthetic point
Reference,46934.040592,3.27319,-0.07874,synthetic point
Reference,31629.356079,3.15015,0.02659,synthetic point
Reference,22028.041663,3.08578,0.08069,synthetic point
Reference,14844.934821,3.27966,0.16655,synthetic point
Reference,10004.16166,3.04935,0.08626,synthetic point
Reference,6741.912425,3.19289,0.21811,synthetic point
Reference,4695.357294,3.01268,0.05435,synthetic point
Reference,3164.251914,3.10215,0.33032,synthetic point
Reference,2132.423487,3.02298,0.61179,synthetic point
Reference,1437.063184,3.15431,0.52179,synthetic point
Reference,1000.832505,3.11946,0.91516,synthetic point
Reference,674.471818,3.31676,1.4558,synthetic point
Reference,454.533831,3.21711,2.31543,synthetic point
Reference,306.315251,3.45106,2.99083,synthetic point
Reference,213.331093,3.80856,4.15665,synthetic point
Reference,143.766124,4.86905,6.06129,synthetic point
Reference,96.885541,6.44574,8.18438,synthetic point
Reference,67.475251,9.52242,10.2421,synthetic point
Reference,45.472299,13.28484,11.33543,synthetic point
Reference,30.644273,17.74133,11.13178,synthetic point
Reference,20.651506,21.49644,9.46348,synthetic point
Reference,14.382595,23.61276,7.39401,synthetic point
Reference,9.692586,24.92175,5.51769,synthetic point
Reference,6.531938,25.90008,3.9707,synthetic point
Reference,4.401944,26.18478,2.71028,synthetic point
Reference,3.065703,26.34037,2.08833,synthetic point
Reference,2.06601,26.54837,1.7421,synthetic point
Reference,1.392306,26.57428,1.29331,synthetic point
Reference,0.93829,26.56869,1.12453,synthetic point
Reference,0.653466,26.84223,1.40999,synthetic point
Reference,0.440378,26.84931,1.2543,synthetic point
Reference,0.296775,27.04859,1.08519,synthetic point
Reference,0.2,27.27408,1.48081,synthetic point
Formulation B,100000.0,3.10152,0.01088,model
Formulation B,96764.680538,3.10154,0.01121,model
Formulation B,93634.033996,3.10157,0.01156,model
Formulation B,90604.67387,3.1016,0.01192,model
Formulation B,87673.323223,3.10162,0.0123,model
Formulation B,84836.811133,3.10165,0.01268,model
Formulation B,82092.069272,3.10168,0.01308,model
Formulation B,79436.128577,3.10171,0.01348,model
Formulation B,76866.116049,3.10174,0.01391,model
Formulation B,74379.251637,3.10177,0.01434,model
Formulation B,71972.845233,3.1018,0.01479,model
Formulation B,69644.293763,3.10183,0.01526,model
Formulation B,67391.078373,3.10186,0.01574,model
Formulation B,65210.761698,3.10189,0.01623,model
Formulation B,63100.985234,3.10192,0.01674,model
Formulation B,61059.466778,3.10195,0.01727,model
Formulation B,59083.997965,3.10199,0.01781,model
Formulation B,57172.44188,3.10202,0.01838,model
Formulation B,55322.730741,3.10205,0.01896,model
Formulation B,53532.863666,3.10209,0.01956,model
Formulation B,51800.904509,3.10212,0.02018,model
Formulation B,50124.979764,3.10216,0.02082,model
Formulation B,48503.276538,3.1022,0.02148,model
Formulation B,46934.040592,3.10223,0.02216,model
Formulation B,45415.574443,3.10227,0.02286,model
Formulation B,43946.235524,3.10231,0.02359,model
Formulation B,42524.434413,3.10235,0.02434,model
Formulation B,41148.63311,3.10239,0.02511,model
Formulation B,39817.343375,3.10243,0.02591,model
Formulation B,38529.125115,3.10248,0.02674,model
Formulation B,37282.584832,3.10252,0.02759,model
Formulation B,36076.374108,3.10256,0.02847,model
Formulation B,34909.188156,3.10261,0.02938,model
Formulation B,33779.764397,3.10265,0.03032,model
Formulation B,32686.881105,3.1027,0.03129,model
Formulation B,31629.356079,3.10275,0.03229,model
Formulation B,30606.045366,3.10279,0.03333,model
Formulation B,29615.842024,3.10284,0.03439,model
Formulation B,28657.674923,3.10289,0.0355,model
Formulation B,27730.507589,3.10295,0.03664,model
Formulation B,26833.33708,3.103,0.03781,model
Formulation B,25965.192903,3.10305,0.03903,model
Formulation B,25125.135963,3.10311,0.04028,model
Formulation B,24312.25755,3.10316,0.04158,model
Formulation B,23525.678349,3.10322,0.04292,model
Formulation B,22764.547499,3.10328,0.0443,model
Formulation B,22028.041663,3.10334,0.04573,model
Formulation B,21315.364144,3.1034,0.0472,model
Formulation B,20625.74402,3.10346,0.04872,model
Formulation B,19958.435309,3.10353,0.0503,model
Formulation B,19312.716167,3.10359,0.05192,model
Formulation B,18687.888102,3.10366,0.0536,model
Formulation B,18083.275221,3.10373,0.05533,model
Formulation B,17498.223499,3.1038,0.05712,model
Formulation B,16932.100068,3.10387,0.05897,model
Formulation B,16384.292539,3.10394,0.06088,model
Formulation B,15854.208334,3.10402,0.06285,model
Formulation B,15341.274046,3.1041,0.06489,model
Formulation B,14844.934821,3.10418,0.06699,model
Formulation B,14364.653756,3.10426,0.06917,model
Formulation B,13899.911317,3.10434,0.07141,model
Formulation B,13450.204781,3.10443,0.07373,model
Formulation B,13015.047688,3.10452,0.07613,model
Formulation B,12593.969317,3.10461,0.0786,model
Formulation B,12186.514177,3.10471,0.08116,model
Formulation B,11792.241512,3.1048,0.0838,model
Formulation B,11410.724827,3.1049,0.08653,model
Formulation B,11041.551426,3.10501,0.08934,model
Formulation B,10684.321964,3.10511,0.09225,model
Formulation B,10338.650016,3.10522,0.09526,model
Formulation B,10004.16166,3.10533,0.09836,model
Formulation B,9680.495071,3.10545,0.10157,model
Formulation B,9367.30013,3.10557,0.10489,model
Formulation B,9064.238045,3.1057,0.10831,model
Formulation B,8770.980988,3.10582,0.11185,model
Formulation B,8487.211733,3.10596,0.1155,model
Formulation B,8212.62332,3.10609,0.11927,model
Formulation B,7946.918719,3.10624,0.12317,model
Formulation B,7689.810511,3.10639,0.1272,model
Formulation B,7441.020575,3.10654,0.13136,model
Formulation B,7200.279788,3.1067,0.13566,model
Formulation B,6967.327735,3.10686,0.1401,model
Formulation B,6741.912425,3.10704,0.14468,model
Formulation B,6523.79002,3.10721,0.14942,model
Formulation B,6312.724572,3.1074,0.15432,model
Formulation B,6108.487765,3.10759,0.15937,model
Formulation B,5910.858672,3.10779,0.1646,model
Formulation B,5719.623511,3.108,0.17,model
Formulation B,5534.575418,3.10822,0.17557,model
Formulation B,5355.514222,3.10845,0.18133,model
Formulation B,5182.246228,3.10869,0.18728,model
Formulation B,5014.584008,3.10894,0.19343,model
Formulation B,4852.346195,3.1092,0.19978,model
Formulation B,4695.357294,3.10947,0.20635,model
Formulation B,4543.447486,3.10976,0.21312,model
Formulation B,4396.452445,3.11005,0.22013,model
Formulation B,4254.213164,3.11037,0.22736,model
Formulation B,4116.575777,3.11069,0.23484,model
Formulation B,3983.3914,3.11104,0.24256,model
Formulation B,3854.515963,3.1114,0.25054,model
Formulation B,3729.810058,3.11178,0.25878,model
Formulation B,3609.138787,3.11217,0.2673,model
Formulation B,3492.371617,3.11259,0.2761,model
Formulation B,3379.382239,3.11303,0.28519,model
Formulation B,3270.048427,3.11349,0.29458,model
Formulation B,3164.251914,3.11398,0.30428,model
Formulation B,3061.878256,3.11449,0.3143,model
Formulation B,2962.816713,3.11503,0.32466,model
Formulation B,2866.960127,3.1156,0.33535,model
Formulation B,2774.204808,3.1162,0.34641,model
Formulation B,2684.45042,3.11684,0.35783,model
Formulation B,2597.599873,3.11751,0.36962,model
Formulation B,2513.559219,3.11821,0.38181,model
Formulation B,2432.237548,3.11896,0.3944,model
Formulation B,2353.546894,3.11975,0.40741,model
Formulation B,2277.402133,3.12059,0.42085,model
Formulation B,2203.720899,3.12147,0.43473,model
Formulation B,2132.423487,3.1224,0.44907,model
Formulation B,2063.432775,3.12339,0.46389,model
Formulation B,1996.674133,3.12444,0.47919,model
Formulation B,1932.075346,3.12555,0.49501,model
Formulation B,1869.566537,3.12673,0.51134,model
Formulation B,1809.080087,3.12798,0.52822,model
Formulation B,1750.550566,3.1293,0.54565,model
Formulation B,1693.914663,3.1307,0.56366,model
Formulation B,1639.111112,3.13219,0.58226,model
Formulation B,1586.080632,3.13377,0.60148,model
Formulation B,1534.765856,3.13544,0.62133,model
Formulation B,1485.111278,3.13722,0.64184,model
Formulation B,1437.063184,3.13911,0.66302,model
Formulation B,1390.569599,3.14112,0.6849,model
Formulation B,1345.58023,3.14325,0.7075,model
Formulation B,1302.046411,3.14551,0.73084,model
Formulation B,1259.92105,3.14792,0.75495,model
Formulation B,1219.158579,3.15048,0.77986,model
Formulation B,1179.714904,3.1532,0.80558,model
Formulation B,1141.547358,3.1561,0.83214,model
Formulation B,1104.614654,3.15917,0.85957,model
Formulation B,1068.876842,3.16245,0.8879,model
Formulation B,1034.295261,3.16593,0.91716,model
Formulation B,1000.832505,3.16964,0.94737,model
Formulation B,968.452376,3.17358,0.97857,model
Formulation B,937.119848,3.17777,1.01078,model
Formulation B,906.801027,3.18224,1.04404,model
Formulation B,877.463117,3.18699,1.07838,model
Formulation B,849.074382,3.19206,1.11384,model
Formulation B,821.604113,3.19744,1.15044,model
Formulation B,795.022596,3.20318,1.18822,model
Formulation B,769.301075,3.20929,1.22722,model
Formulation B,744.411727,3.21579,1.26747,model
Formulation B,720.32763,3.22272,1.30901,model
Formulation B,697.02273,3.2301,1.35188,model
Formulation B,674.471818,3.23795,1.39612,model
Formulation B,652.6505,3.24632,1.44177,model
Formulation B,631.535171,3.25523,1.48886,model
Formulation B,611.102991,3.26472,1.53744,model
Formulation B,591.331857,3.27483,1.58755,model
Formulation B,572.200382,3.28559,1.63923,model
Formulation B,553.687872,3.29706,1.69252,model
Formulation B,535.774301,3.30927,1.74747,model
Formulation B,518.44029,3.32227,1.80412,model
Formulation B,501.667091,3.33612,1.86252,model
Formulation B,485.436558,3.35086,1.92269,model
Formulation B,469.731134,3.36656,1.9847,model
Formulation B,454.533831,3.38328,2.04858,model
Formulation B,439.82821,3.40108,2.11438,model
Formulation B,425.598362,3.42002,2.18214,model
Formulation B,411.828896,3.44019,2.2519,model
Formulation B,398.504915,3.46165,2.3237,model
Formulation B,385.612008,3.48449,2.39758,model
Formulation B,373.136228,3.50879,2.47358,model
Formulation B,361.064079,3.53464,2.55175,model
Formulation B,349.382502,3.56213,2.63211,model
Formulation B,338.078862,3.59137,2.71469,model
Formulation B,327.140931,3.62246,2.79953,model
Formulation B,316.556877,3.65551,2.88666,model
Formulation B,306.315251,3.69063,2.9761,model
Formulation B,296.404974,3.72794,3.06787,model
Formulation B,286.815326,3.76757,3.16198,model
Formulation B,277.535934,3.80966,3.25845,model
Formulation B,268.55676,3.85433,3.35729,model
Formulation B,259.868091,3.90173,3.45848,model
Formulation B,251.460528,3.95202,3.56203,model
Formulation B,243.324976,4.00534,3.66791,model
Formulation B,235.452636,4.06186,3.77611,model
Formulation B,227.834991,4.12173,3.8866,model
Formulation B,220.463801,4.18514,3.99932,model
Formulation B,213.331093,4.25225,4.11424,model
Formulation B,206.429151,4.32324,4.23127,model
Formulation B,199.750508,4.3983,4.35036,model
