cycle,electrolyte_A_mAh_g,electrolyte_B_mAh_g
133.0,148.11559225512534,138.88262875309854
134.0,148.14244541753962,138.68696225273402
135.0,148.1984688592657,138.4810085854963
136.0,148.26880892282136,138.27198764490325
137.0,148.33667949050528,138.06737796077277
138.0,148.38563383253393,137.8742921012439
139.0,148.401790521669,137.698882638053
140.0,148.37571214721527,137.5458282842228
141.0,148.3036825532503,137.417943117942
142.0,148.18820973286716,137.31594152720933
143.0,148.03768631404014,137.23837850522582
144.0,147.8652535887449,137.1817702825837
145.0,147.6870228336477,137.14088522196832
146.0,147.51989465825187,137.1091806820861
147.0,147.37927152148524,137.07934936731206
148.0,147.27697301686524,137.04392953615297
149.0,147.21963608260032,136.99592810862882
150.0,147.20781666067387,136.92940463545838
151.0,147.23591439112576,136.83996736045256
152.0,147.29293053379456,136.72513994881564
153.0,147.36395653635682,136.58456825503274
154.0,147.43219177794867,136.42004986267904
155.0,147.48121739622593,136.2353839291996
156.0,147.4972184460239,136.0360538754468
157.0,147.47085363085571,135.82876941927105
158.0,147.398519547851,135.62090619895707
159.0,147.28283833650116,135.4198897847988
160.0,147.13230273023063,135.23257552137974
161.0,146.96012655138765,135.06467599131088
162.0,146.78245622975385,134.92028391420553
163.0,146.61618540714167,134.8015303246581
164.0,146.4766684110846,134.70840657554047
165.0,146.37564206821943,134.63876503150996
166.0,146.31963713015898,134.5884983948001
167.0,146.3090943179023,134.55188268738394
168.0,146.33830462401286,134.52205524628604
169.0,146.3961819523769,134.49158781356957
170.0,146.4677635223638,134.4531068609542
171.0,146.53623496471565,134.39990934434994
172.0,146.5852060219276,134.3265224652514
173.0,146.60092884773923,134.2291606920496
174.0,146.5741586692979,134.10604187437323
175.0,146.50140498008986,133.95753605103158
176.0,146.38540392053724,133.78613452426214
177.0,146.23474791175346,133.59624178295422
178.0,146.0627226697829,133.3938076517985
179.0,145.88550900498274,133.18583038640523
180.0,145.71999278455644,132.9797722120273
181.0,145.58147946952806,132.78293611555503
182.0,145.4816225528476,132.60185593627605
183.0,145.42684627480435,132.44175069028537
184.0,145.4174760938089,132.3060886991325
185.0,145.44769459923708,132.19629792329496
186.0,145.50632883331795,132.11164669117437
187.0,145.57836246173306,132.04930478419556
188.0,145.6469681277245,132.00457977664956
189.0,145.69578492010837,131.97130889299967
190.0,145.71113271057612,131.94237365775936
191.0,145.68386366010964,131.9102943583664
192.0,145.61060030179644,131.86785467611458
193.0,145.49419263133677,131.80870432080235
194.0,145.34333234017905,131.72788934171763
195.0,145.17137640301408,131.62226582748852
196.0,144.994539241533,131.49076244578956
197.0,144.82969814659882,131.3344698976154
198.0,144.69210898463706,131.15654981558862
199.0,144.59334135666475,130.96197071440258
200.0,144.53971267648873,130.75709304476675
201.0,144.53143310823756,130.54913800392592
202.0,144.56257709191516,130.34558446357653
203.0,144.62188531085133,130.15354437908084
204.0,144.6942885585126,129.97916884095415
205.0,144.76294725644246,129.8271343705964
206.0,144.81153058414003,129.70025236086184
207.0,144.8264267513342,129.5992342779573
208.0,144.79858526266423,129.522632233183
209.0,144.72474183287932,129.4669598874974
210.0,144.60786016602498,129.4269835918896
211.0,144.45673080587179,129.39615944976785
212.0,144.28478135129222,129.3671798012958
213.0,144.10825906834867,129.33258349153687
214.0,143.9440318740151,129.2853789575363
215.0,143.80730531806452,129.21962809893384
216.0,143.70956455890868,129.1309421717545
217.0,143.65701987730034,129.0168482921672
218.0,143.64976612032183,128.87699594265501
219.0,143.6817698409667,128.71318623479743
220.0,143.74168587390866,128.5292214848605
221.0,143.81439282775187,128.33058766447158
222.0,143.88303967208665,128.1239962456335
223.0,143.93132642338796,127.9168237016275
224.0,143.94571024961542,127.7164954723415
225.0,143.91723840760247,127.52986584046134
226.0,143.84275993375252,127.362645506455
227.0,143.72535209138715,127.21892466684744
228.0,143.5739038570938,127.10083142458785
229.0,143.40191281923745,127.00835405842535
230.0,143.2256583227752,126.9393419939734
231.0,143.06199811664783,126.88968539536438
232.0,142.92608671718492,126.85365837938853
233.0,142.82932429632754,126.82439718952871
234.0,142.77781370302282,126.79447339650035
235.0,142.77153445270105,126.75651425602625
236.0,142.80434548148244,126.70381841637129
237.0,142.8648162923389,126.63091555651292
238.0,142.93777400147496,126.53402321830261
239.0,143.00635689945324,126.41136268153457
240.0,143.05429658719592,126.26330750248135
241.0,143.0681198104582,126.09235231110692
242.0,143.03897198480163,125.90290447276973
243.0,142.96381560551538,125.7009160132124
244.0,142.84584134331945,125.49338654560854
245.0,142.69403618597266,125.28777871134344
246.0,142.52196707578935,125.09139495238225
247.0,142.34594467201694,124.91076766236424
248.0,142.18281576422018,124.75111364627442
249.0,142.04768312315986,124.61589844799019
250.0,141.95186139665114,124.50654692968753
251.0,141.90134571030347,124.42232427326879
252.0,141.8960002408456,124.36039734164889
253.0,141.92957658482658,124.31607127547878
254.0,141.99055943657154,124.28318156657966
255.0,142.06372511684646,124.25460886515151
256.0,142.1322020126847,124.22287352804712
257.0,142.17975405750855,124.18076025604506
258.0,142.19297819322048,124.12192065525743
259.0,142.16311839807636,124.0414034014116
260.0,142.08725076017524,123.93606773179287
261.0,141.96867920242534,123.80484573320464
262.0,141.81648829946656,123.64883152168618
263.0,141.64431371067775,123.47118986638843
264.0,141.4684966453917,123.27689188863133
265.0,141.30587214478913,123.07229990850736
266.0,141.17149052614104,122.8646361094235
267.0,141.07658038122793,122.66137939359929
268.0,141.0270288275426,122.46964079847311
269.0,141.02258470314388,122.29556963439606
270.0,141.05689254899764,122.14383993838854
271.0,141.1183527794522,122.01726013135992
272.0,141.19169162080772,121.91653847719353
273.0,141.26002833415643,121.84022393073471
274.0,141.3071599335778,121.78482731459833
275.0,141.31975417379735,121.74511270504654
276.0,141.2891539967149,121.7145346926458
277.0,141.21254921342725,121.68578500108086
278.0,141.09335684007837,121.65140281475803
279.0,140.94075861086225,121.6043978453659
280.0,140.76845826362103,121.53883410370237
281.0,140.59282679360186,121.450325624669
282.0,140.4306867065725,121.33640274632208
283.0,140.29703516224103,121.19671835419219
284.0,140.20301416983366,121.0330768669441
285.0,140.15440256033617,120.84928354271854
286.0,140.1508338398784,120.65082669092067
287.0,140.1858457841368,120.44441932866296
288.0,140.24775506138192,120.23743855916247
289.0,140.32123850804373,120.03730949086231
290.0,140.38940703856295,119.85088514757642
291.0,140.43609149555726,119.68387415475463
292.0,140.44803106120455,119.54036399707473
293.0,140.41666803862668,119.42247966119075
294.0,140.33930608803183,119.33020617114882
295.0,140.21947515578523,119.26138983693615
296.0,140.06645370496898,119.21191811189283
297.0,139.89401291128198,119.17606303868921
298.0,139.71855279147178,119.1469596019216
299.0,139.55688253057002,119.1171790390248
300.0,139.42394543022536,119.07934923101658
