x_um,y_um,LiF2_minus_relative_signal,C2HO_minus_relative_signal
45.6376,0.0,0.15071,0.1627
46.3087,0.0,0.04526,0.21382
46.9799,0.0,0.15461,0.14627
47.651,0.0,0.08457,0.1791
48.3221,0.0,0.07806,0.17746
48.9933,0.0,0.08205,0.17086
49.6644,0.0,0.05561,0.18209
50.3356,0.0,0.14015,0.13263
51.0067,0.0,0.08971,0.1591
51.6779,0.0,0.02042,0.19697
52.349,0.0,0.06514,0.17242
53.0201,0.0,0.06747,0.17227
53.6913,0.0,0.12907,0.13997
54.3624,0.0,0.04131,0.19133
55.0336,0.0,0.09238,0.16616
55.7047,0.0,0.15481,0.13516
56.3758,0.0,0.16661,0.13264
57.047,0.0,0.13506,0.1544
57.7181,0.0,0.16229,0.14362
58.3893,0.0,0.11843,0.17228
59.0604,0.0,0.24074,0.10847
59.7315,0.0,0.17114,0.15094
60.4027,0.0,0.14925,0.1665
61.0738,0.0,0.17667,0.15415
61.745,0.0,0.17434,0.15769
62.4161,0.0,0.13634,0.18034
63.0872,0.0,0.20297,0.14412
63.7584,0.0,0.1635,0.16601
64.4295,0.0,0.27938,0.10077
65.1007,0.0,0.28892,0.09376
65.7718,0.0,0.26291,0.10565
66.443,0.0,0.20894,0.13226
67.1141,0.0,0.28123,0.088
67.7852,0.0,0.27448,0.08695
68.4564,0.0,0.21108,0.11675
69.1275,0.0,0.18399,0.12589
69.7987,0.0,0.18718,0.11781
70.4698,0.0,0.16852,0.12159
71.1409,0.0,0.1581,0.12065
71.8121,0.0,0.13873,0.12465
72.4832,0.0,0.18188,0.09403
73.1544,0.0,0.12739,0.11789
73.8255,0.0,0.14089,0.10435
74.4966,0.0,0.1513,0.093
75.1678,0.0,0.07182,0.13217
75.8389,0.0,0.15025,0.08432
76.5101,0.0,0.11925,0.09802
77.1812,0.0,0.05293,0.13216
77.8523,0.0,0.10566,0.10106
78.5235,0.0,0.04866,0.13181
79.1946,0.0,0.06594,0.12222
79.8658,0.0,0.05634,0.12846
80.5369,0.0,0.03331,0.14304
81.2081,0.0,0.08411,0.11744
81.8792,0.0,0.06176,0.13322
82.5503,0.0,0.08416,0.12483
83.2215,0.0,0.04892,0.14903
83.8926,0.0,0.17949,0.08161
84.5638,0.0,0.17677,0.08857
85.2349,0.0,0.14752,0.11048
85.906,0.0,0.09117,0.14754
86.5772,0.0,0.17226,0.10823
87.2483,0.0,0.19433,0.10151
87.9195,0.0,0.16048,0.12554
88.5906,0.0,0.23298,0.09009
89.2617,0.0,0.27043,0.07357
89.9329,0.0,0.23759,0.09544
90.604,0.0,0.18523,0.12742
91.2752,0.0,0.2641,0.08572
91.9463,0.0,0.18033,0.1335
92.6174,0.0,0.20329,0.12112
93.2886,0.0,0.25152,0.0938
93.9597,0.0,0.25747,0.08907
94.6309,0.0,0.24994,0.09095
95.302,0.0,0.29083,0.06511
95.9732,0.0,0.20733,0.10758
96.6443,0.0,0.16626,0.1258
97.3154,0.0,0.22819,0.08621
97.9866,0.0,0.20158,0.09531
98.6577,0.0,0.25159,0.06148
99.3289,0.0,0.15486,0.10889
100.0,0.0,0.12097,0.1213
0.0,0.6711,0.12586,0.16545
0.6711,0.6711,0.1672,0.15107
1.3423,0.6711,0.14914,0.1695
2.0134,0.6711,0.18445,0.15799
2.6846,0.6711,0.24428,0.13243
3.3557,0.6711,0.20908,0.1591
4.0268,0.6711,0.20044,0.17037
4.698,0.6711,0.23739,0.1556
5.3691,0.6711,0.24784,0.15474
6.0403,0.6711,0.24291,0.16156
6.7114,0.6711,0.16714,0.20685
7.3826,0.6711,0.2063,0.1874
8.0537,0.6711,0.23511,0.17279
8.7248,0.6711,0.21715,0.18329
9.396,0.6711,0.19536,0.19509
10.0671,0.6711,0.24292,0.1676
10.7383,0.6711,0.14391,0.22082
11.4094,0.6711,0.15016,0.21499
12.0805,0.6711,0.22468,0.17074
12.7517,0.6711,0.08793,0.24346
13.4228,0.6711,0.1501,0.20545
14.094,0.6711,0.21257,0.16716
14.7651,0.6711,0.13949,0.20415
15.4362,0.6711,0.15862,0.19008
16.1074,0.6711,0.05316,0.24547
16.7785,0.6711,0.07078,0.23289
17.4497,0.6711,0.16992,0.17555
18.1208,0.6711,0.04165,0.2451
18.7919,0.6711,0.07368,0.2263
19.4631,0.6711,0.01592,0.25813
20.1342,0.6711,0.07385,0.22651
20.8054,0.6711,0.03566,0.24911
21.4765,0.6711,0.03689,0.25067
22.1477,0.6711,0.0,0.27427
22.8188,0.6711,0.0525,0.24896
23.4899,0.6711,0.07719,0.23989
24.1611,0.6711,0.07877,0.24436
24.8322,0.6711,0.11124,0.23227
25.5034,0.6711,0.04067,0.27791
26.1745,0.6711,0.05562,0.27644
26.8456,0.6711,0.12234,0.24649
27.5168,0.6711,0.15089,0.23784
28.1879,0.6711,0.14049,0.25082
28.8591,0.6711,0.17657,0.23781
29.5302,0.6711,0.13781,0.26606
30.2013,0.6711,0.17879,0.24956
30.8725,0.6711,0.2,0.24344
31.5436,0.6711,0.17373,0.26298
32.2148,0.6711,0.19319,0.25627
32.8859,0.6711,0.20896,0.25068
33.557,0.6711,0.22242,0.24534
34.2282,0.6711,0.15661,0.28293
34.8993,0.6711,0.2386,0.2373
35.5705,0.6711,0.24602,0.2319
36.2416,0.6711,0.23895,0.23339
36.9128,0.6711,0.28912,0.20193
37.5839,0.6711,0.19111,0.25165
38.255,0.6711,0.26977,0.20219
38.9262,0.6711,0.16135,0.25566
39.5973,0.6711,0.20295,0.22493
40.2685,0.6711,0.21137,0.21187
40.9396,0.6711,0.1051,0.26187
41.6107,0.6711,0.16698,0.218
42.2819,0.6711,0.16422,0.20968
42.953,0.6711,0.16099,0.20144
43.6242,0.6711,0.13236,0.20728
44.2953,0.6711,0.10999,0.20977
44.9664,0.6711,0.13486,0.1863
45.6376,0.6711,0.13841,0.17511
46.3087,0.6711,0.09682,0.18957
46.9799,0.6711,0.10439,0.17741
47.651,0.6711,0.13258,0.15461
48.3221,0.6711,0.04536,0.19681
48.9933,0.6711,0.01552,0.20811
49.6644,0.6711,0.0597,0.17934
50.3356,0.6711,0.0719,0.16939
51.0067,0.6711,0.12608,0.1372
51.6779,0.6711,0.06007,0.17283
52.349,0.6711,0.08457,0.15922
53.0201,0.6711,0.16474,0.11568
53.6913,0.6711,0.06749,0.17158
54.3624,0.6711,0.11316,0.14892
55.0336,0.6711,0.07662,0.17264
55.7047,0.6711,0.12162,0.15166
56.3758,0.6711,0.15684,0.13658
57.047,0.6711,0.11747,0.16326
57.7181,0.6711,0.16724,0.14061
58.3893,0.6711,0.2122,0.12067
59.0604,0.6711,0.20928,0.12721
59.7315,0.6711,0.1932,0.14082
60.4027,0.6711,0.21199,0.13468
61.0738,0.6711,0.18696,0.15238
61.745,0.6711,0.22646,0.13362
62.4161,0.6711,0.20051,0.15051
63.0872,0.6711,0.21432,0.14453
63.7584,0.6711,0.21354,0.1458
64.4295,0.6711,0.24126,0.13035
65.1007,0.6711,0.23052,0.13535
65.7718,0.6711,0.1817,0.16059
66.443,0.6711,0.18782,0.15443
67.1141,0.6711,0.25442,0.11382
67.7852,0.6711,0.26235,0.10501
68.4564,0.6711,0.17087,0.15069
69.1275,0.6711,0.17648,0.14181
69.7987,0.6711,0.20687,0.11866
70.4698,0.6711,0.20751,0.11163
71.1409,0.6711,0.12419,0.15095
71.8121,0.6711,0.1504,0.1293
72.4832,0.6711,0.12487,0.13637
73.1544,0.6711,0.13237,0.12522
73.8255,0.6711,0.11972,0.12552
74.4966,0.6711,0.11104,0.124
75.1678,0.6711,0.08736,0.13131
75.8389,0.6711,0.07744,0.13159
76.5101,0.6711,0.10937,0.10933
77.1812,0.6711,0.06846,0.1283
77.8523,0.6711,0.04002,0.14118
78.5235,0.6711,0.04067,0.1388
79.1946,0.6711,0.04463,0.13549
79.8658,0.6711,0.13225,0.08663
80.5369,0.6711,0.11745,0.09555
81.2081,0.6711,0.05684,0.13079
81.8792,0.6711,0.08207,0.11916
82.5503,0.6711,0.10163,0.11143
83.2215,0.6711,0.16186,0.08178
83.8926,0.6711,0.07629,0.13366
84.5638,0.6711,0.12787,0.10982
85.2349,0.6711,0.16029,0.09696
85.906,0.6711,0.17376,0.09484
86.5772,0.6711,0.13497,0.12182
87.2483,0.6711,0.23494,0.0717
87.9195,0.6711,0.17532,0.11003
88.5906,0.6711,0.21533,0.09273
89.2617,0.6711,0.21299,0.09854
89.9329,0.6711,0.22079,0.09821
90.604,0.6711,0.18652,0.12063
91.2752,0.6711,0.16478,0.1354
91.9463,0.6711,0.23095,0.1006
92.6174,0.6711,0.17009,0.13556
93.2886,0.6711,0.23267,0.10114
93.9597,0.6711,0.18519,0.12701
94.6309,0.6711,0.1826,0.12712
95.302,0.6711,0.25361,0.08557
95.9732,0.6711,0.20016,0.1124
96.6443,0.6711,0.19163,0.11358
97.3154,0.6711,0.17297,0.11979
97.9866,0.6711,0.15058,0.12755
98.6577,0.6711,0.21362,0.08745
99.3289,0.6711,0.17562,0.10315
100.0,0.6711,0.11697,0.13014
0.0,1.3423,0.15606,0.16143
0.6711,1.3423,0.12132,0.18939
1.3423,1.3423,0.13592,0.18965
2.0134,1.3423,0.17856,0.17391
2.6846,1.3423,0.16193,0.19056
3.3557,1.3423,0.25306,0.14671
4.0268,1.3423,0.19683,0.18398
4.698,1.3423,0.21325,0.18009
5.3691,1.3423,0.22046,0.18044
6.0403,1.3423,0.20817,0.19071
6.7114,1.3423,0.2117,0.19127
7.3826,1.3423,0.20252,0.19795
8.0537,1.3423,0.2657,0.16354
8.7248,1.3423,0.20732,0.19576
9.396,1.3423,0.15631,0.22307
10.0671,1.3423,0.18653,0.20453
10.7383,1.3423,0.18878,0.20087
11.4094,1.3423,0.13845,0.22588
12.0805,1.3423,0.16034,0.21034
12.7517,1.3423,0.17987,0.19582
13.4228,1.3423,0.14331,0.21229
14.094,1.3423,0.16565,0.19601
14.7651,1.3423,0.12945,0.21236
15.4362,1.3423,0.10599,0.22188
16.1074,1.3423,0.03256,0.25953
16.7785,1.3423,0.11797,0.20946
17.4497,1.3423,0.07811,0.22958
18.1208,1.3423,0.06568,0.23518
18.7919,1.3423,0.03777,0.25015
19.4631,1.3423,0.1137,0.20831
20.1342,1.3423,0.07151,0.23298
20.8054,1.3423,0.0,0.28562
21.4765,1.3423,0.0731,0.23732
22.1477,1.3423,0.09442,0.22946
22.8188,1.3423,0.06117,0.25278
23.4899,1.3423,0.0396,0.27042
24.1611,1.3423,0.08924,0.24922
24.8322,1.3423,0.06788,0.26809
25.5034,1.3423,0.08303,0.26718
26.1745,1.3423,0.08739,0.27264
26.8456,1.3423,0.07288,0.28882
27.5168,1.3423,0.1614,0.24786
28.1879,1.3423,0.17128,0.2505
28.8591,1.3423,0.12314,0.28514
29.5302,1.3423,0.12574,0.2912
30.2013,1.3423,0.1588,0.2798
30.8725,1.3423,0.20106,0.26261
31.5436,1.3423,0.14929,0.29681
32.2148,1.3423,0.14309,0.30475
32.8859,1.3423,0.15758,0.30013
33.557,1.3423,0.22182,0.26674
34.2282,1.3423,0.21215,0.27317
34.8993,1.3423,0.16526,0.29901
35.5705,1.3423,0.19053,0.28346
36.2416,1.3423,0.21892,0.26489
36.9128,1.3423,0.20276,0.26979
37.5839,1.3423,0.21092,0.25994
38.255,1.3423,0.1644,0.2793
38.9262,1.3423,0.19383,0.2554
39.5973,1.3423,0.18245,0.25319
40.2685,1.3423,0.22038,0.22275
40.9396,1.3423,0.19335,0.22768
41.6107,1.3423,0.13286,0.25064
42.2819,1.3423,0.18907,0.20841
42.953,1.3423,0.21323,0.18375
43.6242,1.3423,0.13205,0.21755
44.2953,1.3423,0.08523,0.2324
44.9664,1.3423,0.0602,0.23544
45.6376,1.3423,0.09195,0.2074
46.3087,1.3423,0.02054,0.23726
46.9799,1.3423,0.06788,0.20192
47.651,1.3423,0.0829,0.18539
48.3221,1.3423,0.1078,0.16436
48.9933,1.3423,0.04704,0.19196
49.6644,1.3423,0.09335,0.16122
50.3356,1.3423,0.1692,0.11525
51.0067,1.3423,0.07289,0.16607
51.6779,1.3423,0.1097,0.14414
52.349,1.3423,0.0975,0.15059
53.0201,1.3423,0.16465,0.11407
53.6913,1.3423,0.10323,0.14999
54.3624,1.3423,0.15587,0.1235
55.0336,1.3423,0.07219,0.17356
55.7047,1.3423,0.14006,0.14014
56.3758,1.3423,0.09251,0.17141
57.047,1.3423,0.1164,0.16343
57.7181,1.3423,0.14911,0.15083
58.3893,1.3423,0.15589,0.15274
59.0604,1.3423,0.22393,0.12061
59.7315,1.3423,0.18278,0.14892
60.4027,1.3423,0.21139,0.13815
61.0738,1.3423,0.1578,0.17257
61.745,1.3423,0.1832,0.16252
62.4161,1.3423,0.27952,0.11238
63.0872,1.3423,0.19379,0.16255
63.7584,1.3423,0.21027,0.15508
64.4295,1.3423,0.17382,0.17607
65.1007,1.3423,0.21193,0.15469
65.7718,1.3423,0.21523,0.15167
66.443,1.3423,0.24993,0.13024
67.1141,1.3423,0.21925,0.14417
67.7852,1.3423,0.19333,0.15458
68.4564,1.3423,0.24252,0.12244
69.1275,1.3423,0.18181,0.15061
69.7987,1.3423,0.22777,0.11889
70.4698,1.3423,0.23138,0.11017
71.1409,1.3423,0.19587,0.12279
71.8121,1.3423,0.1647,0.13272
72.4832,1.3423,0.11013,0.15552
73.1544,1.3423,0.20938,0.09291
73.8255,1.3423,0.16989,0.10749
74.4966,1.3423,0.07894,0.15094
75.1678,1.3423,0.09916,0.13305
75.8389,1.3423,0.08903,0.13255
76.5101,1.3423,0.04045,0.15403
77.1812,1.3423,0.10083,0.11573
77.8523,1.3423,0.06264,0.13296
78.5235,1.3423,0.09609,0.11126
79.1946,1.3423,0.09969,0.10704
79.8658,1.3423,0.05625,0.12985
80.5369,1.3423,0.09398,0.1085
81.2081,1.3423,0.07898,0.11734
81.8792,1.3423,0.09219,0.11138
82.5503,1.3423,0.124,0.09589
83.2215,1.3423,0.10304,0.11044
83.8926,1.3423,0.11561,0.10703
84.5638,1.3423,0.13535,0.10018
85.2349,1.3423,0.14012,0.10209
85.906,1.3423,0.18484,0.08215
86.5772,1.3423,0.14371,0.11009
87.2483,1.3423,0.15535,0.10881
87.9195,1.3423,0.18619,0.09682
88.5906,1.3423,0.20109,0.09351
89.2617,1.3423,0.2038,0.09671
89.9329,1.3423,0.28367,0.05666
90.604,1.3423,0.20459,0.1044
91.2752,1.3423,0.27814,0.06681
91.9463,1.3423,0.22885,0.0968
92.6174,1.3423,0.22574,0.10044
93.2886,1.3423,0.26876,0.07773
93.9597,1.3423,0.17267,0.13153
94.6309,1.3423,0.15442,0.14133
95.302,1.3423,0.21242,0.10803
95.9732,1.3423,0.17008,0.12974
96.6443,1.3423,0.14683,0.14017
97.3154,1.3423,0.18822,0.11409
97.9866,1.3423,0.14222,0.136
98.6577,1.3423,0.16782,0.11769
99.3289,1.3423,0.21776,0.08551
100.0,1.3423,0.18548,0.09873
0.0,2.0134,0.10481,0.20268
0.6711,2.0134,0.12992,0.19743
1.3423,2.0134,0.1128,0.21523
2.0134,2.0134,0.1506,0.20201
2.6846,2.0134,0.14829,0.21042
3.3557,2.0134,0.18556,0.19612
4.0268,2.0134,0.19793,0.19483
4.698,2.0134,0.13191,0.23621
5.3691,2.0134,0.20608,0.1988
6.0403,2.0134,0.25309,0.17552
6.7114,2.0134,0.19159,0.21154
7.3826,2.0134,0.26711,0.17051
8.0537,2.0134,0.21657,0.19859
8.7248,2.0134,0.13713,0.24184
9.396,2.0134,0.18548,0.21334
10.0671,2.0134,0.18882,0.20912
10.7383,2.0134,0.11543,0.24692
11.4094,2.0134,0.14416,0.22752
12.0805,2.0134,0.08807,0.25487
12.7517,2.0134,0.14464,0.21943
13.4228,2.0134,0.13957,0.21815
14.094,2.0134,0.03109,0.27436
14.7651,2.0134,0.12655,0.21751
15.4362,2.0134,0.029,0.26821
16.1074,2.0134,0.11327,0.2184
16.7785,2.0134,0.03006,0.26223
17.4497,2.0134,0.13768,0.20076
18.1208,2.0134,0.04485,0.25145
18.7919,2.0134,0.07668,0.23378
19.4631,2.0134,0.05123,0.24886
20.1342,2.0134,0.0,0.2887
20.8054,2.0134,0.06495,0.2461
21.4765,2.0134,0.06064,0.25241
22.1477,2.0134,0.03877,0.26944
22.8188,2.0134,0.08458,0.24978
23.4899,2.0134,0.06354,0.26809
24.1611,2.0134,0.10682,0.25142
24.8322,2.0134,0.0144,0.31074
25.5034,2.0134,0.06619,0.29048
26.1745,2.0134,0.13701,0.26
26.8456,2.0134,0.05743,0.31326
27.5168,2.0134,0.13375,0.27998
28.1879,2.0134,0.13711,0.28709
28.8591,2.0134,0.16969,0.27767
29.5302,2.0134,0.23805,0.24793
30.2013,2.0134,0.17113,0.29268
30.8725,2.0134,0.17498,0.29735
31.5436,2.0134,0.13579,0.32499
32.2148,2.0134,0.17709,0.30688
32.8859,2.0134,0.1815,0.30807
33.557,2.0134,0.20229,0.29891
34.2282,2.0134,0.21323,0.29388
34.8993,2.0134,0.13074,0.33936
35.5705,2.0134,0.22209,0.28687
36.2416,2.0134,0.24877,0.26889
36.9128,2.0134,0.17875,0.30322
37.5839,2.0134,0.26025,0.25206
38.255,2.0134,0.20464,0.27579
38.9262,2.0134,0.24455,0.24529
39.5973,2.0134,0.17375,0.27522
40.2685,2.0134,0.11922,0.2952
40.9396,2.0134,0.06679,0.31324
41.6107,2.0134,0.13058,0.26613
42.2819,2.0134,0.12376,0.2578
42.953,2.0134,0.16518,0.22244
43.6242,2.0134,0.10839,0.24155
44.2953,2.0134,0.09412,0.23716
44.9664,2.0134,0.16361,0.18656
45.6376,2.0134,0.0951,0.21308
46.3087,2.0134,0.09025,0.20488
46.9799,2.0134,0.09662,0.19124
47.651,2.0134,0.1098,0.17475
48.3221,2.0134,0.03915,0.20585
48.9933,2.0134,0.08779,0.17183
49.6644,2.0134,0.06522,0.17858
50.3356,2.0134,0.10088,0.15425
51.0067,2.0134,0.10964,0.14614
51.6779,2.0134,0.05393,0.17513
52.349,2.0134,0.11758,0.13909
53.0201,2.0134,0.0771,0.16209
53.6913,2.0134,0.04139,0.18358
54.3624,2.0134,0.11392,0.14602
55.0336,2.0134,0.07737,0.16998
55.7047,2.0134,0.17198,0.12191
56.3758,2.0134,0.10625,0.16357
57.047,2.0134,0.12529,0.15867
57.7181,2.0134,0.12835,0.16302
58.3893,2.0134,0.17741,0.14201
59.0604,2.0134,0.11324,0.18393
59.7315,2.0134,0.19834,0.14282
60.4027,2.0134,0.22288,0.13506
61.0738,2.0134,0.18037,0.16411
61.745,2.0134,0.21729,0.14847
62.4161,2.0134,0.22108,0.15054
63.0872,2.0134,0.24983,0.13794
63.7584,2.0134,0.26085,0.1343
64.4295,2.0134,0.20207,0.16847
65.1007,2.0134,0.21499,0.16181
65.7718,2.0134,0.27848,0.12603
66.443,2.0134,0.23657,0.14776
67.1141,2.0134,0.25732,0.13366
67.7852,2.0134,0.18801,0.1686
68.4564,2.0134,0.22247,0.145
69.1275,2.0134,0.28543,0.10472
69.7987,2.0134,0.16736,0.16424
70.4698,2.0134,0.1552,0.16431
71.1409,2.0134,0.18599,0.14
71.8121,2.0134,0.14199,0.15685
72.4832,2.0134,0.11806,0.16231
73.1544,2.0134,0.14329,0.14036
73.8255,2.0134,0.18815,0.10754
74.4966,2.0134,0.1416,0.12567
75.1678,2.0134,0.11139,0.13504
75.8389,2.0134,0.19279,0.08286
76.5101,2.0134,0.0939,0.13137
77.1812,2.0134,0.11164,0.11576
77.8523,2.0134,0.06547,0.13639
78.5235,2.0134,0.05228,0.13953
79.1946,2.0134,0.05788,0.1331
79.8658,2.0134,0.14187,0.08404
80.5369,2.0134,0.12595,0.09139
81.2081,2.0134,0.10208,0.10408
81.8792,2.0134,0.08347,0.11475
82.5503,2.0134,0.09631,0.10882
83.2215,2.0134,0.14329,0.08472
83.8926,2.0134,0.09207,0.1159
84.5638,2.0134,0.09677,0.11666
85.2349,2.0134,0.1652,0.08259
85.906,2.0134,0.23958,0.04564
86.5772,2.0134,0.18054,0.08312
87.2483,2.0134,0.17382,0.09176
87.9195,2.0134,0.23641,0.06199
88.5906,2.0134,0.20681,0.08339
89.2617,2.0134,0.19488,0.09484
89.9329,2.0134,0.25182,0.06778
90.604,2.0134,0.28808,0.05185
91.2752,2.0134,0.18542,0.11263
91.9463,2.0134,0.18665,0.11518
92.6174,2.0134,0.18681,0.11774
93.2886,2.0134,0.22548,0.09827
93.9597,2.0134,0.21387,0.10604
94.6309,2.0134,0.21733,0.10476
95.302,2.0134,0.12912,0.15369
95.9732,2.0134,0.22299,0.1008
96.6443,2.0134,0.1802,0.12316
97.3154,2.0134,0.18639,0.11771
97.9866,2.0134,0.1472,0.1369
98.6577,2.0134,0.16772,0.12245
99.3289,2.0134,0.15528,0.12589
100.0,2.0134,0.17607,0.11055
0.0,2.6846,0.09962,0.21827
0.6711,2.6846,0.14823,0.19996
1.3423,2.6846,0.16164,0.2007
2.0134,2.6846,0.12478,0.22873
2.6846,2.6846,0.18667,0.20119
3.3557,2.6846,0.2395,0.17787
4.0268,2.6846,0.19656,0.20685
4.698,2.6846,0.10586,0.26143
5.3691,2.6846,0.18632,0.21997
6.0403,2.6846,0.164,0.23461
6.7114,2.6846,0.23866,0.19442
7.3826,2.6846,0.20376,0.2141
8.0537,2.6846,0.1944,0.2187
8.7248,2.6846,0.22261,0.20159
9.396,2.6846,0.18659,0.21938
10.0671,2.6846,0.18254,0.21876
10.7383,2.6846,0.1859,0.21348
11.4094,2.6846,0.16221,0.2228
12.0805,2.6846,0.20885,0.19277
12.7517,2.6846,0.19232,0.19769
13.4228,2.6846,0.20355,0.18719
14.094,2.6846,0.18694,0.19232
14.7651,2.6846,0.18305,0.19068
15.4362,2.6846,0.13633,0.21327
16.1074,2.6846,0.13033,0.21382
16.7785,2.6846,0.09947,0.22888
17.4497,2.6846,0.08972,0.23301
18.1208,2.6846,0.09788,0.22809
18.7919,2.6846,0.09251,0.23166
19.4631,2.6846,0.14312,0.20515
20.1342,2.6846,0.06504,0.25116
20.8054,2.6846,0.12782,0.22
21.4765,2.6846,0.02171,0.28368
22.1477,2.6846,0.09496,0.24875
22.8188,2.6846,0.08889,0.25881
23.4899,2.6846,0.06729,0.27835
24.1611,2.6846,0.09531,0.27108
24.8322,2.6846,0.02854,0.31709
25.5034,2.6846,0.07705,0.29956
26.1745,2.6846,0.13036,0.2797
26.8456,2.6846,0.13514,0.28696
27.5168,2.6846,0.03815,0.35074
28.1879,2.6846,0.15789,0.29397
28.8591,2.6846,0.12007,0.32434
29.5302,2.6846,0.12794,0.3288
30.2013,2.6846,0.18746,0.30386
30.8725,2.6846,0.21062,0.29825
31.5436,2.6846,0.25152,0.28177
32.2148,2.6846,0.23203,0.29767
32.8859,2.6846,0.18624,0.3269
33.557,2.6846,0.19237,0.32593
34.2282,2.6846,0.25713,0.29095
34.8993,2.6846,0.16898,0.33941
35.5705,2.6846,0.21898,0.30963
36.2416,2.6846,0.18873,0.3229
36.9128,2.6846,0.25394,0.28167
37.5839,2.6846,0.19908,0.30569
38.255,2.6846,0.18687,0.30467
38.9262,2.6846,0.19625,0.2904
39.5973,2.6846,0.1691,0.2953
40.2685,2.6846,0.17895,0.27865
40.9396,2.6846,0.15909,0.27768
41.6107,2.6846,0.19081,0.24741
42.2819,2.6846,0.12633,0.27009
42.953,2.6846,0.13207,0.2535
43.6242,2.6846,0.09113,0.26275
44.2953,2.6846,0.09585,0.24675
44.9664,2.6846,0.11257,0.2244
45.6376,2.6846,0.1021,0.21762
46.3087,2.6846,0.05024,0.23451
46.9799,2.6846,0.08282,0.20533
47.651,2.6846,0.11418,0.17779
48.3221,2.6846,0.05523,0.2015
48.9933,2.6846,0.05235,0.19528
49.6644,2.6846,0.01419,0.20993
50.3356,2.6846,0.14107,0.13426
51.0067,2.6846,0.05092,0.1805
51.6779,2.6846,0.05672,0.17483
52.349,2.6846,0.12208,0.13744
53.0201,2.6846,0.10138,0.14915
53.6913,2.6846,0.07946,0.16279
54.3624,2.6846,0.14455,0.12926
55.0336,2.6846,0.11649,0.14851
55.7047,2.6846,0.15125,0.13378
56.3758,2.6846,0.11383,0.15992
57.047,2.6846,0.14692,0.14751
57.7181,2.6846,0.21269,0.11741
58.3893,2.6846,0.16767,0.14912
59.0604,2.6846,0.19667,0.13983
59.7315,2.6846,0.21558,0.13608
60.4027,2.6846,0.23304,0.1329
61.0738,2.6846,0.20807,0.1529
61.745,2.6846,0.23287,0.14472
62.4161,2.6846,0.2202,0.15668
63.0872,2.6846,0.25235,0.14294
63.7584,2.6846,0.20627,0.17177
64.4295,2.6846,0.26449,0.14168
65.1007,2.6846,0.20073,0.17831
65.7718,2.6846,0.23971,0.1568
66.443,2.6846,0.17547,0.19153
67.1141,2.6846,0.23452,0.1567
67.7852,2.6846,0.23575,0.15293
68.4564,2.6846,0.21744,0.15901
69.1275,2.6846,0.22152,0.15172
69.7987,2.6846,0.24043,0.13535
70.4698,2.6846,0.16759,0.16918
71.1409,2.6846,0.18249,0.15367
71.8121,2.6846,0.15948,0.15872
