normalized_state,two_theta_deg,relative_intensity_au
0.0,26.9097,0.084295
0.0,27.0334,0.095241
0.0,27.1572,0.065222
0.0,27.2809,0.086295
0.0,27.4047,0.07614
0.0,27.5284,0.053534
0.0,27.6522,0.07673
0.0,27.7759,0.076055
0.0,27.8997,0.080943
0.0,28.0234,0.078812
0.0,28.1472,0.06672
0.0,28.2709,0.069287
0.0,28.3946,0.077604
0.0,28.5184,0.056906
0.0,28.6421,0.066255
0.0,28.7659,0.064983
0.0,28.8896,0.051544
0.0,29.0134,0.060755
0.0,29.1371,0.032839
0.0,29.2609,0.039203
0.0,29.3846,0.046005
0.0,29.5084,0.025575
0.0,29.6321,0.026
0.0,29.7559,0.051685
0.0,29.8796,0.050572
0.0,30.0033,0.062717
0.0,30.1271,0.04312
0.0,30.2508,0.039385
0.0,30.3746,0.031887
0.0,30.4983,0.043547
0.0,30.6221,0.053984
0.0,30.7458,0.073511
0.0,30.8696,0.066491
0.0,30.9933,0.029607
0.0,31.1171,0.07718
0.0,31.2408,0.046941
0.0,31.3645,0.054446
0.0,31.4883,0.083895
0.0,31.612,0.056754
0.0,31.7358,0.031274
0.0,31.8595,0.075412
0.0,31.9833,0.064037
0.0,32.107,0.082939
0.0,32.2308,0.065764
0.0,32.3545,0.079369
0.0,32.4783,0.071591
0.0,32.602,0.094066
0.0,32.7258,0.0955
0.0,32.8495,0.059811
0.0,32.9732,0.077222
0.0,33.097,0.060972
0.0,33.2207,0.071991
0.0,33.3445,0.109127
0.0,33.4682,0.095206
0.0,33.592,0.123917
0.0,33.7157,0.141872
0.0,33.8395,0.145387
0.0,33.9632,0.154426
0.0,34.087,0.229381
0.0,34.2107,0.274044
0.0,34.3344,0.364229
0.0,34.4582,0.432169
0.0,34.5819,0.534125
0.0,34.7057,0.627835
0.0,34.8294,0.681728
0.0,34.9532,0.719787
0.0,35.0769,0.770401
0.0,35.2007,0.727561
0.0,35.3244,0.701715
0.0,35.4482,0.629954
0.0,35.5719,0.562283
0.0,35.6957,0.461363
0.0,35.8194,0.364197
0.0,35.9431,0.284811
0.0,36.0669,0.203917
0.0,36.1906,0.154344
0.0,36.3144,0.131737
0.0,36.4381,0.098802
0.0,36.5619,0.07145
0.0,36.6856,0.071165
0.0,36.8094,0.062771
0.0,36.9331,0.034742
0.0,37.0569,0.052776
0.0,37.1806,0.053251
0.0,37.3043,0.068694
0.0,37.4281,0.084012
0.0,37.5518,0.035605
0.0,37.6756,0.063022
0.0,37.7993,0.050477
0.0,37.9231,0.066997
0.0,38.0468,0.069305
0.0,38.1706,0.074027
0.0,38.2943,0.071633
0.0,38.4181,0.043069
0.0,38.5418,0.082886
0.0,38.6656,0.071239
0.0,38.7893,0.066331
0.0,38.913,0.087796
0.0,39.0368,0.069754
0.0,39.1605,0.057867
0.0,39.2843,0.076193
0.0,39.408,0.061024
0.0,39.5318,0.067955
0.0,39.6555,0.109719
0.0,39.7793,0.074433
0.0,39.903,0.069244
0.0,40.0268,0.085254
0.0,40.1505,0.091621
0.0,40.2742,0.085627
0.0,40.398,0.075035
0.0,40.5217,0.056425
0.0,40.6455,0.085192
0.0,40.7692,0.069282
0.0,40.893,0.046614
0.0,41.0167,0.061385
0.0,41.1405,0.056678
0.0,41.2642,0.056694
0.0,41.388,0.077872
0.0,41.5117,0.064565
0.0,41.6355,0.055658
0.0,41.7592,0.072825
0.0,41.8829,0.048855
0.0,42.0067,0.060966
0.0,42.1304,0.046354
0.0,42.2542,0.036241
0.0,42.3779,0.047058
0.0,42.5017,0.052463
0.0,42.6254,0.059624
0.0,42.7492,0.066657
0.0,42.8729,0.058746
0.0,42.9967,0.027892
0.0,43.1204,0.060888
0.0,43.2441,0.062006
0.0,43.3679,0.049318
0.0,43.4916,0.04208
0.0,43.6154,0.057217
0.0,43.7391,0.067606
0.0,43.8629,0.073089
0.0,43.9866,0.072432
0.0,44.1104,0.065215
0.0,44.2341,0.068124
0.0,44.3579,0.082098
0.0,44.4816,0.064323
0.0,44.6054,0.080314
0.0,44.7291,0.085888
0.0,44.8528,0.060374
0.0,44.9766,0.082898
0.0,45.1003,0.072905
0.0,45.2241,0.063397
0.0,45.3478,0.082622
0.0,45.4716,0.096851
0.0,45.5953,0.096868
0.0,45.7191,0.088386
0.0,45.8428,0.115618
0.0,45.9666,0.128167
0.0,46.0903,0.156409
0.0,46.214,0.177143
0.0,46.3378,0.227563
0.0,46.4615,0.239201
0.0,46.5853,0.254066
0.0,46.709,0.254025
0.0,46.8328,0.287843
0.0,46.9565,0.264626
0.0,47.0803,0.245584
0.0,47.204,0.211335
0.0,47.3278,0.188772
0.0,47.4515,0.134784
0.0,47.5753,0.117283
0.0,47.699,0.090742
0.0,47.8227,0.083693
0.0,47.9465,0.080039
0.0,48.0702,0.040822
0.0,48.194,0.048268
0.0,48.3177,0.050646
0.0,48.4415,0.051884
0.0,48.5652,0.03
0.0,48.689,0.028399
0.0,48.8127,0.069765
0.0,48.9365,0.06273
0.0,49.0602,0.051603
0.0,49.1839,0.040333
0.0,49.3077,0.044787
0.0,49.4314,0.053067
0.0,49.5552,0.062306
0.0,49.6789,0.064027
0.0,49.8027,0.060021
0.0,49.9264,0.066726
0.0,50.0502,0.065223
0.0,50.1739,0.062316
0.0,50.2977,0.077746
0.0,50.4214,0.069077
0.0,50.5452,0.074606
0.0,50.6689,0.074208
0.0,50.7926,0.090539
0.0,50.9164,0.091573
0.0,51.0401,0.09184
0.0,51.1639,0.089122
0.0,51.2876,0.058875
0.0,51.4114,0.083532
0.0,51.5351,0.081356
0.0,51.6589,0.086377
0.0,51.7826,0.089101
0.0,51.9064,0.094783
0.0,52.0301,0.069218
0.0,52.1538,0.056124
0.0,52.2776,0.063387
0.0,52.4013,0.069531
0.0,52.5251,0.08665
0.0,52.6488,0.057877
0.0,52.7726,0.063812
0.0,52.8963,0.063017
0.0,53.0201,0.046177
0.0,53.1438,0.038816
0.0,53.2676,0.064986
0.0,53.3913,0.072496
0.0,53.5151,0.059085
0.0,53.6388,0.033078
0.0,53.7625,0.036891
0.0,53.8863,0.040575
0.0,54.01,0.037378
0.0,54.1338,0.04102
0.0,54.2575,0.050224
0.0,54.3813,0.033399
0.0,54.505,0.045981
0.0,54.6288,0.046607
0.0,54.7525,0.052602
0.0,54.8763,0.050908
0.0,55.0,0.032378
0.0087,18.0,0.045832
0.0087,18.1237,0.026766
0.0087,18.2475,0.05281
0.0087,18.3712,0.047661
0.0087,18.495,0.049973
0.0087,18.6187,0.043874
0.0087,18.7425,0.063217
0.0087,18.8662,0.071848
0.0087,18.99,0.048362
0.0087,19.1137,0.043676
0.0087,19.2375,0.057546
0.0087,19.3612,0.099877
0.0087,19.4849,0.055217
0.0087,19.6087,0.067553
0.0087,19.7324,0.079792
0.0087,19.8562,0.079046
0.0087,19.9799,0.069336
0.0087,20.1037,0.098209
0.0087,20.2274,0.080212
0.0087,20.3512,0.086346
0.0087,20.4749,0.069964
0.0087,20.5987,0.069338
0.0087,20.7224,0.084431
0.0087,20.8462,0.084666
0.0087,20.9699,0.088299
0.0087,21.0936,0.088216
0.0087,21.2174,0.0864
0.0087,21.3411,0.093717
0.0087,21.4649,0.080307
0.0087,21.5886,0.068928
0.0087,21.7124,0.080494
0.0087,21.8361,0.052523
0.0087,21.9599,0.086079
0.0087,22.0836,0.064017
0.0087,22.2074,0.054896
0.0087,22.3311,0.088859
0.0087,22.4548,0.054655
0.0087,22.5786,0.056778
0.0087,22.7023,0.070542
0.0087,22.8261,0.064808
0.0087,22.9498,0.050079
0.0087,23.0736,0.041902
0.0087,23.1973,0.041204
0.0087,23.3211,0.062428
0.0087,23.4448,0.07971
0.0087,23.5686,0.129858
0.0087,23.6923,0.206329
0.0087,23.8161,0.337966
0.0087,23.9398,0.492488
0.0087,24.0635,0.699682
0.0087,24.1873,0.914881
0.0087,24.311,1.040494
0.0087,24.4348,1.096872
0.0087,24.5585,1.036856
0.0087,24.6823,0.861837
0.0087,24.806,0.674178
0.0087,24.9298,0.509318
0.0087,25.0535,0.331178
0.0087,25.1773,0.227651
0.0087,25.301,0.129229
0.0087,25.4247,0.087178
0.0087,25.5485,0.079152
0.0087,25.6722,0.088184
0.0087,25.796,0.083955
0.0087,25.9197,0.075694
0.0087,26.0435,0.078187
0.0087,26.1672,0.103503
0.0087,26.291,0.083378
0.0087,26.4147,0.078016
0.0087,26.5385,0.069515
0.0087,26.6622,0.087676
0.0087,26.786,0.087144
0.0087,26.9097,0.090528
0.0087,27.0334,0.073105
0.0087,27.1572,0.083063
0.0087,27.2809,0.082796
0.0087,27.4047,0.056559
0.0087,27.5284,0.075796
0.0087,27.6522,0.071509
0.0087,27.7759,0.082065
0.0087,27.8997,0.094479
0.0087,28.0234,0.070857
0.0087,28.1472,0.065951
0.0087,28.2709,0.068188
0.0087,28.3946,0.066717
0.0087,28.5184,0.058119
0.0087,28.6421,0.052615
0.0087,28.7659,0.054907
0.0087,28.8896,0.040039
0.0087,29.0134,0.08041
0.0087,29.1371,0.057954
0.0087,29.2609,0.042046
0.0087,29.3846,0.064594
0.0087,29.5084,0.0449
0.0087,29.6321,0.053219
0.0087,29.7559,0.041867
0.0087,29.8796,0.029454
0.0087,30.0033,0.042607
0.0087,30.1271,0.039245
0.0087,30.2508,0.01433
0.0087,30.3746,0.045719
0.0087,30.4983,0.038058
0.0087,30.6221,0.030741
0.0087,30.7458,0.081756
0.0087,30.8696,0.045057
0.0087,30.9933,0.053204
0.0087,31.1171,0.061874
0.0087,31.2408,0.055979
0.0087,31.3645,0.033829
0.0087,31.4883,0.058796
0.0087,31.612,0.056237
0.0087,31.7358,0.06359
0.0087,31.8595,0.063742
0.0087,31.9833,0.094473
0.0087,32.107,0.069572
0.0087,32.2308,0.070331
0.0087,32.3545,0.067728
0.0087,32.4783,0.070072
0.0087,32.602,0.070972
0.0087,32.7258,0.100864
0.0087,32.8495,0.083182
0.0087,32.9732,0.070582
0.0087,33.097,0.090085
0.0087,33.2207,0.100739
0.0087,33.3445,0.081158
0.0087,33.4682,0.078189
0.0087,33.592,0.09136
0.0087,33.7157,0.131259
0.0087,33.8395,0.151985
0.0087,33.9632,0.172833
0.0087,34.087,0.226083
0.0087,34.2107,0.2741
0.0087,34.3344,0.372133
0.0087,34.4582,0.429495
0.0087,34.5819,0.55992
0.0087,34.7057,0.630609
0.0087,34.8294,0.700189
0.0087,34.9532,0.73729
0.0087,35.0769,0.76516
0.0087,35.2007,0.740645
0.0087,35.3244,0.695566
0.0087,35.4482,0.617787
0.0087,35.5719,0.542755
0.0087,35.6957,0.428711
0.0087,35.8194,0.344309
0.0087,35.9431,0.274818
0.0087,36.0669,0.218441
0.0087,36.1906,0.155042
0.0087,36.3144,0.142835
0.0087,36.4381,0.079355
0.0087,36.5619,0.047351
0.0087,36.6856,0.055031
0.0087,36.8094,0.07915
0.0087,36.9331,0.062273
0.0087,37.0569,0.0507
0.0087,37.1806,0.049707
0.0087,37.3043,0.080209
0.0087,37.4281,0.032001
0.0087,37.5518,0.06855
0.0087,37.6756,0.073969
0.0087,37.7993,0.054872
0.0087,37.9231,0.054301
0.0087,38.0468,0.090168
0.0087,38.1706,0.064369
0.0087,38.2943,0.085491
0.0087,38.4181,0.074736
0.0087,38.5418,0.068628
0.0087,38.6656,0.074526
0.0087,38.7893,0.072763
0.0087,38.913,0.089479
0.0087,39.0368,0.089053
0.0087,39.1605,0.065952
0.0087,39.2843,0.070124
0.0087,39.408,0.089639
0.0087,39.5318,0.094853
0.0087,39.6555,0.077978
0.0087,39.7793,0.100413
0.0087,39.903,0.077121
0.0087,40.0268,0.071872
0.0087,40.1505,0.07463
0.0087,40.2742,0.06597
0.0087,40.398,0.064006
0.0087,40.5217,0.050132
0.0087,40.6455,0.057747
0.0087,40.7692,0.055095
0.0087,40.893,0.069199
0.0087,41.0167,0.049586
0.0087,41.1405,0.040381
0.0087,41.2642,0.062924
0.0087,41.388,0.034941
0.0087,41.5117,0.05174
0.0087,41.6355,0.038568
0.0087,41.7592,0.070645
0.0087,41.8829,0.059584
0.0087,42.0067,0.050687
0.0087,42.1304,0.030788
0.0087,42.2542,0.057897
0.0087,42.3779,0.023899
0.0087,42.5017,0.05196
0.0087,42.6254,0.059785
0.0087,42.7492,0.049233
0.0087,42.8729,0.026757
0.0087,42.9967,0.069856
0.0087,43.1204,0.038237
0.0087,43.2441,0.078255
0.0087,43.3679,0.054043
0.0087,43.4916,0.045655
0.0087,43.6154,0.048478
0.0087,43.7391,0.068226
0.0087,43.8629,0.07918
0.0087,43.9866,0.078796
0.0087,44.1104,0.055219
0.0087,44.2341,0.10274
0.0087,44.3579,0.063084
0.0087,44.4816,0.069633
0.0087,44.6054,0.094077
0.0087,44.7291,0.09185
0.0087,44.8528,0.078168
0.0087,44.9766,0.089195
0.0087,45.1003,0.09377
0.0087,45.2241,0.072534
0.0087,45.3478,0.062204
0.0087,45.4716,0.068293
0.0087,45.5953,0.081366
0.0087,45.7191,0.104823
0.0087,45.8428,0.120905
0.0087,45.9666,0.132724
0.0087,46.0903,0.149831
0.0087,46.214,0.182258
0.0087,46.3378,0.209712
0.0087,46.4615,0.240302
0.0087,46.5853,0.261824
0.0087,46.709,0.256787
0.0087,46.8328,0.286501
0.0087,46.9565,0.245712
0.0087,47.0803,0.26291
0.0087,47.204,0.193939
0.0087,47.3278,0.195582
0.0087,47.4515,0.129768
0.0087,47.5753,0.109976
0.0087,47.699,0.074665
0.0087,47.8227,0.080692
0.0087,47.9465,0.088755
0.0087,48.0702,0.061364
0.0087,48.194,0.041755
0.0087,48.3177,0.060547
0.0087,48.4415,0.054257
0.0087,48.5652,0.051019
0.0087,48.689,0.046904
0.0087,48.8127,0.023735
0.0087,48.9365,0.040431
0.0087,49.0602,0.053589
0.0087,49.1839,0.059305
0.0087,49.3077,0.05826
0.0087,49.4314,0.05231
0.0087,49.5552,0.045137
0.0087,49.6789,0.06829
0.0087,49.8027,0.078904
0.0087,49.9264,0.069337
0.0087,50.0502,0.071547
0.0087,50.1739,0.05634
0.0087,50.2977,0.068794
0.0087,50.4214,0.073178
0.0087,50.5452,0.058262
0.0087,50.6689,0.087673
0.0087,50.7926,0.088654
0.0087,50.9164,0.085863
0.0087,51.0401,0.05766
0.0087,51.1639,0.080071
0.0087,51.2876,0.066591
0.0087,51.4114,0.095419
0.0087,51.5351,0.069086
0.0087,51.6589,0.079668
0.0087,51.7826,0.087568
0.0087,51.9064,0.077543
0.0087,52.0301,0.079584
0.0087,52.1538,0.053052
0.0087,52.2776,0.080938
0.0087,52.4013,0.069656
0.0087,52.5251,0.084669
0.0087,52.6488,0.081002
0.0087,52.7726,0.065309
0.0087,52.8963,0.031859
0.0087,53.0201,0.049754
0.0087,53.1438,0.051644
0.0087,53.2676,0.049836
0.0087,53.3913,0.049577
0.0087,53.5151,0.064005
0.0087,53.6388,0.061935
0.0087,53.7625,0.044972
0.0087,53.8863,0.058216
0.0087,54.01,0.043464
0.0087,54.1338,0.037811
0.0087,54.2575,0.034132
0.0087,54.3813,0.080119
0.0087,54.505,0.050581
0.0087,54.6288,0.010748
0.0087,54.7525,0.047104
0.0087,54.8763,0.029608
0.0087,55.0,0.049019
0.0174,18.0,0.044599
0.0174,18.1237,0.053041
0.0174,18.2475,0.047958
0.0174,18.3712,0.04438
0.0174,18.495,0.048855
0.0174,18.6187,0.049006
0.0174,18.7425,0.05523
0.0174,18.8662,0.038139
0.0174,18.99,0.069036
0.0174,19.1137,0.043365
0.0174,19.2375,0.075669
0.0174,19.3612,0.056432
0.0174,19.4849,0.061578
0.0174,19.6087,0.083731
0.0174,19.7324,0.068486
0.0174,19.8562,0.066512
0.0174,19.9799,0.09255
0.0174,20.1037,0.05922
0.0174,20.2274,0.071708
0.0174,20.3512,0.073618
0.0174,20.4749,0.078165
0.0174,20.5987,0.095009
0.0174,20.7224,0.101434
0.0174,20.8462,0.061722
0.0174,20.9699,0.070816
0.0174,21.0936,0.091845
0.0174,21.2174,0.102818
0.0174,21.3411,0.092013
0.0174,21.4649,0.086138
0.0174,21.5886,0.089017
0.0174,21.7124,0.072966
0.0174,21.8361,0.059012
0.0174,21.9599,0.063402
0.0174,22.0836,0.077012
0.0174,22.2074,0.055683
0.0174,22.3311,0.04327
0.0174,22.4548,0.024357
0.0174,22.5786,0.064447
0.0174,22.7023,0.041962
0.0174,22.8261,0.054364
0.0174,22.9498,0.063141
0.0174,23.0736,0.049349
0.0174,23.1973,0.04777
0.0174,23.3211,0.080437
0.0174,23.4448,0.094914
0.0174,23.5686,0.105437
0.0174,23.6923,0.190493
0.0174,23.8161,0.304246
0.0174,23.9398,0.487641
0.0174,24.0635,0.692155
0.0174,24.1873,0.870862
0.0174,24.311,1.026233
0.0174,24.4348,1.090945
0.0174,24.5585,1.057701
0.0174,24.6823,0.92091
0.0174,24.806,0.744336
0.0174,24.9298,0.514202
0.0174,25.0535,0.355055
0.0174,25.1773,0.220869
0.0174,25.301,0.147255
0.0174,25.4247,0.089011
0.0174,25.5485,0.067724
0.0174,25.6722,0.069241
0.0174,25.796,0.090703
0.0174,25.9197,0.078722
0.0174,26.0435,0.086623
0.0174,26.1672,0.065845
0.0174,26.291,0.091712
0.0174,26.4147,0.061435
0.0174,26.5385,0.068606
0.0174,26.6622,0.094833
0.0174,26.786,0.068234
0.0174,26.9097,0.075113
0.0174,27.0334,0.094338
0.0174,27.1572,0.094863
0.0174,27.2809,0.064674
0.0174,27.4047,0.063134
0.0174,27.5284,0.085667
0.0174,27.6522,0.097795
0.0174,27.7759,0.069453
0.0174,27.8997,0.083282
0.0174,28.0234,0.067453
0.0174,28.1472,0.068451
0.0174,28.2709,0.081174
0.0174,28.3946,0.071175
0.0174,28.5184,0.060349
0.0174,28.6421,0.044213
0.0174,28.7659,0.081408
0.0174,28.8896,0.050891
0.0174,29.0134,0.044769
0.0174,29.1371,0.040571
0.0174,29.2609,0.062693
0.0174,29.3846,0.043658
0.0174,29.5084,0.034335
0.0174,29.6321,0.044238
0.0174,29.7559,0.040265
0.0174,29.8796,0.037204
0.0174,30.0033,0.022508
0.0174,30.1271,0.0471
0.0174,30.2508,0.042347
0.0174,30.3746,0.036096
0.0174,30.4983,0.041154
0.0174,30.6221,0.05255
0.0174,30.7458,0.016198
0.0174,30.8696,0.035657
0.0174,30.9933,0.074918
0.0174,31.1171,0.041608
0.0174,31.2408,0.044988
0.0174,31.3645,0.074047
0.0174,31.4883,0.021993
0.0174,31.612,0.065512
0.0174,31.7358,0.066903
0.0174,31.8595,0.044128
0.0174,31.9833,0.09159
0.0174,32.107,0.097658
0.0174,32.2308,0.076304
0.0174,32.3545,0.07428
0.0174,32.4783,0.091962
0.0174,32.602,0.093837
0.0174,32.7258,0.091581
0.0174,32.8495,0.06664
0.0174,32.9732,0.067516
0.0174,33.097,0.084104
0.0174,33.2207,0.100222
0.0174,33.3445,0.097999
0.0174,33.4682,0.106844
0.0174,33.592,0.094575
0.0174,33.7157,0.148263
0.0174,33.8395,0.167515
0.0174,33.9632,0.173408
0.0174,34.087,0.220937
0.0174,34.2107,0.295582
0.0174,34.3344,0.376152
0.0174,34.4582,0.465386
0.0174,34.5819,0.535645
0.0174,34.7057,0.638577
0.0174,34.8294,0.725398
0.0174,34.9532,0.745801
0.0174,35.0769,0.767636
0.0174,35.2007,0.736466
0.0174,35.3244,0.706995
0.0174,35.4482,0.627285
0.0174,35.5719,0.555899
0.0174,35.6957,0.460374
0.0174,35.8194,0.336296
0.0174,35.9431,0.268082
0.0174,36.0669,0.202924
0.0174,36.1906,0.166335
0.0174,36.3144,0.10517
0.0174,36.4381,0.078201
0.0174,36.5619,0.091622
0.0174,36.6856,0.049804
0.0174,36.8094,0.068646
0.0174,36.9331,0.067942
0.0174,37.0569,0.067227
0.0174,37.1806,0.054109
0.0174,37.3043,0.037989
0.0174,37.4281,0.036566
0.0174,37.5518,0.063695
0.0174,37.6756,0.06619
0.0174,37.7993,0.06585
0.0174,37.9231,0.082555
0.0174,38.0468,0.089339
0.0174,38.1706,0.080139
0.0174,38.2943,0.053395
0.0174,38.4181,0.07601
0.0174,38.5418,0.035956
0.0174,38.6656,0.095156
0.0174,38.7893,0.112136
0.0174,38.913,0.082111
0.0174,39.0368,0.066992
0.0174,39.1605,0.067557
0.0174,39.2843,0.099976
0.0174,39.408,0.08824
0.0174,39.5318,0.07744
0.0174,39.6555,0.062764
0.0174,39.7793,0.078273
0.0174,39.903,0.079288
0.0174,40.0268,0.071835
0.0174,40.1505,0.06798
0.0174,40.2742,0.062914
0.0174,40.398,0.052497
0.0174,40.5217,0.057981
0.0174,40.6455,0.03989
0.0174,40.7692,0.06366
0.0174,40.893,0.076476
0.0174,41.0167,0.031759
0.0174,41.1405,0.054391
0.0174,41.2642,0.055109
0.0174,41.388,0.049036
0.0174,41.5117,0.04507
0.0174,41.6355,0.052276
0.0174,41.7592,0.052435
0.0174,41.8829,0.022406
0.0174,42.0067,0.063473
0.0174,42.1304,0.039373
0.0174,42.2542,0.045648
0.0174,42.3779,0.041978
0.0174,42.5017,0.042748
0.0174,42.6254,0.053876
0.0174,42.7492,0.07885
0.0174,42.8729,0.04153
0.0174,42.9967,0.0271
0.0174,43.1204,0.061334
0.0174,43.2441,0.033481
0.0174,43.3679,0.063083
0.0174,43.4916,0.036917
0.0174,43.6154,0.067154
0.0174,43.7391,0.068198
0.0174,43.8629,0.067224
0.0174,43.9866,0.050232
0.0174,44.1104,0.056123
0.0174,44.2341,0.076934
0.0174,44.3579,0.085606
0.0174,44.4816,0.066145
0.0174,44.6054,0.079539
0.0174,44.7291,0.088784
0.0174,44.8528,0.070576
0.0174,44.9766,0.066814
0.0174,45.1003,0.057518
0.0174,45.2241,0.074511
0.0174,45.3478,0.090927
0.0174,45.4716,0.08744
0.0174,45.5953,0.083884
0.0174,45.7191,0.082459
0.0174,45.8428,0.093413
0.0174,45.9666,0.134959
0.0174,46.0903,0.143349
0.0174,46.214,0.184621
0.0174,46.3378,0.225147
0.0174,46.4615,0.246875
0.0174,46.5853,0.285904
0.0174,46.709,0.296107
0.0174,46.8328,0.279626
0.0174,46.9565,0.24839
0.0174,47.0803,0.222028
0.0174,47.204,0.186635
0.0174,47.3278,0.173103
0.0174,47.4515,0.158289
0.0174,47.5753,0.118855
0.0174,47.699,0.09195
0.0174,47.8227,0.071079
0.0174,47.9465,0.047388
0.0174,48.0702,0.033688
0.0174,48.194,0.057533
0.0174,48.3177,0.016319
0.0174,48.4415,0.056139
0.0174,48.5652,0.03562
0.0174,48.689,0.041381
0.0174,48.8127,0.055284
0.0174,48.9365,0.050071
0.0174,49.0602,0.051147
0.0174,49.1839,0.050838
0.0174,49.3077,0.031596
0.0174,49.4314,0.055744
0.0174,49.5552,0.063408
0.0174,49.6789,0.078316
0.0174,49.8027,0.062296
0.0174,49.9264,0.059707
0.0174,50.0502,0.093801
0.0174,50.1739,0.081784
0.0174,50.2977,0.061973
0.0174,50.4214,0.054067
0.0174,50.5452,0.071243
0.0174,50.6689,0.081485
0.0174,50.7926,0.092729
0.0174,50.9164,0.060612
0.0174,51.0401,0.082664
0.0174,51.1639,0.074827
0.0174,51.2876,0.07372
0.0174,51.4114,0.084012
0.0174,51.5351,0.08676
0.0174,51.6589,0.110665
0.0174,51.7826,0.054923
0.0174,51.9064,0.068762
0.0174,52.0301,0.087049
0.0174,52.1538,0.057384
0.0174,52.2776,0.102004
0.0174,52.4013,0.041146
0.0174,52.5251,0.089675
0.0174,52.6488,0.0532
0.0174,52.7726,0.066105
0.0174,52.8963,0.062907
0.0174,53.0201,0.053148
0.0174,53.1438,0.054148
0.0174,53.2676,0.041778
0.0174,53.3913,0.054397
0.0174,53.5151,0.065899
0.0174,53.6388,0.040102
0.0174,53.7625,0.03843
0.0174,53.8863,0.051577
0.0174,54.01,0.051282
0.0174,54.1338,0.06103
0.0174,54.2575,0.044514
0.0174,54.3813,0.040787
0.0174,54.505,0.039941
0.0174,54.6288,0.063597
0.0174,54.7525,0.044508
0.0174,54.8763,0.063738
0.0174,55.0,0.060275
0.0261,18.0,0.033033
0.0261,18.1237,0.038989
0.0261,18.2475,0.034474
0.0261,18.3712,0.054181
0.0261,18.495,0.03144
0.0261,18.6187,0.045495
0.0261,18.7425,0.04705
0.0261,18.8662,0.087614
0.0261,18.99,0.054289
0.0261,19.1137,0.029952
0.0261,19.2375,0.076768
0.0261,19.3612,0.055161
0.0261,19.4849,0.043976
0.0261,19.6087,0.067635
0.0261,19.7324,0.073695
0.0261,19.8562,0.073792
0.0261,19.9799,0.072967
0.0261,20.1037,0.071852
0.0261,20.2274,0.07828
0.0261,20.3512,0.078784
0.0261,20.4749,0.085692
0.0261,20.5987,0.074805
0.0261,20.7224,0.084455
0.0261,20.8462,0.08619
0.0261,20.9699,0.092705
0.0261,21.0936,0.062227
0.0261,21.2174,0.062063
0.0261,21.3411,0.070847
0.0261,21.4649,0.097956
0.0261,21.5886,0.077358
0.0261,21.7124,0.071117
0.0261,21.8361,0.071946
0.0261,21.9599,0.055146
0.0261,22.0836,0.085937
0.0261,22.2074,0.099773
0.0261,22.3311,0.070912
0.0261,22.4548,0.076928
0.0261,22.5786,0.067119
0.0261,22.7023,0.055444
0.0261,22.8261,0.063684
0.0261,22.9498,0.052805
0.0261,23.0736,0.058886
0.0261,23.1973,0.061019
0.0261,23.3211,0.04949
0.0261,23.4448,0.070262
0.0261,23.5686,0.117884
0.0261,23.6923,0.154083
0.0261,23.8161,0.297408
0.0261,23.9398,0.44907
0.0261,24.0635,0.655418
0.0261,24.1873,0.849657
0.0261,24.311,0.991628
0.0261,24.4348,1.091253
0.0261,24.5585,1.073659
0.0261,24.6823,0.931744
0.0261,24.806,0.769587
