sample,frequency_Hz,Zreal_ohm,Zimag_ohm
B,82726.95874134,5.1110364,-0.0298633
B,68437.49702591,5.1126419,-0.0346733
B,56616.25992823,5.1144944,-0.0402748
B,46836.90999171,5.1166337,-0.0467997
B,38746.75120456,5.1191062,-0.0544022
B,32054.00888261,5.121966,-0.063262
B,26517.30670326,5.1252766,-0.0735893
B,21936.96137572,5.1291121,-0.0856292
B,18147.78098639,5.1335594,-0.0996683
B,15013.10728908,5.1387206,-0.1160408
B,12419.88707283,5.1447157,-0.1351368
B,10274.59485446,5.1516855,-0.1574119
B,8499.85984609,5.1597966,-0.1833974
B,7031.67554795,5.1692453,-0.213713
B,5817.09132937,5.1802643,-0.2490812
B,4812.302744,5.1931296,-0.2903443
B,3981.07170553,5.2081695,-0.3384829
B,3293.4195473,5.2257759,-0.3946386
B,2724.54583007,5.2464178,-0.4601389
B,2253.93390473,5.2706586,-0.5365259
B,1864.61097143,5.2991776,-0.6255886
B,1542.53594902,5.3327972,-0.7293996
B,1276.09307812,5.3725169,-0.8503546
B,1055.67299423,5.4195572,-0.9912172
B,873.32616238,5.4754144,-1.155165
B,722.47617403,5.5419313,-1.3458384
B,597.68256641,5.6213871,-1.5673884
B,494.44461012,5.7166108,-1.8245195
B,409.03898861,5.8311261,-2.1225222
B,338.38551534,5.9693332,-2.4672853
B,279.93604566,6.1367347,-2.8652742
B,231.582577,6.3402143,-3.3234558
B,191.58122293,6.5883693,-3.8491399
B,158.48931925,6.8918975,-4.4497011
B,131.11339374,7.2640221,-5.1321269
B,108.46612315,7.720919,-5.9023314
B,89.73072494,8.2820742,-6.7641626
B,74.2314998,8.9704481,-7.7180399
B,61.40946221,9.8122531,-8.7591889
B,50.80218047,10.8360757,-9.875526
B,42.02709888,12.0710193,-11.0453964
B,34.76774075,13.5435643,-12.235606
B,28.76229454,15.2730256,-13.4004713
B,23.79417154,17.265907,-14.4828354
B,19.68419447,19.5101102,-15.4179564
B,16.28413544,21.9706612,-16.140632
B,13.47137001,24.5889472,-16.5948074
B,11.14445471,27.286922,-16.7435572
B,9.21946845,29.9762082,-16.5764738
B,7.62698586,32.5700657,-16.1119041
B,6.30957344,34.9949026,-15.3932074
B,5.21971822,37.1982218,-14.4804058
B,4.31811414,39.1514615,-13.4400376
B,3.5722445,40.8481388,-12.3360511
B,2.95520924,42.2989918,-11.2235106
B,2.44475472,43.526096,-10.1455309
B,2.02247123,44.5574462,-9.1328753
B,1.67312894,45.4227774,-8.2052629
B,1.38412869,46.1507863,-7.3734788
B,1.14504757,46.7675666,-6.6416363
B,0.94726303,47.2959383,-6.0092212
B,0.7836419,47.7553555,-5.4727608
B,0.64828311,48.1621445,-5.0270948
B,0.5363049,48.5298975,-4.6662909
B,0.44366873,48.8699142,-4.3842747
B,0.36703365,49.1916295,-4.1752417
B,0.30363578,49.5029993,-4.0339139
B,0.25118864,49.8108322,-3.9556865
B,0.20780073,50.1210676,-3.9367026
B,0.17190722,50.4390063,-3.9738812
B,0.14221362,50.7694996,-4.0649172
B,0.117649,51.1171044,-4.2082653
B,0.09732744,51.4862121,-4.4031176
B,0.08051603,51.881157,-4.6493801
B,0.06660846,52.3063078,-4.9476505
B,0.05510316,52.7661492,-5.299202
B,0.04558516,53.2653542,-5.7059722
B,0.03771122,53.8088514,-6.1705592
B,0.03119735,54.4018889,-6.6962254
B,0.02580862,55.0500972,-7.2869086
B,0.02135068,55.7595518,-7.9472415
B,0.01766277,56.5368377,-8.6825783
B,0.01461187,57.389116,-9.4990308
B,0.01208796,58.3241949,-10.4035114
B,0.01,59.3506044,-11.4037863
