species,sputter_time_s,mean_normalized_intensity
Li+,134.545455,0.233062
S-,134.545455,0.1101327
F-,136.363636,0.1351288
Li+,136.363636,0.2333733
S-,136.363636,0.1074854
F-,138.181818,0.1342776
Li+,138.181818,0.2336718
S-,138.181818,0.1050625
F-,140.0,0.1334526
Li+,140.0,0.2339579
S-,140.0,0.1028548
F-,141.818182,0.132653
Li+,141.818182,0.2342322
S-,141.818182,0.100852
F-,143.636364,0.1318782
Li+,143.636364,0.2344951
S-,143.636364,0.099043
F-,145.454545,0.1311272
Li+,145.454545,0.2347471
S-,145.454545,0.0974161
F-,147.272727,0.1303994
Li+,147.272727,0.2349887
S-,147.272727,0.0959592
F-,149.090909,0.1296941
Li+,149.090909,0.2352203
S-,149.090909,0.0946601
F-,150.909091,0.1290106
Li+,150.909091,0.2354423
S-,150.909091,0.0935066
F-,152.727273,0.1283481
Li+,152.727273,0.2356551
S-,152.727273,0.0924865
F-,154.545455,0.1277061
Li+,154.545455,0.2358591
S-,154.545455,0.0915882
F-,156.363636,0.1270839
Li+,156.363636,0.2360547
S-,156.363636,0.0908005
F-,158.181818,0.1264809
Li+,158.181818,0.2362421
S-,158.181818,0.0901125
F-,160.0,0.1258966
Li+,160.0,0.2364218
S-,160.0,0.089514
F-,161.818182,0.1253302
Li+,161.818182,0.2365941
S-,161.818182,0.0889956
F-,163.636364,0.1247813
Li+,163.636364,0.2367592
S-,163.636364,0.0885483
F-,165.454545,0.1242494
Li+,165.454545,0.2369175
S-,165.454545,0.0881638
F-,167.272727,0.1237339
Li+,167.272727,0.2370692
S-,167.272727,0.0878348
F-,169.090909,0.1232343
Li+,169.090909,0.2372147
S-,169.090909,0.0875543
F-,170.909091,0.1227501
Li+,170.909091,0.2373541
S-,170.909091,0.087316
F-,172.727273,0.1222809
Li+,172.727273,0.2374878
S-,172.727273,0.0871146
F-,174.545455,0.1218261
Li+,174.545455,0.2376159
S-,174.545455,0.0869448
F-,176.363636,0.1213854
Li+,176.363636,0.2377387
S-,176.363636,0.0868023
F-,178.181818,0.1209583
Li+,178.181818,0.2378564
S-,178.181818,0.0866832
F-,180.0,0.1205443
Li+,180.0,0.2379693
S-,180.0,0.0865841
